Character Number	State Number	SimJ Score	NIC Score
1	0	1.0	0.909200726536
1	1	0.181818181818	0.820704497767
1	2	1.0	0.859809616338
2	0	1.0	0.864718516367
2	1	1.0	0.921789762858
3	0	0.0112044817927	0.746135314925
3	1	0.0112044817927	0.746135314925
4	0	0.594690265487	0.816188747489
4	1	0.594690265487	0.816188747489
5	0	0.0116279069767	0.607212776993
5	1	0.0116279069767	0.595095850209
5	2	0.120967741935	0.85529386606
6	0	1.0	0.93801985348
6	1	0.714285714286	0.859809616338
6	2	0.81541924592	0.93801985348
6	3	0	0
6	4	0	0
7	0	0.710526315789	0.898914734909
7	1	0.710526315789	0.847220580016
8	0	1.0	0.921789762858
8	1	1.0	0.93801985348
9	0	0.0913705583756	0.652882752311
9	1	0.0913705583756	0.652882752311
10	0	0.750692520776	0.898914734909
10	1	0.522157996146	0.836934588389
10	2	0.750692520776	0.898914734909
11	0	1.0	0.882684644288
11	1	1.0	0.921789762858
12	0	0.0952380952381	0.607212776993
12	1	0.0952380952381	0.595095850209
13	0	0.00249260009347	0.651110352289
13	1	0.00249260009347	0.651110352289
14	0	1.0	0.909200726536
14	1	1.0	0.890218052905
15	0	0.75	0.909200726536
15	1	0.75	0.898914734909
16	0	0.00250447227191	0.576688704929
16	1	0.00250447227191	0.576688704929
17	0	0.666666666667	0.898914734909
17	1	1.0	0.93801985348
18	0	0.666666666667	0.898914734909
18	1	1.0	0.93801985348
19	0	0.5	0.921789762858
19	1	0.5	0.921789762858
19	2	1.0	0.909200726536
20	0	0.00857731015554	0.594923716555
20	1	0.00857731015554	0.594923716555
21	0	0.128205128205	0.847220580016
21	1	0.536931818182	0.890218052905
22	0	1.0	0.898914734909
22	1	0.429824561404	0.859809616338
23	0	0.000148914279526	0.689867576063
23	1	0.000148914279526	0.689867576063
24	0	0.942041712404	0.921789762858
24	1	0.942041712404	0.898914734909
25	0	0.20253164557	0.828237906385
25	1	0.20253164557	0.810028077172
26	0	0.25	0.843579525717
26	1	1.0	0.864718516367
27	0	0.208333333333	0.80105416237
27	1	0.274509803922	0.80105416237
28	0	0.003861003861	0.509380495349
28	1	0.0206985769728	0.638451565171
29	0	0.137931034483	0.607212776993
29	1	0.148148148148	0.595095850209
30	0	0.4274474274	0.870095607965
30	1	0.427427045585	0.870095607965
31	0	0.666666666667	0.718455959286
31	1	0.666666666667	0.690331914163
32	0	1.0	0.921789762858
32	1	1.0	0.921789762858
33	0	1.0	0.890218052905
33	1	0.0967741935484	0.566839812692
33	2	0.714285714286	0.882684644288
33	3	1.0	0.93801985348
33	4	1.0	0.847220580016
34	0	0.586553867846	0.851112934334
34	1	0.586558044807	0.864718516367
34	2	0.586558044807	0.864718516367
34	3	0.58655909364	0.921789762858
35	0	0.462686567164	0.782787144346
35	1	0.462686567164	0.804474407146
36	0	0.110236220472	0.66517249477
36	1	0.162790697674	0.898914734909
37	0	0.243902439024	0.823105573348
37	1	0.243902439024	0.752780252253
38	0	0.428571428571	0.864718516367
