Character Number	State Number	SimJ Score	NIC Score
1	0	0.105263157895	0.66517249477
1	1	0	0
1	2	0.0666666666667	0.607212776993
2	0	0.422535211268	0.752079413915
2	1	0.681818181818	0.960894881429
3	0	0.025641025641	0.607212776993
3	1	0.025641025641	0.595095850209
4	0	0.00354472802269	0.685637119742
4	1	0.00354472802269	0.685637119742
5	0	0	0
5	1	0	0
5	2	0.0	0.0
6	0	0.0	0.0
6	1	0.0	0.0
6	2	0.0495009391919	0.804474407146
6	3	0	0
6	4	0.122486288848	0.551141124061
7	0	0.0	0.0
7	1	0	0
8	0	0.0	0.0
8	1	0.0327455919395	0.509380495349
9	0	0.170731707317	0.524008002307
9	1	0.142857142857	0.559068571394
10	0	0.0178443968594	0.63081369179
10	1	0	0
10	2	0.0178443968594	0.650646967665
11	0	0	0
11	1	0.012987012987	0.787805273371
12	0	0.0	0.0
12	1	0.0	0.0
13	0	1.0	0.909200726536
13	1	1.0	0.909200726536
14	0	3.17379713089e-05	0.509380495349
14	1	0	0
15	0	0	0
15	1	0	0
16	0	0.557692307692	0.93801985348
16	1	0.0	0.0
17	0	5.46209307407e-05	0.509380495349
17	1	5.46209307407e-05	0.509380495349
18	0	0.00277328403051	0.624449053069
18	1	0.00277328403051	0.624449053069
19	0	0.0	0.0
19	1	0.0	0.0
19	2	0.121951219512	0.62452161483
20	0	0	0
20	1	0.00846972645073	0.594923716555
21	0	0.0	0.0
21	1	0	0
22	0	0.457142857143	0.840159280941
22	1	0.0	0.0
23	0	0.03125	0.607212776993
23	1	0.0234375	0.559068571394
24	0	0	0
24	1	0	0
25	0	0.524590163934	0.828237906385
25	1	0.524590163934	0.843579525717
26	0	0	0
26	1	0.0	0.0
27	0	0.0	0.0
27	1	0.0	0.0
28	0	0.0	0.0
28	1	0.0	0.0
29	0	0.0	0.0
29	1	0.310344827586	0.560357627309
30	0	0	0
30	1	0	0
31	0	0.196721311475	0.644945670968
31	1	0.196721311475	0.602450987245
32	0	0.0285714285714	0.595095850209
32	1	0.0285714285714	0.607212776993
33	0	0.0	0.0
33	1	0.278481012658	0.763633251276
33	2	0.0	0.0
33	3	1.0	0.847220580016
33	4	1.0	0.847220580016
34	0	0	0
34	1	0	0
34	2	0.0	0.0
34	3	0.0	0.0
35	0	0.0	0.0
35	1	0.0	0.0
36	0	0.0	0.0
36	1	0.0	0.0
37	0	0.0	0.0
37	1	0	0
38	0	0.047619047619	0.607212776993
38	1	0.047619047619	0.595095850209
38	2	0.0333333333333	0.595095850209
39	0	0.125	0.607212776993
39	1	0.0149253731343	0.509380495349
39	2	0.0232558139535	0.509380495349
39	3	0	0
40	0	0	0
40	1	0.0	0.0
40	2	0	0
41	0	0.121212121212	0.624231926079
41	1	0.04	0.416536013074
42	0	0.0	0.0
42	1	0.0	0.0
42	2	0.0	0.0
43	0	0.00587421277076	0.699693020147
43	1	0.0	0.0
43	2	0.0102261553589	0.767160447288
44	0	0.00291545189504	0.565040492421
44	1	0.00243309002433	0.565040492421
45	0	0.909090909091	0.93801985348
45	1	0.909090909091	0.864718516367
46	0	0.0	0.0
46	1	0.0	0.0
47	0	0.0	0.0
47	1	0.0	0.0
48	0	0.00438596491228	0.509380495349
48	1	0	0
48	2	0	0
49	0	0.194444444444	0.652523789738
49	1	0.194444444444	0.62473986176
50	0	0.0	0.0
50	1	0.0	0.0
51	0	0.00316455696203	0.509380495349
51	1	0.00316455696203	0.509380495349
51	2	0.0222222222222	0.607212776993
52	0	0.0188679245283	0.607212776993
52	1	0.0188679245283	0.595095850209
53	0	0.0166666666667	0.551180687007
53	1	0	0
54	0	0.5	0.851112934334
54	1	0.5	0.820704497767
55	0	0.0	0.0
55	1	0.0	0.0
55	2	1.0	0.825613397796
56	0	1.0	0.870095607965
56	1	1.0	0.87603970696
57	0	0	0
57	1	0	0
58	0	0.0676691729323	0.740758223327
58	1	0.0676691729323	0.740758223327
59	0	0	0
59	1	0	0
60	0	0.0952380952381	0.717316187981
60	1	0.0952380952381	0.717316187981
61	0	0.0119047619048	0.595095850209
61	1	0.0119047619048	0.607212776993
62	0	0.00210703750527	0.48346658956
62	1	0.00210703750527	0.48346658956
63	0	0.0232558139535	0.667301681819
63	1	0.0	0.0
64	0	0.0	0.0
64	1	0.0	0.0
65	0	0	0
65	1	0	0
65	2	0	0
65	3	0	0
66	0	0.685393258427	0.864718516367
66	1	0.685393258427	0.836934588389
67	0	0.0	0.0
67	1	0.00224712543046	0.609502467024
68	0	0.466666666667	0.93801985348
68	1	0.466666666667	0.864718516367
69	0	0.0857142857143	0.851112934334
69	1	0.0857142857143	0.851112934334
70	0	0.263157894737	0.677463816625
70	1	0.0681198910082	0.631384799088
70	2	0.0681198910082	0.631384799088
70	3	0.0	0.0
71	0	0.0689655172414	0.607212776993
71	1	0	0
71	2	0.0	0.0
