Character Number	State Number	SimJ Score	NIC Score
1	0	0.172131147541	0.737438632921
1	1	0.478260869565	0.750703327145
1	2	0.320388349515	0.730377333842
2	0	0.157142857143	0.549870202374
2	1	0.368421052632	0.631139330561
3	0	0	0
3	1	0	0
4	0	0	0
4	1	0	0
5	0	0.586592178771	0.833884290908
5	1	0.972222222222	0.851112934334
5	2	0.0	0.0
6	0	0.738095238095	0.796283708449
6	1	0.738095238095	0.864718516367
6	2	0.361448014073	0.836934588389
6	3	0	0
6	4	0	0
7	0	0.347368421053	0.828237906385
7	1	0.525	0.847220580016
8	0	0.118644067797	0.62452161483
8	1	0.049815498155	0.467066931707
9	0	0.0995260663507	0.551180687007
9	1	0.137254901961	0.595095850209
10	0	0.0	0.0
10	1	0.872727272727	0.87603970696
10	2	0.0	0.0
11	0	0.139146567718	0.836934588389
11	1	0.208526413346	0.830990489394
12	0	0.531914893617	0.851112934334
12	1	0.896551724138	0.890218052905
13	0	0.142857142857	0.830990489394
13	1	0	0
14	0	0.00120059397807	0.461347395545
14	1	0.451154013645	0.847220580016
15	0	0	0
15	1	0	0
16	0	0	0
16	1	0	0
17	0	0.0035279025016	0.639294320833
17	1	0.0035279025016	0.639294320833
18	0	0.00324587503381	0.624449053069
18	1	0.00324587503381	0.624449053069
19	0	0.192429022082	0.551141124061
19	1	0.481553398058	0.87603970696
19	2	0.953846153846	0.796283708449
20	0	0.683193708326	0.85529386606
20	1	0.00353205097609	0.594923716555
21	0	0.0383064516129	0.652048698418
21	1	0.117021276596	0.812007815763
22	0	0.738461538462	0.840159280941
22	1	0.738461538462	0.859809616338
23	0	6.27244358721e-05	0.633814404003
23	1	7.84067743453e-05	0.718073471308
24	0	0.0450958286359	0.808115461445
24	1	0.0570125427594	0.851112934334
25	0	0.671428571429	0.828237906385
25	1	0.671428571429	0.864718516367
26	0	0.206572769953	0.806265565859
26	1	0.669749009247	0.851112934334
27	0	0.24358974359	0.87603970696
27	1	0.24358974359	0.87603970696
28	0	0.0140515222482	0.810028077172
28	1	0.023166023166	0.810028077172
29	0	0.357142857143	0.607212776993
29	1	0.384615384615	0.595095850209
30	0	0.00559617967468	0.676726332126
30	1	0.0055957621428	0.676726332126
31	0	0.0344827586207	0.375489752248
31	1	0.0309278350515	0.375489752248
32	0	0.527777777778	0.833884290908
32	1	0.527777777778	0.847220580016
33	0	0.684931506849	0.847220580016
33	1	0.771929824561	0.766257759861
33	2	0.343891402715	0.789132787814
33	3	1.0	0.847220580016
33	4	1.0	0.847220580016
34	0	0.0	0.0
34	1	0.00253837785568	0.566839812692
34	2	0.00203705500049	0.566839812692
34	3	0.00267209568647	0.566839812692
35	0	0.462686567164	0.782787144346
35	1	0.462686567164	0.804474407146
36	0	0.307692307692	0.810028077172
36	1	0.765957446809	0.890218052905
37	0	0.433962264151	0.960894881429
37	1	0.452830188679	0.796283708449
38	0	0.394736842105	0.864718516367
38	1	0.944444444444	0.820704497767
38	2	0.736842105263	0.802738369847
39	0	0.119718309859	0.780436105806
39	1	0.0982658959538	0.780436105806
39	2	0.784615384615	0.820704497767
39	3	0.927272727273	0.820704497767
40	0	0.00312798679294	0.619855263587
40	1	0.467532467532	0.864718516367
40	2	0.00312798679294	0.619855263587
41	0	0.562248995984	0.823105573348
41	1	1.0	0.859809616338
42	0	0.0	0.0
42	1	0.0	0.0
42	2	0.0	0.0
43	0	0.0	0.0
43	1	0.280155642023	0.709595036229
43	2	0.280155642023	0.709595036229
44	0	0.00687971593431	0.567049151562
44	1	0.0173766816143	0.648496419531
45	0	0.185840707965	0.782787144346
45	1	0.264150943396	0.816188747489
46	0	0.0215767634855	0.649845091576
46	1	0.0215767634855	0.649845091576
47	0	0.755102040816	0.823105573348
47	1	0.698113207547	0.823105573348
48	0	0.0	0.0
48	1	0.71875	0.818401453076
48	2	0.69696969697	0.818401453076
49	0	0.0140845070423	0.551180687007
49	1	0.0188679245283	0.595095850209
50	0	0.125	0.607212776993
50	1	0.09375	0.551180687007
51	0	0.0161113145368	0.683738806658
51	1	0.00396203814613	0.656603887191
51	2	0.95652173913	0.85529386606
