Character Number	State Number	SimJ Score	NIC Score
159	1	0.0235294117647	0.509380495349
159	0	0.0236686390533	0.537708126721
53	1	1.0	0.851112934334
53	0	1.0	0.851112934334
136	0	1.0	0.864718516367
136	1	1.0	0.864718516367
98	0	0.920152091255	0.890218052905
98	1	0.920152091255	0.960894881429
98	2	0.923076923077	0.93801985348
139	1	1.0	0.960894881429
139	0	1.0	0.960894881429
174	0	1.0	0.851112934334
174	1	1.0	0.851112934334
50	0	0.347826086957	0.93801985348
50	1	0.347826086957	0.93801985348
188	2	1.0	0.93801985348
27	0	0.903225806452	0.898914734909
27	1	0.903225806452	0.898914734909
117	1	0.67619047619	0.830990489394
117	0	0.356783919598	0.830990489394
65	0	0.00193675742113	0.595268510668
46	0	0.423913043478	0.833884290908
6	2	0.968263127525	0.909200726536
6	3	0	0
6	0	0.96875	0.796283708449
6	1	0.695067264574	0.843579525717
6	4	0	0
93	0	1.0	0.85529386606
177	1	1.0	0.864718516367
177	0	1.0	0.864718516367
20	1	1.0	0.909200726536
20	0	1.0	0.909200726536
118	0	1.0	0.85529386606
118	1	1.0	0.85529386606
9	1	1.0	0.960894881429
110	1	1.0	0.93801985348
110	2	1.0	0.93801985348
71	2	0.00210282068015	0.55601228532
71	1	0.224489795918	0.625473510078
71	0	0.194444444444	0.663264854285
90	0	1.0	0.960894881429
90	1	1.0	0.960894881429
182	1	0.47619047619	0.921789762858
182	0	0.47619047619	0.890218052905
196	0	1.0	0.921789762858
182	2	0.00433338148202	0.662122197289
55	1	0.00395958492627	0.635729971865
55	0	0.00396174863388	0.635729971865
55	2	0.56862745098	0.825613397796
134	2	0.805194805195	0.909200726536
134	0	0.805194805195	0.780436105806
134	1	0.805194805195	0.780436105806
28	1	0.0230769230769	0.666075182197
28	0	0.0140186915888	0.666075182197
172	0	0.271755930381	0.898914734909
172	1	0.0776361529548	0.665923727717
137	1	1.0	0.851112934334
137	0	1.0	0.851112934334
137	2	0.0127370743834	0.683738806658
145	0	1.0	0.921789762858
189	0	1.0	0.898914734909
48	2	1.0	0.921789762858
200	0	0.41975308642	0.921789762858
200	1	0.41975308642	0.921789762858
145	1	1.0	0.921789762858
63	0	1.0	0.864718516367
52	0	0.962962962963	0.890218052905
52	1	0.962962962963	0.820704497767
79	1	1.0	0.909200726536
79	0	1.0	0.960894881429
154	0	0.870967741935	0.859809616338
154	1	0.870967741935	0.859809616338
44	1	0.661196400212	0.921789762858
44	0	0.189371541202	0.882684644288
77	1	1.0	0.909200726536
175	1	0.96875	0.786508279225
175	0	0.420814479638	0.747403160655
119	0	0.250024784376	0.921789762858
184	3	0.941176470588	0.890218052905
181	2	0.780426599749	0.898914734909
181	0	0.833333333333	0.909200726536
181	1	0.833333333333	0.960894881429
95	1	0.604166666667	0.909200726536
