Character Number	State Number	SimJ Score	NIC Score
1	0	0.117647058824	0.66517249477
1	1	0	0
1	2	0.0769230769231	0.607212776993
2	0	0.428571428571	0.752079413915
2	1	0.464285714286	0.909200726536
3	0	0.000565930956423	0.509380495349
3	1	0.000565610859729	0.509380495349
4	0	0.00354472802269	0.685637119742
4	1	0.00354472802269	0.685637119742
5	0	0	0
5	1	0	0
5	2	0.0	0.0
6	0	0.0	0.0
6	1	0.0	0.0
6	2	0.0620756547042	0.812007815763
6	3	0	0
6	4	0	0
7	0	0.0	0.0
7	1	0	0
8	0	0.0	0.0
8	1	0.0327455919395	0.509380495349
9	0	0.137931034483	0.767160447288
9	1	0.137931034483	0.767160447288
10	0	0.0135062128579	0.63081369179
10	1	0	0
10	2	0.0135062128579	0.650646967665
11	0	0	0
11	1	0.012987012987	0.787805273371
12	0	0.5	0.81405956044
12	1	0.5	0.808115461445
13	0	0.142857142857	0.830990489394
13	1	0.143176733781	0.830990489394
14	0	3.17379713089e-05	0.509380495349
14	1	0	0
15	0	0	0
15	1	0	0
16	0	0.0101659751037	0.711939096383
16	1	0.0	0.0
17	0	0.00440528634361	0.509380495349
17	1	0.00440528634361	0.509380495349
18	0	0.00277328403051	0.624449053069
18	1	0.00277328403051	0.624449053069
19	0	0.0	0.0
19	1	0.0	0.0
19	2	0.538461538462	0.73907401585
20	0	0	0
20	1	0.00846972645073	0.594923716555
21	0	0.0	0.0
21	1	0	0
22	0	0.457142857143	0.840159280941
22	1	0.0	0.0
23	0	0.000644133698733	0.569131975571
23	1	0.000638289150841	0.569131975571
24	0	0	0
24	1	0	0
25	0	0.234375	0.828237906385
25	1	0.234375	0.810028077172
26	0	0	0
26	1	0.0	0.0
27	0	0.0	0.0
27	1	0.0	0.0
28	0	0.0	0.0
28	1	0.0	0.0
29	0	0.0	0.0
29	1	0.321428571429	0.560357627309
30	0	0	0
30	1	0	0
31	0	0.0405405405405	0.405304041991
31	1	0.040404040404	0.405304041991
32	0	0.0188679245283	0.595095850209
32	1	0.0188679245283	0.607212776993
33	0	0.0	0.0
33	1	0.278481012658	0.752079413915
33	2	0.0	0.0
33	3	1.0	0.847220580016
33	4	1.0	0.847220580016
34	0	0	0
34	1	0	0
34	2	0.0	0.0
34	3	0.0	0.0
35	0	0.0	0.0
35	1	0.0	0.0
36	0	0.0	0.0
36	1	0.0	0.0
37	0	0.0	0.0
37	1	0	0
38	0	0.0625	0.607212776993
38	1	0.0192307692308	0.595095850209
38	2	0.0172413793103	0.595095850209
39	0	0.00306748466258	0.509380495349
39	1	0.00262467191601	0.509380495349
39	2	0.00262467191601	0.509380495349
39	3	0	0
40	0	0	0
40	1	0.0	0.0
40	2	0	0
41	0	0.04329004329	0.416536013074
41	1	0.04	0.416536013074
42	0	0.0	0.0
42	1	0.0	0.0
42	2	0.0	0.0
43	0	0.00846845979887	0.661980978793
43	1	0.0	0.0
43	2	0.36974789916	0.733296093001
44	0	0.00207399478156	0.565040492421
44	1	0.00173000725487	0.565040492421
45	0	0.264150943396	0.85529386606
45	1	0.264150943396	0.816188747489
46	0	0.0	0.0
46	1	0.0	0.0
47	0	0.0	0.0
47	1	0.0	0.0
48	0	0.00424628450106	0.546493191447
48	1	0	0
48	2	0	0
49	0	0.0039886039886	0.407640331774
49	1	0.00398746795785	0.407640331774
50	0	0.181818181818	0.624231926079
50	1	0.155844155844	0.549870202374
51	0	7.88736837954e-05	0.537708126721
51	1	7.88736837954e-05	0.537708126721
51	2	0.0222222222222	0.607212776993
52	0	0.0185185185185	0.607212776993
52	1	0.0185185185185	0.595095850209
53	0	0.0222222222222	0.551180687007
53	1	0	0
54	0	0.0187969924812	0.755674053767
54	1	0.018779342723	0.755674053767
55	0	0.0	0.0
55	1	0.0	0.0
55	2	1.0	0.825613397796
56	0	1.0	0.870095607965
56	1	1.0	0.87603970696
57	0	0	0
57	1	0	0
58	0	0.210526315789	0.75138717504
58	1	0.163822525597	0.651110352289
59	0	0	0
59	1	0	0
60	0	0.121212121212	0.717316187981
60	1	0.125	0.754208600969
61	0	0.0119047619048	0.595095850209
61	1	0.0119047619048	0.607212776993
62	0	0.0247524752475	0.48346658956
62	1	0.0246305418719	0.48346658956
63	0	0.0238095238095	0.667301681819
63	1	0.0	0.0
64	0	0.0	0.0
64	1	0.0	0.0
65	0	0	0
65	1	0	0
65	2	0	0
65	3	0	0
66	0	0.260162601626	0.816188747489
66	1	0.260162601626	0.810028077172
67	0	0.0	0.0
67	1	0.00224712543046	0.609502467024
68	0	0.00375346787793	0.720408291141
68	1	0.00268179874849	0.720408291141
69	0	0.428571428571	0.909200726536
69	1	0.428571428571	0.960894881429
70	0	0.265957446809	0.677463816625
70	1	0.01	0.93801985348
70	2	0.00287311694362	0.488460057826
70	3	0.0	0.0
71	0	0.194444444444	0.663264854285
71	1	0	0
71	2	0.0	0.0
72	0	0.0706075533662	0.750027669243
72	1	0.057486631016	0.750027669243
73	0	0.0641711229947	0.607641803855
73	1	0.0470347648262	0.607641803855
74	0	1.0	0.840159280941
74	1	1.0	0.851112934334
75	0	0	0
75	1	0	0
76	0	0.0	0.0
76	1	0.0	0.0
77	0	0.0	0.0
77	1	0.0	0.0
78	0	0.0222222222222	0.607212776993
78	1	0.0222222222222	0.595095850209
79	0	0.00303004797576	0.533867745471
79	1	0.00303004797576	0.533867745471
80	0	1.0	0.847220580016
80	1	1.0	0.847220580016
81	0	0.214285714286	0.780436105806
81	1	0.214285714286	0.746135314925
