Character Number	State Number	SimJ Score	NIC Score
1	0	0.11743772242	0.667146903232
1	1	0.478260869565	0.750703327145
1	2	0.320388349515	0.730377333842
2	0	0.182926829268	0.568482878166
2	1	0.307692307692	0.744285419339
3	0	0	0
3	1	0	0
4	0	0	0
4	1	0	0
5	0	0	0
5	1	0	0
5	2	0.0	0.0
6	0	0.738095238095	0.796283708449
6	1	0.547703180212	0.843579525717
6	2	0.361448014073	0.836934588389
6	3	0.11753371869	0.551141124061
6	4	0	0
7	0	0.142857142857	0.882684644288
7	1	0.0	0.0
8	0	0.118644067797	0.62452161483
8	1	0.0416666666667	0.467066931707
9	0	0.137931034483	0.767160447288
9	1	0.137931034483	0.767160447288
10	0	0.0	0.0
10	1	0.228882833787	0.870095607965
10	2	0.0	0.0
11	0	0.145454545455	0.621758660138
11	1	0.75	0.87603970696
12	0	0.025641025641	0.551180687007
12	1	0.0344827586207	0.595095850209
13	0	1.0	0.87603970696
13	1	0	0
14	0	0.00120059397807	0.461347395545
14	1	0.451154013645	0.847220580016
15	0	0	0
15	1	0	0
16	0	0	0
16	1	0	0
17	0	0.134474327628	0.639294320833
17	1	0.134474327628	0.639294320833
18	0	0.00277328403051	0.624449053069
18	1	0.00277328403051	0.624449053069
19	0	0.0	0.0
19	1	0.0	0.0
19	2	0.753246753247	0.796283708449
20	0	0.683193708326	0.85529386606
20	1	0.00846585058918	0.594923716555
21	0	0	0
21	1	0.218390804598	0.741330987235
22	0	0.738461538462	0.840159280941
22	1	0.738461538462	0.859809616338
23	0	0.000445293366301	0.779296334505
23	1	0.000445293366301	0.779296334505
24	0	0.0263308026506	0.765369288575
24	1	0.0570125427594	0.851112934334
25	0	0.234375	0.828237906385
25	1	0.234375	0.810028077172
26	0	0.14848143982	0.806265565859
26	1	0.503475670308	0.851112934334
27	0	0.0	0.0
27	1	0.0	0.0
28	0	0.40625	0.695453146997
28	1	0.40625	0.695453146997
29	0	0.25	0.595355039459
29	1	0.260869565217	0.560357627309
30	0	0.00559617967468	0.676726332126
30	1	0.0055957621428	0.676726332126
31	0	0	0
31	1	0.0185185185185	0.546493191447
32	0	0.351851851852	0.833884290908
32	1	0.351851851852	0.847220580016
33	0	0.684931506849	0.847220580016
33	1	0.771929824561	0.766257759861
33	2	0.0	0.0
33	3	1.0	0.847220580016
33	4	1.0	0.847220580016
34	0	0.0	0.0
34	1	0.00216524777324	0.566839812692
34	2	0.00216524777324	0.566839812692
34	3	0.00216524777324	0.566839812692
35	0	0.186046511628	0.586442283804
35	1	0.186046511628	0.624231926079
36	0	0.0	0.0
36	1	0.453125	0.890218052905
37	0	0.496402877698	0.776008991463
37	1	0.793103448276	0.796283708449
38	0	0.0	0.0
38	1	0.0	0.0
38	2	0.140625	0.560357627309
39	0	0.00306748466258	0.509380495349
39	1	0.00262467191601	0.509380495349
39	2	0.0227272727273	0.509380495349
39	3	0.0227272727273	0.413085061454
40	0	0.0849056603774	0.619855263587
40	1	0.455696202532	0.864718516367
40	2	0.0849056603774	0.619855263587
41	0	0.11914893617	0.626067376199
41	1	0.162790697674	0.85529386606
42	0	0.0	0.0
42	1	0.0	0.0
42	2	0.0	0.0
43	0	0.0	0.0
43	1	0.303571428571	0.729905224304
43	2	0.303571428571	0.729437032734
44	0	0.150829793087	0.93801985348
44	1	0.150825183374	0.909200726536
45	0	0.185840707965	0.782787144346
45	1	0.264150943396	0.816188747489
46	0	0.0162162162162	0.551180687007
46	1	0.0313901345291	0.770922958601
47	0	0.00251441453158	0.569322710998
47	1	0.601744186047	0.724957159568
48	0	0.00840336134454	0.766257759861
48	1	0.71875	0.818401453076
48	2	1.0	0.870095607965
49	0	0.00234741784038	0.509380495349
49	1	0.00234672924611	0.509380495349
50	0	0.0454545454545	0.607212776993
50	1	0.0340909090909	0.551180687007
51	0	0.00409126671912	0.65869363575
51	1	0.00102475169478	0.567602390629
51	2	0.282608695652	0.697005999907
52	0	0.051724137931	0.520500813811
52	1	0.0701754385965	0.555092833204
53	0	0.130434782609	0.663120750093
53	1	0.00729927007299	0.509380495349
54	0	0.0186567164179	0.755674053767
54	1	0.0186393289842	0.755674053767
55	0	0.0	0.0
55	1	0.00387328814497	0.635729971865
55	2	1.0	0.825613397796
56	0	0.160714285714	0.62473986176
56	1	0.160714285714	0.655336041461
57	0	1.0	0.85529386606
57	1	0.0666666666667	0.723260286976
58	0	0.181818181818	0.651110352289
58	1	0.258064516129	0.651110352289
59	0	0.000710732054016	0.731333573015
59	1	0.000710732054016	0.731333573015
60	0	1.0	0.859809616338
60	1	0.119402985075	0.784000454777
61	0	0.941176470588	0.753489906401
61	1	0.941176470588	0.799418779441
62	0	0.0324324324324	0.525281404968
62	1	0.0322580645161	0.525281404968
63	0	0.847826086957	0.85529386606
63	1	0.847826086957	0.778179134421
64	0	0.028	0.375489752248
64	1	0.0278884462151	0.459998818601
65	0	0.0019116875328	0.595268510668
65	1	0.0039510381159	0.595268510668
65	2	0.00780652074085	0.595268510668
65	3	0	0
66	0	0.168674698795	0.636983729253
66	1	0.168674698795	0.597607592896
67	0	0.00224712543046	0.609502467024
67	1	0.00224712543046	0.609502467024
68	0	0.00190621425848	0.509380495349
68	1	0.00136149686856	0.509380495349
69	0	0.236363636364	0.697005999907
69	1	0.236363636364	0.665321943232
70	0	0.265957446809	0.677463816625
70	1	0.00237920937042	0.405304041991
70	2	0.00313825275657	0.488460057826
70	3	0	0
71	0	0.194444444444	0.663264854285
71	1	0.0017258382643	0.509380495349
71	2	0.0017258382643	0.509380495349
72	0	0.0028818443804	0.509380495349
72	1	0.00205761316872	0.509380495349
73	0	0.0641711229947	0.607641803855
73	1	0.0470347648262	0.607641803855
74	0	1.0	0.840159280941
74	1	1.0	0.851112934334
75	0	0.833333333333	0.851112934334
75	1	0.833333333333	0.847220580016
76	0	0.115646258503	0.816188747489
76	1	0.115646258503	0.816188747489
77	0	0.00804403048264	0.652048698418
77	1	0.38	0.847220580016
78	0	1.0	0.851112934334
78	1	1.0	0.851112934334
79	0	0.0020254873829	0.424461424579
79	1	0.0020254873829	0.424461424579
80	0	1.0	0.847220580016
80	1	1.0	0.847220580016
81	0	0.173210161663	0.707660557781
81	1	0.245098039216	0.746135314925
82	0	1.0	0.85529386606
82	1	1.0	0.790492293611
82	2	1.0	0.851112934334
83	0	0.0	0.0
83	1	0.0	0.0
84	0	1.0	0.847220580016
84	1	1.0	0.847220580016
85	0	0.00343249427918	0.583314207638
85	1	0.00767056923698	0.636085354209
85	2	0.833333333333	0.847220580016
86	0	0.00391961674858	0.614990944172
86	1	0.214653892076	0.864718516367
87	0	0.153846153846	0.696483618764
87	1	0.153846153846	0.719228803708
88	0	1.0	0.851112934334
88	1	1.0	0.851112934334
89	0	0.283582089552	0.859809616338
89	1	0.283582089552	0.859809616338
90	0	0.00114311842707	0.509380495349
90	1	0.00109754424475	0.43553979532
91	0	0.00033383408446	0.413085061454
91	1	0.201728363214	0.836934588389
92	0	0.935483870968	0.85529386606
92	1	1.0	0.870095607965
