Character Number	State Number	SimJ Score	NIC Score
159	1	0.296309072094	0.921789762858
159	0	0.296551724138	0.921789762858
53	1	1.0	0.851112934334
53	0	1.0	0.851112934334
136	0	1.0	0.864718516367
136	1	1.0	0.864718516367
98	0	1.0	0.898914734909
98	1	1.0	0.960894881429
98	2	0.0	0.0
139	1	1.0	0.870095607965
139	0	1.0	0.921789762858
174	0	1.0	0.851112934334
174	1	1.0	0.851112934334
50	0	0.0540540540541	0.921789762858
50	1	0.0540540540541	0.921789762858
188	2	0.363636363636	0.859809616338
27	0	0.0654396728016	0.603142619944
27	1	0.0654396728016	0.603142619944
117	1	1.0	0.898914734909
117	0	1.0	0.898914734909
65	0	1.0	0.960894881429
46	0	1.0	0.960894881429
6	2	0.897081755402	0.909200726536
6	3	0	0
6	0	0.738095238095	0.921789762858
6	1	0.738095238095	0.93801985348
6	4	0	0
93	0	1.0	0.85529386606
177	1	1.0	0.864718516367
177	0	1.0	0.864718516367
20	1	1.0	0.93801985348
20	0	1.0	0.93801985348
118	0	1.0	0.85529386606
118	1	1.0	0.85529386606
9	1	0.275862068966	0.633814404003
110	1	0.92	0.898914734909
110	2	0.92	0.898914734909
71	2	0.183324130315	0.960894881429
71	1	0.183324130315	0.921789762858
71	0	0.194444444444	0.663264854285
90	0	1.0	0.960894881429
90	1	1.0	0.960894881429
182	1	0.962962962963	0.921789762858
182	0	0.962962962963	0.890218052905
196	0	0.644123646634	0.909200726536
182	2	0.0275533183203	0.774954441869
55	1	1.0	0.93801985348
55	0	1.0	0.898914734909
55	2	1.0	0.825613397796
134	2	1.0	0.864718516367
134	0	0.98275862069	0.828237906385
134	1	0.98275862069	0.828237906385
28	1	0.888888888889	0.93801985348
28	0	1.0	0.85529386606
172	0	0.364455659697	0.93801985348
172	1	0.364455659697	0.93801985348
137	1	1.0	0.851112934334
137	0	1.0	0.851112934334
137	2	1.0	0.960894881429
145	0	1.0	0.960894881429
189	0	1.0	0.898914734909
48	2	1.0	0.921789762858
