Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	CP_EQ_1	0.0	0.0
1	0	C_EQ_1	CP_EQ_2	0.0227272727273	0.66517249477
1	0	C_EQ_1	CP_EQ_3	0	0
1	0	C_EQ_2	CP_EQ_1	0.0	0.0
1	0	C_EQ_2	CP_EQ_2	0.0100502512563	0.546493191447
1	0	C_EQ_2	CP_EQ_3	0	0
1	1	C_EQ_1	CP_EQ_1	0	0
1	1	C_EQ_2	CP_EQ_1	0	0
1	2	C_EQ_1	CP_EQ_1	0.0227272727273	0.607212776993
1	2	C_EQ_1	CP_EQ_2	0	0
1	2	C_EQ_2	CP_EQ_1	0.00512820512821	0.509380495349
1	2	C_EQ_2	CP_EQ_2	0	0
2	0	C_EQ_1	CP_EQ_1	0.422535211268	0.752079413915
2	0	C_EQ_1	CP_EQ_2	0.0	0.0
2	1	C_EQ_1	CP_EQ_1	0.422535211268	0.752079413915
2	1	C_EQ_1	CP_EQ_2	0.0	0.0
2	1	C_EQ_1	CP_EQ_3	0.0	0.0
2	1	C_EQ_1	CP_EQ_4	0.0	0.0
2	1	C_EQ_1	CP_EQ_5	0.0654205607477	0.423092098833
2	1	C_EQ_1	CP_EQ_6	0.0603448275862	0.423092098833
2	1	C_EQ_2	CP_EQ_1	0.0821917808219	0.603391700967
2	1	C_EQ_2	CP_EQ_2	0.0	0.0
2	1	C_EQ_2	CP_EQ_3	0.0	0.0
2	1	C_EQ_2	CP_EQ_4	0.0	0.0
2	1	C_EQ_2	CP_EQ_5	0.212121212121	0.693201181314
2	1	C_EQ_2	CP_EQ_6	0.198581560284	0.693201181314
2	1	C_EQ_3	CP_EQ_1	0.0703125	0.603391700967
2	1	C_EQ_3	CP_EQ_2	0.0	0.0
2	1	C_EQ_3	CP_EQ_3	0.0	0.0
2	1	C_EQ_3	CP_EQ_4	0.0	0.0
2	1	C_EQ_3	CP_EQ_5	0.235294117647	0.921789762858
2	1	C_EQ_3	CP_EQ_6	0.372093023256	0.960894881429
2	1	C_EQ_4	CP_EQ_1	0.0787172011662	0.603391700967
2	1	C_EQ_4	CP_EQ_2	0.0	0.0
2	1	C_EQ_4	CP_EQ_3	0.0	0.0
2	1	C_EQ_4	CP_EQ_4	0.0	0.0
2	1	C_EQ_4	CP_EQ_5	0.372093023256	0.960894881429
2	1	C_EQ_4	CP_EQ_6	0.25702811245	0.921789762858
3	0	C_EQ_1	CP_EQ_1	0.025641025641	0.607212776993
3	1	C_EQ_1	CP_EQ_1	0.025641025641	0.595095850209
4	0	C_EQ_1	CP_EQ_1	0.00354472802269	0.685637119742
4	0	C_EQ_1	CP_EQ_2	0.0	0.0
4	1	C_EQ_1	CP_EQ_1	0.00354472802269	0.685637119742
4	1	C_EQ_1	CP_EQ_2	0.0	0.0
5	0	C_EQ_1	CP_EQ_1	0	0
5	0	C_EQ_2	CP_EQ_1	0	0
5	1	C_EQ_1	CP_EQ_1	0	0
5	1	C_EQ_2	CP_EQ_1	0	0
5	2	C_EQ_1	CP_EQ_1	0.0	0.0
5	2	C_EQ_2	CP_EQ_1	0.0	0.0
6	0	C_EQ_1	CP_EQ_1	0.0	0.0
6	0	C_EQ_2	CP_EQ_1	0.0	0.0
6	1	C_EQ_1	CP_EQ_1	0.0	0.0
6	1	C_EQ_2	CP_EQ_1	0.0	0.0
6	1	C_EQ_3	CP_EQ_1	0.0	0.0
6	2	C_EQ_1	CP_EQ_1	0.0593125140418	0.823105573348
6	2	C_EQ_2	CP_EQ_1	0.0451271256126	0.709923997864
6	2	C_EQ_3	CP_EQ_1	0.00303687635575	0.399736163335
6	3	C_EQ_1	CP_EQ_1	0	0
6	4	C_EQ_1	CP_EQ_1	0.00242665700833	0.551141124061
7	0	C_EQ_1	CP_EQ_1	0.0	0.0
7	0	C_EQ_1	CP_EQ_2	0.0	0.0
7	1	C_EQ_1	CP_EQ_1	0	0
8	0	C_EQ_1	CP_EQ_1	0.0	0.0
8	0	C_EQ_1	CP_EQ_2	0.0	0.0
8	0	C_EQ_1	CP_EQ_3	0.0	0.0
8	0	C_EQ_2	CP_EQ_1	0.0	0.0
8	0	C_EQ_2	CP_EQ_2	0.0	0.0
8	0	C_EQ_2	CP_EQ_3	0.0	0.0
8	0	C_EQ_3	CP_EQ_1	0.0	0.0
8	0	C_EQ_3	CP_EQ_2	0.0	0.0
8	0	C_EQ_3	CP_EQ_3	0.0	0.0
8	0	C_EQ_4	CP_EQ_1	0.0	0.0
8	0	C_EQ_4	CP_EQ_2	0.0	0.0
8	0	C_EQ_4	CP_EQ_3	0.0	0.0
8	1	C_EQ_1	CP_EQ_1	0	0
8	1	C_EQ_1	CP_EQ_2	0.00268096514745	0.509380495349
8	1	C_EQ_1	CP_EQ_3	0.0327455919395	0.466773626108
8	1	C_EQ_2	CP_EQ_1	0	0
8	1	C_EQ_2	CP_EQ_2	0.00268096514745	0.509380495349
8	1	C_EQ_2	CP_EQ_3	0.0327455919395	0.466773626108
8	1	C_EQ_3	CP_EQ_1	0	0
8	1	C_EQ_3	CP_EQ_2	0.0141509433962	0.551180687007
8	1	C_EQ_3	CP_EQ_3	0.183962264151	0.631139330561
8	1	C_EQ_4	CP_EQ_1	0	0
8	1	C_EQ_4	CP_EQ_2	0.0141509433962	0.551180687007
8	1	C_EQ_4	CP_EQ_3	0.183962264151	0.631139330561
9	0	C_EQ_1	CP_EQ_1	0.11797752809	0.524008002307
9	1	C_EQ_1	CP_EQ_1	0.11797752809	0.524008002307
10	0	C_EQ_1	CP_EQ_1	0.0178443968594	0.63081369179
10	0	C_EQ_1	CP_EQ_2	0.0	0.0
10	1	C_EQ_1	CP_EQ_1	0	0
10	2	C_EQ_1	CP_EQ_1	0.0178443968594	0.650646967665
10	2	C_EQ_1	CP_EQ_2	0.0	0.0
