Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	1.0	0.909200726536
1	0	C_EQ_1	C_EQ_2	0.0352112676056	0.546493191447
1	0	C_EQ_2	C_EQ_1	0.003663003663	0.546493191447
1	0	C_EQ_2	C_EQ_2	0.0117647058824	0.638451565171
1	1	C_EQ_1	C_EQ_1	0.181818181818	0.820704497767
1	1	C_EQ_1	C_EQ_2	0.0279329608939	0.509380495349
1	1	C_EQ_2	C_EQ_1	0.003663003663	0.546493191447
1	1	C_EQ_2	C_EQ_2	0.0117647058824	0.638451565171
1	2	C_EQ_1	C_EQ_1	1.0	0.859809616338
1	2	C_EQ_1	C_EQ_2	0.0279329608939	0.509380495349
1	2	C_EQ_2	C_EQ_1	0.00305810397554	0.509380495349
1	2	C_EQ_2	C_EQ_2	0.0117647058824	0.638451565171
2	0	C_EQ_1	C_EQ_1	1.0	0.864718516367
2	1	C_EQ_1	C_EQ_1	1.0	0.864718516367
2	1	C_EQ_1	C_EQ_2	0.142857142857	0.851112934334
2	1	C_EQ_1	C_EQ_3	0.109826589595	0.830990489394
2	1	C_EQ_1	C_EQ_4	0.124590163934	0.830990489394
2	1	C_EQ_2	C_EQ_1	0.0656370656371	0.509380495349
2	1	C_EQ_2	C_EQ_2	0.226666666667	0.647505660709
2	1	C_EQ_2	C_EQ_3	0.28	0.921789762858
2	1	C_EQ_2	C_EQ_4	0.19512195122	0.647505660709
3	0	C_EQ_1	C_EQ_1	0.0112044817927	0.746135314925
3	1	C_EQ_1	C_EQ_1	0.0112044817927	0.746135314925
4	0	C_EQ_1	C_EQ_1	0.594690265487	0.816188747489
4	1	C_EQ_1	C_EQ_1	0.594690265487	0.816188747489
5	0	C_EQ_1	C_EQ_1	0.0116279069767	0.595095850209
5	0	C_EQ_1	C_EQ_2	0.00869565217391	0.551180687007
5	0	C_EQ_2	C_EQ_1	0.00869565217391	0.551180687007
5	0	C_EQ_2	C_EQ_2	0.0116279069767	0.607212776993
5	1	C_EQ_1	C_EQ_1	0.0116279069767	0.595095850209
5	1	C_EQ_1	C_EQ_2	0.0116279069767	0.595095850209
5	1	C_EQ_2	C_EQ_1	0.0116279069767	0.595095850209
5	1	C_EQ_2	C_EQ_2	0.0116279069767	0.595095850209
5	2	C_EQ_1	C_EQ_1	0.120967741935	0.85529386606
5	2	C_EQ_1	C_EQ_2	0.120967741935	0.85529386606
5	2	C_EQ_2	C_EQ_1	0.120967741935	0.85529386606
5	2	C_EQ_2	C_EQ_2	0.120967741935	0.85529386606
6	0	C_EQ_1	C_EQ_1	1.0	0.825613397796
6	0	C_EQ_1	C_EQ_2	0.0030387347148	0.562565676318
6	0	C_EQ_2	C_EQ_1	0.0030387347148	0.562565676318
6	0	C_EQ_2	C_EQ_2	1.0	0.93801985348
6	1	C_EQ_1	C_EQ_1	0.714285714286	0.859809616338
6	1	C_EQ_1	C_EQ_2	0.0110755270883	0.56691822377
6	1	C_EQ_1	C_EQ_3	0.0110755270883	0.56691822377
6	1	C_EQ_2	C_EQ_1	0.00738368472556	0.563616571206
6	1	C_EQ_2	C_EQ_2	0.16779264124	0.81405956044
6	1	C_EQ_2	C_EQ_3	0.16779264124	0.81405956044
6	2	C_EQ_1	C_EQ_1	0.464926783184	0.820704497767
6	2	C_EQ_1	C_EQ_2	0.81541924592	0.93801985348
6	2	C_EQ_1	C_EQ_3	0.0106857780448	0.56691822377
6	2	C_EQ_2	C_EQ_1	0.219437103234	0.81405956044
6	2	C_EQ_2	C_EQ_2	0.159267051962	0.812007815763
6	2	C_EQ_2	C_EQ_3	0.00667959491489	0.553544778984
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.710526315789	0.898914734909
7	1	C_EQ_1	C_EQ_1	0.710526315789	0.847220580016
8	0	C_EQ_1	C_EQ_1	1.0	0.898914734909
8	0	C_EQ_1	C_EQ_2	0.927272727273	0.870095607965
8	0	C_EQ_1	C_EQ_3	0.0871794871795	0.799418779441
8	0	C_EQ_1	C_EQ_4	0.0909090909091	0.840159280941
8	0	C_EQ_2	C_EQ_1	0.0909090909091	0.840159280941
8	0	C_EQ_2	C_EQ_2	0.0871794871795	0.799418779441
8	0	C_EQ_2	C_EQ_3	0.927272727273	0.864718516367
8	0	C_EQ_2	C_EQ_4	1.0	0.898914734909
8	0	C_EQ_3	C_EQ_1	0.927272727273	0.870095607965
8	0	C_EQ_3	C_EQ_2	1.0	0.921789762858
8	0	C_EQ_3	C_EQ_3	0.0909090909091	0.847220580016
8	0	C_EQ_3	C_EQ_4	0.0871794871795	0.799418779441
8	0	C_EQ_4	C_EQ_1	0.0871794871795	0.799418779441
8	0	C_EQ_4	C_EQ_2	0.0909090909091	0.847220580016
8	0	C_EQ_4	C_EQ_3	1.0	0.909200726536
8	0	C_EQ_4	C_EQ_4	0.927272727273	0.864718516367
8	1	C_EQ_1	C_EQ_1	1.0	0.93801985348
8	1	C_EQ_1	C_EQ_2	0.927272727273	0.882684644288
8	1	C_EQ_1	C_EQ_3	0.0958646616541	0.799418779441
8	1	C_EQ_1	C_EQ_4	0.0979284369115	0.836934588389
8	1	C_EQ_2	C_EQ_1	0.927272727273	0.882684644288
8	1	C_EQ_2	C_EQ_2	1.0	0.909200726536
8	1	C_EQ_2	C_EQ_3	0.0979284369115	0.843579525717
8	1	C_EQ_2	C_EQ_4	0.0958646616541	0.799418779441
9	0	C_EQ_1	C_EQ_1	0.0913705583756	0.652882752311
9	1	C_EQ_1	C_EQ_1	0.0913705583756	0.652882752311
10	0	C_EQ_1	C_EQ_1	0.750692520776	0.898914734909
10	1	C_EQ_1	C_EQ_1	0.522157996146	0.836934588389
10	2	C_EQ_1	C_EQ_1	0.750692520776	0.898914734909
11	0	C_EQ_1	C_EQ_1	1.0	0.882684644288
11	1	C_EQ_1	C_EQ_1	0.272727272727	0.859809616338
11	1	C_EQ_1	C_EQ_2	0.214285714286	0.859809616338
11	1	C_EQ_2	C_EQ_1	0.4	0.870095607965
