Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	CP_EQ_1	0.0	0.0
1	0	C_EQ_1	CP_EQ_2	0.0227272727273	0.66517249477
1	0	C_EQ_1	CP_EQ_3	0	0
1	0	C_EQ_2	CP_EQ_1	0.0	0.0
1	0	C_EQ_2	CP_EQ_2	0.0125786163522	0.546493191447
1	0	C_EQ_2	CP_EQ_3	0	0
1	1	C_EQ_1	CP_EQ_1	0	0
1	1	C_EQ_2	CP_EQ_1	0	0
1	2	C_EQ_1	CP_EQ_1	0.0227272727273	0.607212776993
1	2	C_EQ_1	CP_EQ_2	0	0
1	2	C_EQ_2	CP_EQ_1	0.00645161290323	0.509380495349
1	2	C_EQ_2	CP_EQ_2	0	0
2	0	C_EQ_1	CP_EQ_1	0.422535211268	0.752079413915
2	0	C_EQ_1	CP_EQ_2	0.0	0.0
2	1	C_EQ_1	CP_EQ_1	0.422535211268	0.752079413915
2	1	C_EQ_1	CP_EQ_2	0.0	0.0
2	1	C_EQ_1	CP_EQ_3	0.0	0.0
2	1	C_EQ_1	CP_EQ_4	0.0	0.0
2	1	C_EQ_1	CP_EQ_5	0.0654205607477	0.423092098833
2	1	C_EQ_1	CP_EQ_6	0.0603448275862	0.423092098833
2	1	C_EQ_2	CP_EQ_1	0.0557491289199	0.408946686636
2	1	C_EQ_2	CP_EQ_2	0.0	0.0
2	1	C_EQ_2	CP_EQ_3	0.0	0.0
2	1	C_EQ_2	CP_EQ_4	0.0	0.0
2	1	C_EQ_2	CP_EQ_5	0.295454545455	0.647505660709
2	1	C_EQ_2	CP_EQ_6	0.464285714286	0.909200726536
3	0	C_EQ_1	CP_EQ_1	0.00036563071298	0.509380495349
3	1	C_EQ_1	CP_EQ_1	0.00036563071298	0.509380495349
4	0	C_EQ_1	CP_EQ_1	0.00351774864087	0.685637119742
4	0	C_EQ_1	CP_EQ_2	0.0	0.0
4	1	C_EQ_1	CP_EQ_1	0.00351774864087	0.685637119742
4	1	C_EQ_1	CP_EQ_2	0.0	0.0
5	0	C_EQ_1	CP_EQ_1	0	0
5	0	C_EQ_2	CP_EQ_1	0	0
5	1	C_EQ_1	CP_EQ_1	0	0
5	1	C_EQ_2	CP_EQ_1	0	0
5	2	C_EQ_1	CP_EQ_1	0.0	0.0
5	2	C_EQ_2	CP_EQ_1	0.0	0.0
6	0	C_EQ_1	CP_EQ_1	0.0	0.0
6	0	C_EQ_2	CP_EQ_1	0.0	0.0
6	1	C_EQ_1	CP_EQ_1	0.0	0.0
6	1	C_EQ_2	CP_EQ_1	0.0	0.0
6	2	C_EQ_1	CP_EQ_1	0.0495009391919	0.777083628918
6	2	C_EQ_2	CP_EQ_1	0.0406905055487	0.812007815763
6	3	C_EQ_1	CP_EQ_1	0	0
6	4	C_EQ_1	CP_EQ_1	0	0
7	0	C_EQ_1	CP_EQ_1	0.0	0.0
7	0	C_EQ_1	CP_EQ_2	0.0	0.0
7	1	C_EQ_1	CP_EQ_1	0	0
8	0	C_EQ_1	CP_EQ_1	0.0	0.0
8	0	C_EQ_1	CP_EQ_2	0.0	0.0
8	0	C_EQ_1	CP_EQ_3	0.0	0.0
8	0	C_EQ_2	CP_EQ_1	0.0	0.0
8	0	C_EQ_2	CP_EQ_2	0.0	0.0
8	0	C_EQ_2	CP_EQ_3	0.0	0.0
8	0	C_EQ_3	CP_EQ_1	0.0	0.0
8	0	C_EQ_3	CP_EQ_2	0.0	0.0
8	0	C_EQ_3	CP_EQ_3	0.0	0.0
8	0	C_EQ_4	CP_EQ_1	0.0	0.0
8	0	C_EQ_4	CP_EQ_2	0.0	0.0
8	0	C_EQ_4	CP_EQ_3	0.0	0.0
8	1	C_EQ_1	CP_EQ_1	0	0
8	1	C_EQ_1	CP_EQ_2	0.00268096514745	0.509380495349
8	1	C_EQ_1	CP_EQ_3	0.0327455919395	0.466773626108
8	1	C_EQ_2	CP_EQ_1	0	0
8	1	C_EQ_2	CP_EQ_2	0.00268096514745	0.509380495349
8	1	C_EQ_2	CP_EQ_3	0.0327455919395	0.466773626108
9	0	C_EQ_1	CP_EQ_1	0.0510948905109	0.375489752248
9	1	C_EQ_1	CP_EQ_1	0.0510948905109	0.375489752248
10	0	C_EQ_1	CP_EQ_1	0.0135062128579	0.63081369179
10	0	C_EQ_1	CP_EQ_2	0.0	0.0
10	1	C_EQ_1	CP_EQ_1	0	0
10	2	C_EQ_1	CP_EQ_1	0.0135062128579	0.650646967665
10	2	C_EQ_1	CP_EQ_2	0.0	0.0
11	0	C_EQ_1	CP_EQ_1	0	0
11	1	C_EQ_1	CP_EQ_1	0.00761421319797	0.563419567913
11	1	C_EQ_2	CP_EQ_1	0.012987012987	0.787805273371
12	0	C_EQ_1	CP_EQ_1	0.5	0.81405956044
12	1	C_EQ_1	CP_EQ_1	0.5	0.808115461445
13	0	C_EQ_1	CP_EQ_1	0.00249311795564	0.651110352289
13	1	C_EQ_1	CP_EQ_1	0.00249311795564	0.651110352289
14	0	C_EQ_1	CP_EQ_1	3.17379713089e-05	0.509380495349
14	1	C_EQ_1	CP_EQ_1	0	0
15	0	C_EQ_1	CP_EQ_1	0	0
15	1	C_EQ_1	CP_EQ_1	0	0
16	0	C_EQ_1	CP_EQ_1	0.00866796391297	0.711939096383
16	0	C_EQ_1	CP_EQ_2	0.0	0.0
16	0	C_EQ_1	CP_EQ_3	0.0	0.0
16	1	C_EQ_1	CP_EQ_1	0.0	0.0
16	1	C_EQ_1	CP_EQ_2	0.0	0.0
16	1	C_EQ_1	CP_EQ_3	0.0	0.0
17	0	C_EQ_1	CP_EQ_1	5.46209307407e-05	0.509380495349
17	1	C_EQ_1	CP_EQ_1	5.46209307407e-05	0.509380495349
18	0	C_EQ_1	CP_EQ_1	0.00277328403051	0.624449053069
