Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.0166666666667	0.870095607965
1	0	C_EQ_1	C_EQ_2	0.00492610837438	0.546493191447
1	0	C_EQ_2	C_EQ_1	0.099706744868	0.546493191447
1	0	C_EQ_2	C_EQ_2	0.955555555556	0.898914734909
1	1	C_EQ_1	C_EQ_1	0.0138504155125	0.743682025775
1	1	C_EQ_1	C_EQ_2	0.00742115027829	0.638451565171
1	1	C_EQ_1	C_EQ_3	0.00534759358289	0.509380495349
1	1	C_EQ_2	C_EQ_1	0.099706744868	0.546493191447
1	1	C_EQ_2	C_EQ_2	0.0791618160652	0.546493191447
1	1	C_EQ_2	C_EQ_3	0.181818181818	0.820704497767
1	2	C_EQ_1	C_EQ_1	0.0138504155125	0.743682025775
1	2	C_EQ_1	C_EQ_2	0.00742115027829	0.638451565171
1	2	C_EQ_1	C_EQ_3	0.00534759358289	0.509380495349
1	2	C_EQ_2	C_EQ_1	0.0685483870968	0.534379631449
1	2	C_EQ_2	C_EQ_2	0.0505200594354	0.534379631449
1	2	C_EQ_2	C_EQ_3	1.0	0.859809616338
2	0	C_EQ_1	C_EQ_1	0.388888888889	0.631139330561
2	1	C_EQ_1	C_EQ_1	0.0801526717557	0.509380495349
2	1	C_EQ_1	C_EQ_2	0.388888888889	0.631139330561
2	1	C_EQ_2	C_EQ_1	0.388888888889	0.870095607965
2	1	C_EQ_2	C_EQ_2	0.0709459459459	0.509380495349
2	1	C_EQ_3	C_EQ_1	0.25	0.633049131012
2	1	C_EQ_3	C_EQ_2	0.0705882352941	0.509380495349
2	1	C_EQ_4	C_EQ_1	0.227488151659	0.633049131012
2	1	C_EQ_4	C_EQ_2	0.0634920634921	0.509380495349
3	0	C_EQ_1	C_EQ_1	0.00679291889667	0.781599379197
3	1	C_EQ_1	C_EQ_1	0.00679291889667	0.781599379197
4	0	C_EQ_1	C_EQ_1	0.0178471834914	0.752079413915
4	1	C_EQ_1	C_EQ_1	0.333830104322	0.752079413915
5	0	C_EQ_1	C_EQ_1	0.11553030303	0.808115461445
5	0	C_EQ_1	C_EQ_2	0.586592178771	0.833884290908
5	0	C_EQ_2	C_EQ_1	0.11553030303	0.808115461445
5	0	C_EQ_2	C_EQ_2	1.0	0.909200726536
5	1	C_EQ_1	C_EQ_1	0.11553030303	0.808115461445
5	1	C_EQ_1	C_EQ_2	0.972222222222	0.851112934334
5	1	C_EQ_2	C_EQ_1	0.11553030303	0.808115461445
5	1	C_EQ_2	C_EQ_2	1.0	0.85529386606
5	2	C_EQ_1	C_EQ_1	0.2	0.85529386606
6	0	C_EQ_1	C_EQ_1	0.738095238095	0.796283708449
6	0	C_EQ_1	C_EQ_2	0.0956790123457	0.551141124061
6	0	C_EQ_2	C_EQ_1	0.00227481196111	0.551141124061
6	0	C_EQ_2	C_EQ_2	0.00453896555511	0.553544778984
6	0	C_EQ_3	C_EQ_1	0.141714285714	0.720012382427
6	0	C_EQ_3	C_EQ_2	0.123876123876	0.553544778984
6	1	C_EQ_1	C_EQ_1	0.00673059525963	0.563419567913
6	1	C_EQ_1	C_EQ_2	0.00453896555511	0.553544778984
6	1	C_EQ_2	C_EQ_1	0.738095238095	0.864718516367
6	1	C_EQ_2	C_EQ_2	0.0992	0.553544778984
6	1	C_EQ_3	C_EQ_1	0.00833893745797	0.563419567913
6	1	C_EQ_3	C_EQ_2	0.00563918322798	0.553544778984
6	2	C_EQ_1	C_EQ_1	0.00559112634142	0.553544778984
6	2	C_EQ_1	C_EQ_2	0.186746619348	0.802738369847
6	2	C_EQ_2	C_EQ_1	0.08617095205	0.553544778984
6	2	C_EQ_2	C_EQ_2	0.0104114189757	0.563419567913
6	2	C_EQ_3	C_EQ_1	0.00539177319767	0.553544778984
6	2	C_EQ_3	C_EQ_2	0.734997809899	0.909200726536
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.675675675676	0.921789762858
7	1	C_EQ_1	C_EQ_1	0.675675675676	0.921789762858
8	0	C_EQ_1	C_EQ_1	1.0	0.898914734909
8	0	C_EQ_1	C_EQ_2	0.0909090909091	0.840159280941
8	0	C_EQ_1	C_EQ_3	0.564575645756	0.847220580016
8	0	C_EQ_1	C_EQ_4	0.0871794871795	0.799418779441
8	0	C_EQ_2	C_EQ_1	0.0909090909091	0.840159280941
8	0	C_EQ_2	C_EQ_2	1.0	0.898914734909
8	0	C_EQ_2	C_EQ_3	0.0871794871795	0.799418779441
8	0	C_EQ_2	C_EQ_4	0.927272727273	0.864718516367
8	0	C_EQ_3	C_EQ_1	0.927272727273	0.870095607965
8	0	C_EQ_3	C_EQ_2	0.0871794871795	0.799418779441
8	0	C_EQ_3	C_EQ_3	0.6	0.909200726536
8	0	C_EQ_3	C_EQ_4	0.0909090909091	0.847220580016
8	0	C_EQ_4	C_EQ_1	0.0871794871795	0.799418779441
8	0	C_EQ_4	C_EQ_2	0.927272727273	0.864718516367
8	0	C_EQ_4	C_EQ_3	0.0909090909091	0.847220580016
8	0	C_EQ_4	C_EQ_4	1.0	0.909200726536
8	1	C_EQ_1	C_EQ_1	0.472222222222	0.830990489394
8	1	C_EQ_2	C_EQ_1	0.472222222222	0.830990489394
9	0	C_EQ_1	C_EQ_1	0.298429319372	0.882684644288
9	1	C_EQ_1	C_EQ_1	0.301587301587	0.909200726536
10	0	C_EQ_1	C_EQ_1	0.750692520776	0.898914734909
10	1	C_EQ_1	C_EQ_1	0.461866212186	0.836934588389
10	2	C_EQ_1	C_EQ_1	0.750692520776	0.898914734909
11	0	C_EQ_1	C_EQ_1	0.733118971061	0.870095607965
11	1	C_EQ_1	C_EQ_1	0.404255319149	0.890218052905
11	1	C_EQ_1	C_EQ_2	0.974358974359	0.909200726536
11	1	C_EQ_2	C_EQ_1	0.733118971061	0.93801985348
11	1	C_EQ_2	C_EQ_2	0.392764857881	0.85529386606
12	0	C_EQ_1	C_EQ_1	0.0232558139535	0.607212776993
12	1	C_EQ_1	C_EQ_1	0.0232558139535	0.595095850209
13	0	C_EQ_1	C_EQ_1	1.0	0.909200726536
13	1	C_EQ_1	C_EQ_1	1.0	0.909200726536
14	0	C_EQ_1	C_EQ_1	0.666666666667	0.851112934334
14	1	C_EQ_1	C_EQ_1	1.0	0.890218052905
15	0	C_EQ_1	C_EQ_1	1.0	0.921789762858
15	1	C_EQ_1	C_EQ_1	1.0	0.921789762858
16	0	C_EQ_1	C_EQ_1	0.0101252788742	0.723260286976
16	1	C_EQ_1	C_EQ_1	0.0101252788742	0.723260286976
17	0	C_EQ_1	C_EQ_1	0.841573340617	0.921789762858
17	1	C_EQ_1	C_EQ_1	0.841573340617	0.909200726536
18	0	C_EQ_1	C_EQ_1	0.853181076672	0.921789762858
18	1	C_EQ_1	C_EQ_1	0.853181076672	0.898914734909
