Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.00492610837438	0.546493191447
1	0	C_EQ_1	C_EQ_2	1.0	0.909200726536
1	0	C_EQ_2	C_EQ_1	0.571428571429	0.732799025817
1	0	C_EQ_2	C_EQ_2	0.0049504950495	0.546493191447
1	1	C_EQ_1	C_EQ_1	0.00534759358289	0.509380495349
1	1	C_EQ_1	C_EQ_2	0.181818181818	0.820704497767
1	1	C_EQ_2	C_EQ_1	0.571428571429	0.732799025817
1	1	C_EQ_2	C_EQ_2	0.0049504950495	0.546493191447
1	2	C_EQ_1	C_EQ_1	0.00534759358289	0.509380495349
1	2	C_EQ_1	C_EQ_2	1.0	0.859809616338
1	2	C_EQ_2	C_EQ_1	0.571428571429	0.732799025817
1	2	C_EQ_2	C_EQ_2	0.00540540540541	0.509380495349
2	0	C_EQ_1	C_EQ_1	0.936170212766	0.847220580016
2	1	C_EQ_1	C_EQ_1	0.936170212766	0.847220580016
2	1	C_EQ_1	C_EQ_2	0.13707165109	0.830990489394
2	1	C_EQ_1	C_EQ_3	0.0697674418605	0.509380495349
2	1	C_EQ_1	C_EQ_4	0.0641025641026	0.509380495349
2	1	C_EQ_2	C_EQ_1	0.0656370656371	0.509380495349
2	1	C_EQ_2	C_EQ_2	0.226666666667	0.647505660709
2	1	C_EQ_2	C_EQ_3	0.316384180791	0.647505660709
2	1	C_EQ_2	C_EQ_4	0.5	0.921789762858
3	0	C_EQ_1	C_EQ_1	0.00523560209424	0.69271272146
3	1	C_EQ_1	C_EQ_1	0.00523286237572	0.69271272146
4	0	C_EQ_1	C_EQ_1	1.0	0.93801985348
4	1	C_EQ_1	C_EQ_1	1.0	0.93801985348
5	0	C_EQ_1	C_EQ_1	0.11553030303	0.808115461445
5	0	C_EQ_1	C_EQ_2	0.11553030303	0.808115461445
5	0	C_EQ_2	C_EQ_1	0.573770491803	0.833884290908
5	0	C_EQ_2	C_EQ_2	0.972602739726	0.909200726536
5	1	C_EQ_1	C_EQ_1	0.11553030303	0.808115461445
5	1	C_EQ_1	C_EQ_2	0.11553030303	0.808115461445
5	1	C_EQ_2	C_EQ_1	0.945945945946	0.851112934334
5	1	C_EQ_2	C_EQ_2	0.972602739726	0.85529386606
5	2	C_EQ_1	C_EQ_1	0.2	0.85529386606
5	2	C_EQ_2	C_EQ_1	0.2	0.85529386606
6	0	C_EQ_1	C_EQ_1	0.738095238095	0.796283708449
6	0	C_EQ_1	C_EQ_2	0.00227481196111	0.551141124061
6	0	C_EQ_1	C_EQ_3	0.141714285714	0.720012382427
6	0	C_EQ_2	C_EQ_1	0.00249718060255	0.551141124061
6	0	C_EQ_2	C_EQ_2	0.639449949187	0.921789762858
6	0	C_EQ_2	C_EQ_3	0.00740475337394	0.563419567913
6	1	C_EQ_1	C_EQ_1	0.00673059525963	0.563419567913
6	1	C_EQ_1	C_EQ_2	0.547703180212	0.843579525717
6	1	C_EQ_1	C_EQ_3	0.00833893745797	0.563419567913
6	1	C_EQ_2	C_EQ_1	0.227623434983	0.81405956044
6	1	C_EQ_2	C_EQ_2	0.00719090698214	0.553544778984
6	1	C_EQ_2	C_EQ_3	0.138575995698	0.806265565859
6	2	C_EQ_1	C_EQ_1	0.138575995698	0.806265565859
6	2	C_EQ_1	C_EQ_2	0.00719090698214	0.553544778984
6	2	C_EQ_1	C_EQ_3	0.17714475793	0.802738369847
6	2	C_EQ_2	C_EQ_1	0.186746619348	0.802738369847
6	2	C_EQ_2	C_EQ_2	0.0104114189757	0.563419567913
6	2	C_EQ_2	C_EQ_3	0.734997809899	0.909200726536
6	2	C_EQ_3	C_EQ_1	0.00759631036354	0.563419567913
6	2	C_EQ_3	C_EQ_2	0.484149855908	0.882684644288
6	2	C_EQ_3	C_EQ_3	0.0073247296826	0.563419567913
6	3	C_EQ_1	C_EQ_1	0.248	0.812007815763
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.658536585366	0.898914734909
7	0	C_EQ_2	C_EQ_1	0.0614525139665	0.825613397796
7	1	C_EQ_1	C_EQ_1	0.658536585366	0.847220580016
8	0	C_EQ_1	C_EQ_1	1.0	0.898914734909
8	0	C_EQ_1	C_EQ_2	0.0909090909091	0.840159280941
8	0	C_EQ_1	C_EQ_3	0.927272727273	0.870095607965
8	0	C_EQ_1	C_EQ_4	0.0871794871795	0.799418779441
8	0	C_EQ_2	C_EQ_1	0.927272727273	0.870095607965
8	0	C_EQ_2	C_EQ_2	0.0871794871795	0.799418779441
8	0	C_EQ_2	C_EQ_3	1.0	0.921789762858
8	0	C_EQ_2	C_EQ_4	0.0909090909091	0.847220580016
8	0	C_EQ_3	C_EQ_1	0.0909090909091	0.840159280941
8	0	C_EQ_3	C_EQ_2	1.0	0.898914734909
8	0	C_EQ_3	C_EQ_3	0.0871794871795	0.799418779441
8	0	C_EQ_3	C_EQ_4	0.927272727273	0.864718516367
8	0	C_EQ_4	C_EQ_1	0.0871794871795	0.799418779441
8	0	C_EQ_4	C_EQ_2	0.927272727273	0.864718516367
8	0	C_EQ_4	C_EQ_3	0.0909090909091	0.847220580016
8	0	C_EQ_4	C_EQ_4	1.0	0.909200726536
8	1	C_EQ_1	C_EQ_1	0.927272727273	0.882684644288
8	1	C_EQ_1	C_EQ_2	0.927272727273	0.882684644288
8	1	C_EQ_2	C_EQ_1	1.0	0.909200726536
8	1	C_EQ_2	C_EQ_2	1.0	0.909200726536
9	0	C_EQ_1	C_EQ_1	0.0571428571429	0.509380495349
9	1	C_EQ_1	C_EQ_1	0.0363636363636	0.509380495349
10	0	C_EQ_1	C_EQ_1	0.750692520776	0.898914734909
10	1	C_EQ_1	C_EQ_1	0.461866212186	0.836934588389
10	2	C_EQ_1	C_EQ_1	0.750692520776	0.898914734909
11	0	C_EQ_1	C_EQ_1	1.0	0.882684644288
11	1	C_EQ_1	C_EQ_1	0.214285714286	0.859809616338
11	1	C_EQ_1	C_EQ_2	0.272727272727	0.859809616338
11	1	C_EQ_2	C_EQ_1	1.0	0.921789762858
