Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.00492610837438	0.546493191447
1	0	C_EQ_1	C_EQ_2	0.030303030303	0.870095607965
1	0	C_EQ_2	C_EQ_1	1.0	0.909200726536
1	0	C_EQ_2	C_EQ_2	0.0352112676056	0.546493191447
1	1	C_EQ_1	C_EQ_1	0.00492610837438	0.546493191447
1	1	C_EQ_1	C_EQ_2	0.030303030303	0.921789762858
1	1	C_EQ_2	C_EQ_1	1.0	0.960894881429
1	1	C_EQ_2	C_EQ_2	0.0352112676056	0.546493191447
1	2	C_EQ_1	C_EQ_1	0.00534759358289	0.509380495349
1	2	C_EQ_1	C_EQ_2	0.030303030303	0.921789762858
1	2	C_EQ_2	C_EQ_1	1.0	0.859809616338
1	2	C_EQ_2	C_EQ_2	0.0279329608939	0.509380495349
2	0	C_EQ_1	C_EQ_1	1.0	0.864718516367
2	1	C_EQ_1	C_EQ_1	1.0	0.864718516367
2	1	C_EQ_1	C_EQ_2	0.142857142857	0.851112934334
2	1	C_EQ_1	C_EQ_3	0.109826589595	0.830990489394
2	1	C_EQ_1	C_EQ_4	0.124590163934	0.830990489394
2	1	C_EQ_2	C_EQ_1	0.142857142857	0.851112934334
2	1	C_EQ_2	C_EQ_2	1.0	0.93801985348
2	1	C_EQ_2	C_EQ_3	0.469135802469	0.909200726536
2	1	C_EQ_2	C_EQ_4	0.537102473498	0.909200726536
2	1	C_EQ_3	C_EQ_1	0.0688073394495	0.509380495349
2	1	C_EQ_3	C_EQ_2	0.22641509434	0.693201181314
2	1	C_EQ_3	C_EQ_3	0.213523131673	0.693201181314
2	1	C_EQ_3	C_EQ_4	0.333333333333	0.960894881429
2	1	C_EQ_4	C_EQ_1	0.0632911392405	0.509380495349
2	1	C_EQ_4	C_EQ_2	0.211267605634	0.693201181314
2	1	C_EQ_4	C_EQ_3	0.333333333333	0.93801985348
