Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	1.0	0.909200726536
1	0	C_EQ_1	C_EQ_2	0.003663003663	0.546493191447
1	0	C_EQ_2	C_EQ_1	0.0049504950495	0.546493191447
1	0	C_EQ_2	C_EQ_2	0.0519480519481	0.732799025817
1	1	C_EQ_1	C_EQ_1	1.0	0.847220580016
1	1	C_EQ_1	C_EQ_2	0.00305810397554	0.509380495349
1	1	C_EQ_2	C_EQ_1	0.00540540540541	0.509380495349
1	1	C_EQ_2	C_EQ_2	0.0519480519481	0.732799025817
1	2	C_EQ_1	C_EQ_1	1.0	0.859809616338
1	2	C_EQ_1	C_EQ_2	0.00305810397554	0.509380495349
1	2	C_EQ_2	C_EQ_1	0.00540540540541	0.509380495349
1	2	C_EQ_2	C_EQ_2	0.0519480519481	0.732799025817
2	0	C_EQ_1	C_EQ_1	0.936170212766	0.847220580016
2	1	C_EQ_1	C_EQ_1	0.936170212766	0.847220580016
2	1	C_EQ_1	C_EQ_2	0.06640625	0.509380495349
2	1	C_EQ_2	C_EQ_1	0.0656370656371	0.509380495349
2	1	C_EQ_2	C_EQ_2	1.0	0.960894881429
3	0	C_EQ_1	C_EQ_1	0.215135135135	0.921789762858
3	1	C_EQ_1	C_EQ_1	0.215077006215	0.921789762858
4	0	C_EQ_1	C_EQ_1	0.766666666667	0.93801985348
4	1	C_EQ_1	C_EQ_1	0.766666666667	0.93801985348
5	0	C_EQ_1	C_EQ_1	0.11553030303	0.808115461445
5	0	C_EQ_1	C_EQ_2	0.11553030303	0.808115461445
5	0	C_EQ_2	C_EQ_1	0.573770491803	0.833884290908
5	0	C_EQ_2	C_EQ_2	0.972602739726	0.909200726536
5	1	C_EQ_1	C_EQ_1	0.11553030303	0.808115461445
5	1	C_EQ_1	C_EQ_2	0.11553030303	0.808115461445
5	1	C_EQ_2	C_EQ_1	0.972602739726	0.85529386606
5	1	C_EQ_2	C_EQ_2	0.945945945946	0.851112934334
5	2	C_EQ_1	C_EQ_1	0.666666666667	0.898914734909
5	2	C_EQ_1	C_EQ_2	1.0	0.960894881429
5	2	C_EQ_2	C_EQ_1	1.0	0.960894881429
5	2	C_EQ_2	C_EQ_2	0.666666666667	0.898914734909
6	0	C_EQ_1	C_EQ_1	0.738095238095	0.796283708449
6	0	C_EQ_1	C_EQ_2	0.00227481196111	0.551141124061
6	0	C_EQ_2	C_EQ_1	0.00249718060255	0.551141124061
6	0	C_EQ_2	C_EQ_2	0.639449949187	0.921789762858
6	1	C_EQ_1	C_EQ_1	0.738095238095	0.93801985348
6	1	C_EQ_1	C_EQ_2	0.00556453060492	0.553544778984
6	1	C_EQ_2	C_EQ_1	0.00719090698214	0.553544778984
6	1	C_EQ_2	C_EQ_2	0.734988136521	0.909200726536
6	2	C_EQ_1	C_EQ_1	0.17714475793	0.802738369847
6	2	C_EQ_1	C_EQ_2	0.897081755402	0.909200726536
6	2	C_EQ_2	C_EQ_1	0.734997809899	0.909200726536
6	2	C_EQ_2	C_EQ_2	0.202776143169	0.802738369847
6	2	C_EQ_3	C_EQ_1	0.0073247296826	0.563419567913
