Character	Character Label	State Symbol	State Label	Entity ID	Entity Label	Quality ID	Quality Label	Related Entity ID	Related Entity Label	
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERONTEMP:4fffbeb1-0774-4eb2-860e-5b50dece221c	'resorption pit'	PATO:0000586	'increased size'		
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERONTEMP:dfc468f8-45f8-486f-b943-e4284d5055e8	'replacement tooth'	PATOTEMP:8822e54b-89f9-431a-8a20-25698b53353c	'lingual orientation'		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERONTEMP:4fffbeb1-0774-4eb2-860e-5b50dece221c	'resorption pit'	PATO:0000587	'decreased size'		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERONTEMP:dfc468f8-45f8-486f-b943-e4284d5055e8	'replacement tooth'	PATOTEMP:e76c6090-bd06-405b-9487-9b25ed5e341e	posterolingual		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERONTEMP:4fffbeb1-0774-4eb2-860e-5b50dece221c	'resorption pit'	PATO:0000462	absent		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERONTEMP:dfc468f8-45f8-486f-b943-e4284d5055e8	'replacement tooth'	PATOTEMP:e76c6090-bd06-405b-9487-9b25ed5e341e	posterolingual		
2	BRC supraoccipital, nuchal crest, number per side	0	one	UBERONTEMP:043616cc-abac-415d-b5e7-b0e96d27c4ba	'nuchal crest'	PATO:0000070	count		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERONTEMP:043616cc-abac-415d-b5e7-b0e96d27c4ba	'nuchal crest'	PATO:0000070	count		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERONTEMP:043616cc-abac-415d-b5e7-b0e96d27c4ba	'nuchal crest'	PATO:0001786	split		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	BSPO:0000379 and (BFO:0000050 some UBERON:0004747)	'dorsal surface' and (part_of some 'supraoccipital bone')	PATO:0001875	triangular		
