Character	Character Label	State Symbol	State Label	Entity ID	Entity Label	Quality ID	Quality Label	Related Entity ID	Related Entity Label	
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERONTEMP:4fffbeb1-0774-4eb2-860e-5b50dece221c	'resorption pit'	PATO:0000586	'increased size'		
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UNKNOWNTEMP:3862c8c3-40e0-4488-a240-f93bc32739eb	'tooth replacement'	PATO:0000140	position	BSPOTEMP:7535b6a1-f4ae-467a-8401-8e5ad78bc50b and (BFO:0000050 some UBERON:0001708)	'lingual region' and (part_of some 'jaw skeleton')
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERONTEMP:4fffbeb1-0774-4eb2-860e-5b50dece221c	'resorption pit'	PATO:0000467	present		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UNKNOWNTEMP:3862c8c3-40e0-4488-a240-f93bc32739eb	'tooth replacement'	PATO:0000140	position	BSPOTEMP:43b08bf0-7b79-4c56-a8a8-a5a175646bca and (BFO:0000050 some UBERON:0001708)	'posterolingual region' and (part_of some 'jaw skeleton')
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERONTEMP:4fffbeb1-0774-4eb2-860e-5b50dece221c	'resorption pit'	PATO:0000462	absent		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UNKNOWNTEMP:3862c8c3-40e0-4488-a240-f93bc32739eb	'tooth replacement'	PATO:0000140	position	BSPOTEMP:43b08bf0-7b79-4c56-a8a8-a5a175646bca and (BFO:0000050 some UBERON:0001708)	'posterolingual region' and (part_of some 'jaw skeleton')
2	BRC supraoccipital, nuchal crest, number per side	0	one	UBERONTEMP:043616cc-abac-415d-b5e7-b0e96d27c4ba	'nuchal crest'	PATO:0000070	count		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERONTEMP:043616cc-abac-415d-b5e7-b0e96d27c4ba	'nuchal crest'	PATO:0000070	count		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERON:0003113	dermatocranium	PATO:0001875	triangular		
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenial sheath (FE-63)	0	absent	UBERONTEMP:65267252-c554-4d25-acbb-e1d1a95d1367	'M. retractor lateralis'	PATO:0000140	position	UBERONTEMP:382249cd-df28-48b2-ba1a-38dc059b3d0c	'hemipenial sheath'
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenial sheath (FE-63)	1	present	UBERONTEMP:65267252-c554-4d25-acbb-e1d1a95d1367	'M. retractor lateralis'	PATO:0000140	position	UBERONTEMP:382249cd-df28-48b2-ba1a-38dc059b3d0c	'hemipenial sheath'
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	0	less than 3 times length of centrum	UBERON:0001095 and (BFO:0000051 some UBERON:0001076) and (BFO:0000051 some UBERON:0006065)	'caudal vertebra' and (has_part some 'spinous process of vertebra') and (has_part some 'hemal arch')	PATO:0000119 and (PATO:decreased_in_magnitude_relative_to some (PATO:0000122 and (BFO:0000052 some UBERON:0001075)))	height and (decreased_in_magnitude_relative_to some (length and (inheres_in some 'vertebral centrum')))		
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	1	greater than 3 times length of centrum	UBERON:0001095 and (BFO:0000051 some UBERON:0001076) and (BFO:0000051 some UBERON:0006065)	'caudal vertebra' and (has_part some 'spinous process of vertebra') and (has_part some 'hemal arch')	PATO:0000119 and (PATO:increased_in_magnitude_relative_to some (PATO:0000122 and (BFO:0000052 some UBERON:0001075)))	height and (increased_in_magnitude_relative_to some (length and (inheres_in some 'vertebral centrum')))		
5	Inner ear, ciliary restraint for hair cells (E-140)	0	tectorial, lacking sallet systems	UBERONTEMP:9784fd41-af57-4b35-8fd6-6f64196109a7	'tectorial system'	PATO:0000467	present		
5	Inner ear, ciliary restraint for hair cells (E-140)	0	tectorial, lacking sallet systems	UBERONTEMP:657f231c-3c4d-4853-a17f-82c710315be6	'sallet system'	PATO:0000462	absent		
5	Inner ear, ciliary restraint for hair cells (E-140)	1	tectorial and sallet	UBERONTEMP:657f231c-3c4d-4853-a17f-82c710315be6	'sallet system'	PATO:0000467	present		
5	Inner ear, ciliary restraint for hair cells (E-140)	1	tectorial and sallet	UBERONTEMP:9784fd41-af57-4b35-8fd6-6f64196109a7	'tectorial system'	PATO:0000467	present		
5	Inner ear, ciliary restraint for hair cells (E-140)	2	more than 1/2 hair cells inertial	CL:0000855	'sensory hair cell'	PATO:0000299	mobile		
5	Inner ear, ciliary restraint for hair cells (E-140)	2	more than 1/2 hair cells inertial	CL:0000855	'sensory hair cell'	PATO:0000300	immobile		
6	Dorsal process of premaxilla	0	absent or poorly defined with only partial contact with nasal bone	UBERON:3000003	'alary process of premaxilla'	PATO:0000462	absent		
6	Dorsal process of premaxilla	0	absent or poorly defined with only partial contact with nasal bone	UBERON:3000003	'alary process of premaxilla'	PATO:0001961	'in contact with'	UBERON:0001681	'nasal bone'
6	Dorsal process of premaxilla	1	short but well-defined, separating the tips of the nasals or overlapp	UBERON:3000003	'alary process of premaxilla'	PATO:0000569	'decreased height'		
6	Dorsal process of premaxilla	1	short but well-defined, separating the tips of the nasals or overlapp	UBERON:3000003	'alary process of premaxilla'	PATO:0000140	position	UBERON:0001681	'nasal bone'
6	Dorsal process of premaxilla	2	strong posterior extension separating nasals and contacting frontal	UBERON:3000003	'alary process of premaxilla'	PATO:0001961	'in contact with'	UBERON:0000209	'tetrapod frontal bone'
6	Dorsal process of premaxilla	2	strong posterior extension separating nasals and contacting frontal	UBERON:0004529 and (BFO:0000050 some (BSPO:0000072 and (BFO:0000050 some UBERON:3000003)))	'anatomical projection' and (part_of some ('posterior region' and (part_of some 'alary process of premaxilla')))	PATO:0000140	position	UBERON:0001681	'nasal bone'
6	Dorsal process of premaxilla	3	extension of dorsa						
6	Dorsal process of premaxilla	4	State 4						
7	Pelage - Basal bulb presence	0	no basal bulb, proximal third of hair filament is of roughly uniform diameter	UBERONTEMP:a49f340d-34d5-487f-aeb8-a5f21b794526	'basal bulb'	PATO:0000462	absent		
7	Pelage - Basal bulb presence	1	basal bulb present in proximal third of of hair filiment	UBERONTEMP:a49f340d-34d5-487f-aeb8-a5f21b794526	'basal bulb'	PATO:0000467	present		
8	Thoracic vertebrae 1 and 2:	0	ventral process absent or present and blade-like	UBERON:0004529 and (BFO:0000050 some (BSPO:0000084 and (BFO:0000050 some UBERON:0004626)))	'anatomical projection' and (part_of some ('ventral region' and (part_of some 'thoracic vertebra 1')))	PATO:0000462	absent		
