Character	Character Label	State Symbol	State Label	Entity ID	Entity Label	Quality ID	Quality Label	Related Entity ID	Related Entity Label	
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERONTEMP:dfc468f8-45f8-486f-b943-e4284d5055e8	'replacement tooth'	PATOTEMP:8822e54b-89f9-431a-8a20-25698b53353c	'lingual orientation'		
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERONTEMP:4fffbeb1-0774-4eb2-860e-5b50dece221c	'resorption pit'	PATO:0000586	'increased size'		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERONTEMP:dfc468f8-45f8-486f-b943-e4284d5055e8	'replacement tooth'	PATO:0001600	'posteriorly rotated'		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERONTEMP:dfc468f8-45f8-486f-b943-e4284d5055e8	'replacement tooth'	PATOTEMP:8822e54b-89f9-431a-8a20-25698b53353c	'lingual orientation'		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERONTEMP:4fffbeb1-0774-4eb2-860e-5b50dece221c	'resorption pit'	PATO:0000467	present		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERONTEMP:dfc468f8-45f8-486f-b943-e4284d5055e8	'replacement tooth'	PATO:0001600	'posteriorly rotated'		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERONTEMP:dfc468f8-45f8-486f-b943-e4284d5055e8	'replacement tooth'	PATOTEMP:8822e54b-89f9-431a-8a20-25698b53353c	'lingual orientation'		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERONTEMP:4fffbeb1-0774-4eb2-860e-5b50dece221c	'resorption pit'	PATO:0000462	absent		
2	BRC supraoccipital, nuchal crest, number per side	0	one	UBERONTEMP:043616cc-abac-415d-b5e7-b0e96d27c4ba	'nuchal crest'	PATO:0000467	present		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERONTEMP:043616cc-abac-415d-b5e7-b0e96d27c4ba	'nuchal crest'	PATO:0001786	split		
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenial sheath (FE-63)	0	absent	UBERONTEMP:000a0d60-aa06-477d-936c-ba14ac4f0c2d and (BFO:0000050 some UBERONTEMP:382249cd-df28-48b2-ba1a-38dc059b3d0c)	'm. retractor lateralis posterior' and (part_of some 'hemipenial sheath')	PATO:0000462	absent		
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenial sheath (FE-63)	1	present	UBERONTEMP:000a0d60-aa06-477d-936c-ba14ac4f0c2d and (BFO:0000050 some UBERONTEMP:382249cd-df28-48b2-ba1a-38dc059b3d0c)	'm. retractor lateralis posterior' and (part_of some 'hemipenial sheath')	PATO:0000467	present		
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	0	less than 3 times length of centrum	UBERON:0001095	'caudal vertebra'	PATO:0000569	'decreased height'	UBERON:0001075	'vertebral centrum'
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	1	greater than 3 times length of centrum	UBERON:0001095	'caudal vertebra'	PATO:0000570	'increased height'	UBERON:0001075	'vertebral centrum'
5	Inner ear, ciliary restraint for hair cells (E-140)	0	tectorial, lacking sallet systems	UBERONTEMP:ba10737a-6aef-4435-b85f-4761b4978e5f and (BFO:0000050 some CL:0000855)	'ciliary restraint' and (part_of some 'sensory hair cell')	PATOTEMP:57a2092d-7ca1-4bb0-b34f-afa8a5b8114a	tectorial		
5	Inner ear, ciliary restraint for hair cells (E-140)	0	tectorial, lacking sallet systems	UBERONTEMP:657f231c-3c4d-4853-a17f-82c710315be6	'sallet system'	PATO:0000462	absent		
