Character	Character Label	State Symbol	State Label	Entity ID	Entity Label	Quality ID	Quality Label	Related Entity ID	Related Entity Label	
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERON:0003672	dentition	PATOTEMP:8822e54b-89f9-431a-8a20-25698b53353c	'lingual orientation'		
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERONTEMP:4fffbeb1-0774-4eb2-860e-5b50dece221c and (BFO:0000050 some UBERON:0003672)	'resorption pit' and (part_of some dentition)	PATO:0000586	'increased size'		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERON:0003672	dentition	PATOTEMP:8822e54b-89f9-431a-8a20-25698b53353c	'lingual orientation'		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERON:0003672	dentition	PATO:0001600	'posteriorly rotated'		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERONTEMP:4fffbeb1-0774-4eb2-860e-5b50dece221c	'resorption pit'	PATO:0000467	present		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERON:0003672	dentition	PATOTEMP:8822e54b-89f9-431a-8a20-25698b53353c	'lingual orientation'		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERON:0003672	dentition	PATO:0001600	'posteriorly rotated'		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERONTEMP:4fffbeb1-0774-4eb2-860e-5b50dece221c	'resorption pit'	PATO:0000462	absent		
2	BRC supraoccipital, nuchal crest, number per side	0	one	UBERON:4200133 and (BFO:0000050 some UBERON:0011671)	crest and (part_of some 'nuchal bone')	PATO:0000070	count		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERON:4200133 and (BFO:0000050 some UBERON:0011671)	crest and (part_of some 'nuchal bone')	PATO:0001786	split		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERON:4200133 and (BFO:0000050 some UBERON:0011671)	crest and (part_of some 'nuchal bone')	PATO:0000070	count		
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenial sheath (FE-63)	0	absent	UBERONTEMP:000a0d60-aa06-477d-936c-ba14ac4f0c2d and (BFO:0000050 some UBERON:0008812)	'm. retractor lateralis posterior' and (part_of some hemipenis)	PATO:0001505	'separated from'	UBERONTEMP:382249cd-df28-48b2-ba1a-38dc059b3d0c	'hemipenial sheath'
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenial sheath (FE-63)	1	present	UBERONTEMP:000a0d60-aa06-477d-936c-ba14ac4f0c2d and (BFO:0000050 some UBERON:0008812)	'm. retractor lateralis posterior' and (part_of some hemipenis)	PATO:0001590	'overlap with'	UBERONTEMP:382249cd-df28-48b2-ba1a-38dc059b3d0c	'hemipenial sheath'
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	0	less than 3 times length of centrum	UBERON:0001095	'caudal vertebra'	PATO:0000587	'decreased size'	UBERON:0001075	'vertebral centrum'
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	1	greater than 3 times length of centrum	UBERON:0001095	'caudal vertebra'	PATO:0000586	'increased size'		
