Character	Character Label	State Symbol	State Label	Entity ID	Entity Label	Quality ID	Quality Label	Related Entity ID	Related Entity Label	
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERONTEMP:4fffbeb1-0774-4eb2-860e-5b50dece221c	'resorption pit'	PATO:0000586	'increased size'		
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UNKNOWNTEMP:3862c8c3-40e0-4488-a240-f93bc32739eb	'tooth replacement'	PATOTEMP:d4b1149b-cd77-4235-97d0-61045b2788ae	'lingual position'		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERONTEMP:4fffbeb1-0774-4eb2-860e-5b50dece221c	'resorption pit'	PATO:0000467	present		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UNKNOWNTEMP:3862c8c3-40e0-4488-a240-f93bc32739eb	'tooth replacement'	PATOTEMP:36bb9fe9-9879-4809-9aaa-f4a115f36332	'posterolingual position'		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERONTEMP:4fffbeb1-0774-4eb2-860e-5b50dece221c	'resorption pit'	PATO:0000462	absent		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UNKNOWNTEMP:3862c8c3-40e0-4488-a240-f93bc32739eb	'tooth replacement'	PATOTEMP:36bb9fe9-9879-4809-9aaa-f4a115f36332	'posterolingual position'		
2	BRC supraoccipital, nuchal crest, number per side	0	one	UBERON:0004529 and (BFO:0000050 some UBERON:0004747)	'anatomical projection' and (part_of some 'supraoccipital bone')	PATO:0000070	count		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERON:0004529 and (BFO:0000050 some UBERON:0004747)	'anatomical projection' and (part_of some 'supraoccipital bone')	PATO:0000070	count		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERON:0003113	dermatocranium	PATO:0001875	triangular		
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenial sheath (FE-63)	0	absent	BSPO:0000072 and (BFO:0000050 some UBERONTEMP:65267252-c554-4d25-acbb-e1d1a95d1367)	'posterior region' and (part_of some 'M. retractor lateralis')	PATO:0000140 and (PHENOSCAPE:complement_of some PATO:0002261)	position and (not some 'located in')	UBERONTEMP:382249cd-df28-48b2-ba1a-38dc059b3d0c	'hemipenial sheath'
