1	s1e659a80-0e70-4a22-94a1-53f3672868e2
1_0	s69d469cb-64a0-4f1d-9785-c55f20383bb0
1_1	sf653029d-7b08-4aa9-86c2-338f36d25339
1_2	s2cfb8882-7289-40fd-b8ee-72376b4a54bb
2	s3cdfaac5-e21b-4391-96b5-5131cac62082
2_0	s6b4e0ad1-c1d4-47a4-b8f9-ce286be2b57a
2_1	s52d4bcd0-32d8-4f01-8347-f5b36b309e44
3	saea12b43-0fe1-44c7-8188-d588a1580ecf
3_0	sba94cc9e-e819-4097-9e0a-5362c485ea74
3_1	s946781b6-b0cc-4757-aeda-e30ff604f735
4	s7140b2db-7075-4223-88f0-cd83f9ff43cf
4_0	s4032d97a-6be0-471e-85be-ed1da7468426
4_1	s027b1f74-42fc-4e70-961c-cc6e463ad256
5	s9088cc12-a955-480a-b09c-1d0e7e8caa03
5_0	sf7a5cb26-7692-41d3-98ef-c099b5a2e252
5_1	s00d8439c-472c-4ebe-8990-982df2fc9546
5_2	s76fbf6b9-71cc-4da0-9683-2c7335632454
6	sa1b9d446-0a8f-417c-bce9-a289050383d0
6_0	s529dee18-aeda-4e15-ba63-d0672a219623
6_1	sd9b602b2-ddf4-44ae-9fd4-1dfdef71ed13
6_2	s1efef954-6a3c-46da-928e-d1f0da3453c9
6_3	s5a6e194b-53ec-41f8-a224-e9b208c192ce
6_4	s8467cf3b-d08c-416d-82d6-bae4c5b3a906
7	s92ae30d4-766c-4ad5-a5fd-1deea515f6a5
7_0	s95b56bc4-04b8-4cd6-82b8-b871b2112237
7_1	s7942c1e0-e2ab-4947-931c-5e348ae94d6c
8	s64ccf7c0-7036-4b45-bee4-a1047fdf795d
8_0	s5b530296-018b-428f-ac4b-1427a64b231d
8_1	s54658ac1-df33-4176-8fb9-41b86810ed65
9	sc4ece8e3-8c7e-4cfa-8c53-1429eb5c14eb
9_0	s74141a6a-6085-46e0-a035-5fe1837691f7
9_1	saa6ca9e0-b431-43ab-99bc-359f9b10bd06
10	s4a469f4b-0797-4def-bff5-03e80b4d8b67
10_0	s3515aff7-826b-457f-bf1d-125a30745f54
10_1	s67d7f380-48ec-4f6f-9fba-63e0c4574ea4
10_2	sf75134e2-7f9f-4475-aad8-27cfa446c2b2
11	s80fb1064-8e7f-46f9-8592-06dffe89467f
11_0	sd2614c1a-451f-480b-92a7-20e3c2757b61
11_1	sce53dcee-bab8-433f-ad01-93d38e181581
12	s77684a3c-0fe3-4b66-a6cb-b3bbd81fd9e2
12_0	s846b32dc-56ed-455d-a5db-a9f20510e159
12_1	sb6232b53-938a-40b1-9759-aec0762d4170
13	sf1d479d6-e74d-4a93-970b-472b248d0ef4
13_0	s37cc1472-2426-4471-b47c-a23fab468754
13_1	s74fa0229-c5ec-4d08-b18d-7addc8781e06
14	s6584d332-1fe4-421d-868b-8f96f29e5c05
14_0	s32273953-1fa6-488f-81df-66bf5db67e71
14_1	sd7f6783b-a075-4483-acda-9190bcd4388f
15	sdd96f643-884b-4454-b2cc-d630f2060cd4
15_0	s531b63f1-69ac-4cc3-a026-460ec9378b16
15_1	se04f2bff-202c-42eb-81ae-33dc4a8d37dd
16	sea7d207a-2bf3-465b-8f88-390d0cd9bc9b
16_0	s21815812-0418-45c3-aa83-45e261d64e9b
16_1	s30ab5203-2335-4112-8019-4245fc0911c8
17	s42067d0f-6c86-47c4-b62f-5e167c0b21cd
17_0	s60c9edab-f432-4802-b3e4-666f614d7c8e
17_1	s847a24bb-894c-4203-9d56-5288014edfe3
18	sc6fc5c33-a769-43fa-9fd0-c6cce2b25191
18_0	s128af7be-cc37-4ec5-b859-25b569037313
18_1	s43570759-df0d-4ffa-9183-62837f6feafc
19	s3cd0b00b-95ce-4915-9085-65778e9c48ce
19_0	sf878e2ff-5743-418c-8de3-0dd9ca7fa8c1
19_1	s616e363a-2e5a-4c18-97cb-620d979a5133
19_2	sde757b46-5232-44bb-9a8f-b8792973b2cb
20	sb017c745-e409-4d83-b789-2ad984d19ea3
20_0	s15848e0c-078f-4c04-8a46-9b9f3e587054
20_1	s6f5092c1-988c-4e02-8e2d-ee1c30204534
21	sf1823f38-e006-4216-9907-94456e7ac6c7
21_0	saf7f4c29-a2cb-441c-a1d0-41ad14178126
21_1	sb4284c5b-224d-43cb-b3cb-7e35934a611e
22	s91fa9c8f-76b8-43ef-b2d3-342e5746e6a2
22_0	s4336e0e7-99ca-421d-9ad1-7d60b95b6da3
22_1	se825ec11-6c0e-4f31-b311-4dc8beb1ee2b
23	sd360a289-bb38-4366-81ec-596b37e20c11
23_0	sd37d73fc-9d1f-4a1a-983a-e296cca527cd
23_1	sa49687a0-3e25-42d9-94e6-15f8214c4077
24	s17bedc7a-c937-41ad-8087-abdbf9fad0e4
