Character Number	State Number	SimJ Partial Precision
1	0	0.0224011144515
1	1	0.023487544484
1	2	0.064077669903
2	0	0.0090361445783
2	1	0.0175985046449
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.0
5	1	0.0
5	2	0.0
6	0	0.386713882878
6	1	0.251734792042
6	2	0.275571946081
6	3	0.00359633349414
6	4	0.0029754345223
7	0	0.0166975881261
7	1	0.0
8	0	0.102531910442
8	1	0.0287579194543
9	0	0.0700181758097
9	1	0.0697030497593
10	0	0.0
10	1	0.114363512593
10	2	0.0
11	0	0.145432874634
11	1	0.156640208054
12	0	0.0434782608696
12	1	0.0588235294118
13	0	0.141592920354
13	1	0.0
14	0	0.000505900651112
14	1	0.225577006823
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.00324587503381
17	1	0.00324587503381
18	0	0.00277328403051
18	1	0.00277328403051
19	0	0.0
19	1	0.0
19	2	0.04329004329
20	0	0.00257570483815
20	1	0.961038961039
21	0	0.0
21	1	0.078927667115
22	0	0.738461538462
22	1	0.421052631579
23	0	0.00155178103738
23	1	0.00327380952381
24	0	0.0225479143179
24	1	0.0285062713797
25	0	0.104166666666
25	1	0.104166666666
26	0	0.0399767608898
26	1	0.5
27	0	0.0
27	1	0.0
28	0	0.00294985250737
28	1	0.00492443812969
29	0	0.0
29	1	0.0
30	0	0.000737723835436
30	1	0.000737723835436
31	0	0.0
31	1	0.0104166666667
32	0	0.0361212861213
32	1	0.0361212861213
33	0	0.346926235732
33	1	0.0430492433498
33	2	0.0
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.00214166318429
34	2	0.00214166318429
34	3	0.00225472943247
35	0	0.152777777778
35	1	0.152777777778
36	0	0.0
36	1	0.139534883721
37	0	0.0629984051036
37	1	0.272207792208
38	0	0.0
38	1	0.0
38	2	0.0185185185185
39	0	0.03125
39	1	0.0017094017094
39	2	0.0154979045733
39	3	0.0170968277695
40	0	0.00147191103116
40	1	0.00245582918343
40	2	0.00147191103116
41	0	0.0312788259958
41	1	0.0312788259958
42	0	0.011673151751
42	1	0.0196078431373
42	2	0.011673151751
43	0	0.0
43	1	0.00887245841035
43	2	0.00887245841035
44	0	0.000456462200583
44	1	0.000380945470377
45	0	0.555555555556
45	1	0.909090909091
46	0	0.0077519379845
46	1	0.0243887225549
47	0	0.00261054005547
47	1	0.00294730615253
48	0	0.0
48	1	0.0849701345875
48	2	0.0832107022847
49	0	0.0672981056832
49	1	0.0371985157699
50	0	0.0106382978723
