Character Number	State Number	SimJ Partial Precision
1	0	1.0
1	1	0.419913419913
1	2	0.692640692641
2	0	0.75
2	1	1.0
3	0	0.634615384615
3	1	0.634615384615
4	0	0.0202812820668
4	1	0.0202812820668
5	0	0.00694262165991
5	1	0.00694262165991
5	2	0.120967741935
6	0	0.738095238095
6	1	0.329011732455
6	2	0.544657263284
6	3	0.00810952214859
6	4	0.0
7	0	0.657894736842
7	1	0.657894736842
8	0	0.866666666667
8	1	0.944444444444
9	0	0.311688311688
9	1	0.311688311688
10	0	0.750692520776
10	1	0.522157996146
10	2	0.750692520776
11	0	0.390804597701
11	1	0.244604316547
12	0	0.1
12	1	0.1
13	0	0.969696969697
13	1	0.969696969697
14	0	0.334530824904
14	1	1.0
15	0	0.400005925136
15	1	1.0
16	0	0.00245269796776
16	1	0.00245269796776
17	0	0.841573340617
17	1	0.841573340617
18	0	0.853181076672
18	1	0.853181076672
19	0	0.0441640378549
19	1	0.119914346895
19	2	0.215384615385
20	0	0.00357926887468
20	1	0.00357926887468
21	0	0.795454545455
21	1	0.795454545455
22	0	1.0
22	1	0.334242837653
23	0	6.26664577785e-05
23	1	6.26664577785e-05
24	0	0.240749572194
24	1	0.942041712404
25	0	0.392405063291
25	1	0.392405063291
26	0	0.590633737185
26	1	0.669749009247
27	0	0.249158249158
27	1	0.342592592593
28	0	0.003861003861
28	1	0.00620208707442
29	0	0.137931034483
29	1	0.137931034483
30	0	0.15863515977
30	1	0.158629703515
31	0	0.434782608696
31	1	0.434782608696
32	0	1.0
32	1	1.0
33	0	0.405797101449
33	1	0.0967741935484
33	2	0.302611367128
33	3	1.0
33	4	1.0
34	0	0.00264364492544
34	1	0.00335236502553
34	2	0.00335201382706
34	3	0.00352947681654
35	0	1.0
35	1	1.0
36	0	0.623188405797
36	1	0.453041571319
37	0	0.4
37	1	0.4
38	0	1.0
38	1	0.483333333333
38	2	0.328301886792
39	0	0.0369393139842
39	1	0.129343181743
39	2	0.166350710901
39	3	0.162182525216
40	0	0.799150251062
40	1	0.00618301731245
40	2	0.799150251062
41	0	0.520189003436
41	1	0.513211382114
42	0	0.578947368421
42	1	0.578947368421
42	2	0.578947368421
43	0	0.011196350819
43	1	0.00658195447481
43	2	0.00658195447481
44	0	0.00452168998163
44	1	0.00378519044239
45	0	0.283018867925
45	1	0.283018867925
46	0	0.0429447852761
46	1	0.0429447852761
47	0	0.00244315590592
47	1	0.0024412478115
48	0	0.107991360691
48	1	0.617844269974
48	2	0.135359116022
49	0	0.409090909091
49	1	0.409090909091
50	0	0.0173913043478
50	1	0.0173913043478
51	0	0.421090387374
51	1	0.0164835164835
51	2	1.0
52	0	0.197183098592
52	1	0.197183098592
53	0	1.0
53	1	0.375
54	0	0.129032258065
54	1	0.129032258065
55	0	0.25
55	1	0.25
55	2	1.0
56	0	1.0
56	1	1.0
57	0	0.918918918919
57	1	0.342569269521
58	0	0.0425531914894
58	1	0.0425531914894
59	0	0.426013513514
59	1	0.426013513514
60	0	0.214285714286
60	1	0.214285714286
61	0	1.0
61	1	1.0
62	0	0.00313339301701
