Character Number	State Number	SimJ Partial Precision
1	0	0.0224011144515
1	1	0.095652173913
1	2	0.064077669903
2	0	0.00762711864405
2	1	0.00624081925542
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.0
5	1	0.0
5	2	0.0
6	0	0.287752372007
6	1	0.142408540437
6	2	0.170889065529
6	3	0.157826649418
6	4	0.0
7	0	0.0310559006211
7	1	0.0
8	0	0.118644067797
8	1	0.0290858579056
9	0	0.0586387728203
9	1	0.0802553579573
10	0	0.0
10	1	0.114441416894
10	2	0.0
11	0	0.133492217285
11	1	0.552104057394
12	0	0.0275229357798
12	1	0.037037037037
13	0	0.141592920354
13	1	0.0
14	0	0.194653299916
14	1	0.225577006823
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.0035279025016
17	1	0.0035279025016
18	0	0.00324587503381
18	1	0.00324587503381
19	0	0.0
19	1	0.0
19	2	0.247863247863
20	0	0.683193708326
20	1	0.00353205097609
21	0	0.0
21	1	0.0483228030168
22	0	0.738461538462
22	1	0.547945205479
23	0	8.73651369076e-05
23	1	0.000137288072283
24	0	0.0110257635341
24	1	0.0285062713797
25	0	0.211538461539
25	1	0.211538461539
26	0	0.0481097559703
26	1	0.334874504623
27	0	0.0
27	1	0.0
28	0	0.40625
28	1	0.377038043479
29	0	0.06
29	1	0.0625
30	0	0.000793090895374
30	1	0.000793044495949
31	0	0.0
31	1	0.0227272727273
32	0	0.0361212861213
32	1	0.0361212861213
33	0	0.440303914963
33	1	0.316833751044
33	2	0.0
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.42
34	2	0.415841584158
34	3	0.42
35	0	0.152777777778
35	1	0.152777777778
36	0	0.0
36	1	0.466666666666
37	0	0.161224489796
37	1	0.379347826087
38	0	0.0
38	1	0.0
38	2	0.0101694915254
39	0	0.00373134328358
39	1	0.00294985250737
39	2	0.0162831858407
39	3	0.02
40	0	0.00160825685256
40	1	0.243766233766
40	2	0.00160825685256
41	0	0.102864511375
41	1	0.13953488372
42	0	0.0
42	1	0.0
42	2	0.0
43	0	0.0
43	1	0.161943319838
43	2	0.161943319838
44	0	0.0207712010105
44	1	0.0262364828931
45	0	0.189189189189
45	1	0.269230769231
46	0	0.0015503875969
46	1	0.020676070657
47	0	0.755102040816
47	1	0.406416999789
48	0	0.0
48	1	0.207823769204
48	2	0.201031265052
49	0	0.0611856417694
49	1	0.0337112622827
50	0	0.0434782608696
50	1	0.0326086956522
51	0	0.00133600534402
51	1	0.015587529976
51	2	0.0942028985507
52	0	0.0526315789474
52	1	0.0714285714286
53	0	0.0652173913045
53	1	0.0036496350365
54	0	0.769230769231
54	1	0.769230769231
55	0	0.0
55	1	0.00154931525799
55	2	1.0
56	0	0.080357142857
56	1	0.080357142857
57	0	0.533333333333
57	1	0.0727272727273
58	0	0.0512093411176
58	1	0.0691983956616
59	0	0.000355366027008
59	1	0.000473709142586
60	0	0.404761904762
60	1	0.00431189363995
61	0	0.941176470588
61	1	0.941176470588
62	0	0.00127388535032
62	1	0.000636672325975
63	0	0.282608695652
63	1	0.211956521739
64	0	0.103448275862
64	1	0.0009008429316
65	0	0.486914893617
65	1	0.6375
65	2	0.00709957008118
65	3	0.0
66	0	0.000475987733205
66	1	0.000475987733205
67	0	0.00190749381147
67	1	0.00127205445054
68	0	0.139569045769
68	1	0.214761904762
69	0	0.0445205479452
69	1	0.0412698412698
70	0	0.126262626263
70	1	0.126262626263
70	2	0.0011842995714
70	3	0.0
71	0	0.194444444444
71	1	0.0748299319727
71	2	0.124285714286
72	0	0.00284090909091
72	1	0.00202839756592
73	0	0.0370855614973
73	1	0.0291397849462
74	0	1.0
74	1	1.0
75	0	0.11952634395
75	1	0.41452991453
76	0	0.0186384484359
76	1	0.0355944129118
77	0	0.5370995671
77	1	0.274632516704
78	0	0.5
78	1	0.5
79	0	0.000274191657568
79	1	0.000274168526478
80	0	1.0
80	1	1.0
81	0	0.579545454545
81	1	0.957746478873
82	0	0.616689016025
82	1	0.448187350657
82	2	0.5
83	0	0.0
83	1	0.0
84	0	1.0
84	1	1.0
85	0	0.209302325581
85	1	0.339285714285
85	2	0.952380952381
86	0	0.00127761524511
86	1	0.0316476279799
87	0	0.05
87	1	0.05
88	0	1.0
88	1	0.58940397351
89	0	0.395833333334
89	1	0.395833333334
90	0	0.00160340895135
90	1	0.00157695265226
91	0	0.00033383408446
91	1	0.100864181607
92	0	0.104015717569
92	1	0.0372607335511
93	0	0.583333333333
93	1	0.583333333333
94	0	0.00295882999408
94	1	0.00295882999408
94	2	0.0
95	0	0.0232558139535
95	1	0.0234375
96	0	0.0
96	1	0.0
97	0	0.00177698800533
97	1	0.00106411279595
98	0	0.0
98	1	0.0
98	2	0.111111111111
99	0	0.358695652174
99	1	0.358695652174
100	0	0.0489864565814
100	1	0.0
101	0	0.0309446254072
101	1	0.0308441558442
102	0	0.393700787401
102	1	0.00980007840065
102	2	0.666666666667
103	0	0.0
103	1	0.0
104	0	1.0
104	1	0.607142857143
105	0	0.0
105	1	0.0
106	0	0.0132726659926
106	1	0.010141463133
