Character Number	State Number	SimJ Partial Precision
1	0	0.0367990568662
1	1	0.0797101449275
1	2	0.0533980582525
2	0	0.00423728813558
2	1	0.00368048315063
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.195530726257
5	1	0.601851851852
5	2	0.0
6	0	0.287752372007
6	1	0.142408540437
6	2	0.170889065529
6	3	0.157826649418
6	4	0.0
7	0	0.0385964912281
7	1	0.065625
8	0	0.118644067797
8	1	0.0290858579056
9	0	0.0586387728203
9	1	0.0802553579573
10	0	0.0
10	1	0.436363636364
10	2	0.0
11	0	0.0929737513877
11	1	0.431453211737
12	0	0.258620689655
12	1	0.433333333333
13	0	0.141592920354
13	1	0.0
14	0	0.194653299916
14	1	0.225577006823
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.0035279025016
17	1	0.0035279025016
18	0	0.00324587503381
18	1	0.00324587503381
19	0	0.296238244514
19	1	0.5
19	2	0.5
20	0	0.683193708326
20	1	0.00353205097609
21	0	0.0383064516129
21	1	0.0503433744025
22	0	0.738461538462
22	1	0.547945205479
23	0	5.22703632268e-06
23	1	6.53389786211e-06
24	0	0.00552417711788
24	1	0.0142644305304
25	0	0.375
25	1	0.375
26	0	0.0481097559703
26	1	0.334874504623
27	0	0.0803212851407
27	1	0.0803212851407
28	0	0.884615384615
28	1	0.616220735786
29	0	0.178571428571
29	1	0.192307692307
30	0	0.00064889255076
30	1	0.000648854587594
31	0	0.409090909091
31	1	0.409090909091
32	0	0.0297469415116
32	1	0.0297469415116
33	0	0.440303914963
33	1	0.316833751044
33	2	0.311475409836
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.42
34	2	0.415841584158
34	3	0.42
35	0	0.231343283582
35	1	0.231343283582
36	0	0.765957446809
36	1	0.516671480376
37	0	0.199308973874
37	1	0.393472906404
38	0	0.5
38	1	0.359453691848
38	2	0.267519889312
39	0	0.0598591549295
39	1	0.0525293099508
39	2	0.0525293099508
39	3	0.0562789710203
40	0	0.00160825685256
40	1	0.243766233766
40	2	0.00160825685256
