Character Number	State Number	SimJ Partial Precision
1	0	0.517605633803
1	1	0.104875571356
1	2	0.513966480447
2	0	1.0
2	1	0.425447154472
3	0	0.0112044817927
3	1	0.0112044817927
4	0	0.594690265487
4	1	0.594690265487
5	0	0.0116279069767
5	1	0.0116279069767
5	2	0.120967741935
6	0	1.0
6	1	0.349956998922
6	2	0.430343935716
6	3	0.0
6	4	0.0
7	0	0.710526315789
7	1	0.710526315789
8	0	1.0
8	1	0.548964218456
9	0	0.0913705583756
9	1	0.0913705583756
10	0	0.750692520776
10	1	0.522157996146
10	2	0.750692520776
11	0	1.0
11	1	0.7
12	0	0.0952380952381
12	1	0.0952380952381
13	0	0.00249260009347
13	1	0.00249260009347
14	0	1.0
14	1	1.0
15	0	0.75
15	1	0.75
16	0	0.00250447227191
16	1	0.00250447227191
17	0	0.666666666667
17	1	1.0
18	0	0.666666666667
18	1	1.0
19	0	0.5
19	1	0.5
19	2	1.0
20	0	0.00857731015554
20	1	0.00857731015554
21	0	0.128205128205
21	1	0.332568473193
22	0	1.0
22	1	0.429824561404
23	0	0.000148914279526
23	1	0.000148914279526
24	0	0.942041712404
24	1	0.942041712404
25	0	0.20253164557
25	1	0.20253164557
26	0	0.25
26	1	1.0
27	0	0.208333333333
27	1	0.274509803922
28	0	0.003861003861
28	1	0.0206985769728
29	0	0.137931034483
29	1	0.148148148148
30	0	0.4274474274
30	1	0.427427045585
31	0	0.666666666667
31	1	0.666666666667
32	0	1.0
32	1	1.0
33	0	1.0
33	1	0.0967741935484
33	2	0.714285714286
33	3	1.0
33	4	1.0
34	0	0.586553867846
34	1	0.586555956327
34	2	0.586558044807
34	3	0.530471492711
35	0	0.462686567164
35	1	0.462686567164
36	0	0.110236220472
36	1	0.1444584119
37	0	0.243902439024
37	1	0.243902439024
38	0	0.371428571428
38	1	0.323557237464
38	2	0.224819793494
39	0	0.191780821918
39	1	0.136253041363
39	2	0.147757255937
39	3	0.14200514865
40	0	0.799150251062
40	1	0.00618301731245
40	2	0.799150251062
41	0	0.100546146294
41	1	0.0896374070692
42	0	0.578947368421
42	1	0.365448504983
42	2	0.578947368421
43	0	0.199010327022
43	1	0.199010327022
43	2	0.199010327022
44	0	0.00366080937167
44	1	0.00305640455682
45	0	0.139072847682
45	1	0.139072847682
46	0	0.344827586207
46	1	0.344827586207
47	0	0.666666666667
47	1	0.666666666667
48	0	0.164983164983
48	1	0.617844269974
48	2	0.485646732207
49	0	0.00786924939467
49	1	0.00786686838124
50	0	0.00909090909091
50	1	0.00909090909091
51	0	0.357113144759
51	1	0.357113144759
51	2	1.0
52	0	0.197183098592
52	1	0.197183098592
53	0	1.0
53	1	0.375
54	0	0.00383141762452
54	1	0.00382775119617
55	0	0.25
55	1	0.25
55	2	1.0
56	0	1.0
56	1	1.0
57	0	0.518292682927
57	1	0.918918918919
58	0	0.113636363636
58	1	0.113636363636
59	0	0.426013513514
59	1	1.0
60	0	0.214285714286
60	1	1.0
61	0	1.0
61	1	1.0
62	0	0.0134874759152
62	1	0.0134615384615
63	0	1.0
63	1	0.512797074954
64	0	0.125639678017
64	1	0.225835322196
65	0	0.222222222222
65	1	0.586854460094
65	2	0.0109895915887
65	3	0.0
66	0	0.254545454545
66	1	0.254545454545
67	0	0.666666666667
67	1	1.0
68	0	0.0019105342908
68	1	0.0019105342908
69	0	0.404761904762
69	1	0.404761904762
70	0	1.0
70	1	0.355937056768
70	2	0.11342437946
70	3	0.166125480005
71	0	1.0
71	1	0.00453306773337
71	2	0.238742019275
72	0	0.123214285714
72	1	0.0984308131241
73	0	0.0652173913043
73	1	0.05
74	0	1.0
74	1	1.0
75	0	0.811320754717
75	1	0.960784313725
76	0	0.192029624405
76	1	0.192046556741
77	0	0.00886824324324
77	1	1.0
78	0	1.0
78	1	1.0
79	0	0.507287997578
79	1	0.507287997578
80	0	1.0
80	1	1.0
81	0	0.966666666667
81	1	0.966666666667
82	0	0.553846153846
82	1	0.75
82	2	0.833333333334
83	0	0.953968253968
83	1	0.953968253968
84	0	1.0
84	1	1.0
85	0	0.950113378685
85	1	0.929602143888
85	2	0.740740740741
86	0	0.141604010025
86	1	0.141604010025
87	0	0.777777777778
87	1	0.777777777778
88	0	1.0
88	1	1.0
89	0	0.970588235294
89	1	0.970588235294
90	0	0.00124126517102
90	1	0.00124126517102
91	0	0.201857345544
91	1	1.0
92	0	0.790513833992
92	1	0.501752450185
93	0	0.583333333333
93	1	0.583333333333
94	0	0.974689951911
94	1	0.974689951911
94	2	1.0
95	0	0.4375
95	1	0.4375
96	0	1.0
96	1	1.0
97	0	0.0138319672131
97	1	0.013828425096
98	0	1.0
98	1	0.846435100548
98	2	0.0
99	0	1.0
99	1	1.0
100	0	0.526315789474
100	1	0.526315789474
101	0	0.0802005012531
101	1	0.0802005012531
102	0	0.75
102	1	1.0
102	2	1.0
103	0	0.00212675457252
103	1	0.0021263023602
104	0	1.0
