Character Number	State Number	SimJ Partial Precision
1	0	0.04205606499
1	1	0.0797101449275
1	2	0.0533980582525
2	0	0.0064543889845
2	1	0.012562572884
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.16
5	1	0.32
5	2	0.0
6	0	0.386713882878
6	1	0.194551780786
6	2	0.20541521252
6	3	0.0
6	4	0.0
7	0	0.0829787234042
7	1	0.100386100386
8	0	0.102531910442
8	1	0.00485026381778
9	0	0.031571541641
9	1	0.0312945716923
10	0	0.0
10	1	0.436363636364
10	2	0.0
11	0	0.161275088548
11	1	0.580637431105
12	0	0.583333333333
12	1	1.0
13	0	0.00499869825566
13	1	0.0
14	0	0.000505900651112
14	1	0.225577006823
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.00324587503381
17	1	0.00324587503381
18	0	0.00277328403051
18	1	0.00277328403051
19	0	0.0
19	1	0.04329004329
19	2	0.04329004329
20	0	0.683193708326
20	1	0.00846585058918
21	0	0.0
21	1	0.0724867763253
22	0	0.738461538462
22	1	0.738461538462
23	0	6.77359921969e-06
23	1	8.46711373027e-06
24	0	0.0225479143179
24	1	0.0285062713797
25	0	1.0
25	1	1.0
26	0	0.0630022089543
26	1	0.5
27	0	0.736842105263
27	1	0.736842105263
28	0	0.40625
28	1	0.345117845117
29	0	1.0
29	1	1.0
30	0	0.000914408792369
30	1	0.000914340258721
31	0	0.0
31	1	0.0108695652174
32	0	0.0337132003799
32	1	0.0337132003799
33	0	0.440303914963
33	1	0.316833751044
33	2	0.311475409836
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.00216524777324
34	2	0.00216524777324
34	3	0.00227967462826
35	0	1.0
35	1	1.0
36	0	0.0
36	1	0.224137931034
37	0	0.335106382978
37	1	0.58125
38	0	0.0
38	1	0.0
38	2	0.0596302003082
39	0	0.0181818181818
39	1	0.00119904076739
39	2	0.0110902376022
39	3	0.0108107010567
40	0	0.00165252814636
40	1	0.254174397031
40	2	0.00165252814636
41	0	0.562248995984
41	1	1.0
42	0	0.0
42	1	0.0
42	2	0.0
43	0	0.0
43	1	0.00591304347826
43	2	0.00591304347826
44	0	0.0144878932189
44	1	0.018175698418
45	0	0.138888888889
45	1	0.138888888889
46	0	0.0133932795986
46	1	0.03543470349
47	0	0.00261054005547
47	1	0.108435996646
48	0	0.00280112044818
48	1	0.207823769204
