Character Number	State Number	SimJ Partial Precision
1	0	0.0211821038322
1	1	0.095652173913
1	2	0.064077669903
2	0	0.0090361445783
2	1	0.0169321634523
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.0
5	1	0.0
5	2	0.0
6	0	0.386713882878
6	1	0.194551780786
6	2	0.20541521252
6	3	0.0
6	4	0.0
7	0	0.0162748643761
7	1	0.0
8	0	0.102531910442
8	1	0.00485026381778
9	0	0.031571541641
9	1	0.0312945716923
10	0	0.0
10	1	0.114441416894
10	2	0.0
11	0	0.145432874634
11	1	0.505104530271
12	0	0.025641025641
12	1	0.0344827586207
13	0	0.00499869825566
13	1	0.0
14	0	0.000505900651112
14	1	0.225577006823
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.00324587503381
17	1	0.00324587503381
18	0	0.00277328403051
18	1	0.00277328403051
19	0	0.0
19	1	0.0
19	2	0.04329004329
20	0	0.683193708326
20	1	0.00846585058918
21	0	0.0
21	1	0.0719497193972
22	0	0.738461538462
22	1	0.738461538462
23	0	7.5512274761e-05
23	1	0.000118662146053
24	0	0.0225479143179
24	1	0.0285062713797
25	0	0.261904761905
25	1	0.261904761905
26	0	0.0630022089543
26	1	0.5
27	0	0.0
27	1	0.0
28	0	0.40625
28	1	0.345117845117
29	0	0.0729166666667
29	1	0.0681818181817
30	0	0.0010160097693
30	1	0.0010159336208
31	0	0.0
31	1	0.0108695652174
32	0	0.0361212861213
32	1	0.0361212861213
33	0	0.440303914963
33	1	0.316833751044
33	2	0.0
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.00216524777324
34	2	0.00216524777324
34	3	0.00227967462826
35	0	0.186046511628
35	1	0.186046511628
36	0	0.0
36	1	0.104838709678
37	0	0.116615436439
37	1	0.250528455284
38	0	0.0
38	1	0.0
38	2	0.0212121212121
39	0	0.0181818181818
39	1	0.00119904076739
39	2	0.0110902376022
39	3	0.0108107010567
40	0	0.00165252814636
40	1	0.254174397031
40	2	0.00165252814636
41	0	0.114746881878
41	1	0.13953488372
42	0	0.0
42	1	0.0
42	2	0.0
43	0	0.0
43	1	0.00591304347826
43	2	0.00591304347826
44	0	0.05856350313
44	1	0.075412591687
45	0	0.138888888889
45	1	0.138888888889
46	0	0.0059171597633
46	1	0.022570654278
47	0	0.00261054005547
47	1	0.108435996646
48	0	0.00280112044818
48	1	0.207823769204
48	2	0.334651954708
49	0	0.00140915994574
49	1	0.000563487521137
50	0	0.0588235294118
50	1	0.0441176470588
51	0	0.00113274953165
51	1	0.000283632238077
51	2	0.0942028985507
52	0	0.0526315789474
52	1	0.0714285714286
53	0	0.0652173913045
53	1	0.0036496350365
54	0	0.0186567164179
54	1	0.0186393289842
55	0	0.0
55	1	0.00154931525799
55	2	1.0
56	0	0.080357142857
56	1	0.080357142857
57	0	0.317777777778
57	1	0.0666666666667
58	0	0.0883297313987
58	1	0.0994363055105
59	0	0.000355366027008
59	1	0.000710732054016
60	0	0.404761904762
60	1	0.010854816825
61	0	0.941176470588
61	1	0.941176470588
62	0	0.0046875
62	1	0.00234009360374
63	0	0.282608695652
63	1	0.00592705167173
64	0	0.000578416790613
64	1	0.000676001931434
65	0	0.00187997841872
65	1	0.00353234520017
65	2	0.00765382664618
65	3	0.0
66	0	0.104285714286
66	1	0.104285714286
67	0	0.00168488539558
67	1	0.00112356271523
68	0	0.00119494939411
68	1	0.00119494939411
69	0	0.25
69	1	0.25
70	0	0.132978723405
70	1	0.00181315834916
70	2	0.0011842995714
70	3	0.0
71	0	1.0
71	1	0.00131559713492
71	2	0.00169148203062
72	0	0.00284090909091
72	1	0.00202839756592
73	0	0.0382301908618
73	1	0.027624154684
74	0	1.0
74	1	1.0
75	0	0.35389453314
75	1	0.421921921922
76	0	0.0718437478082
76	1	0.0718449042433
77	0	0.00593548383979
77	1	0.274632516704
78	0	0.5
78	1	0.5
79	0	0.000274168526478
79	1	0.000274168526478
80	0	1.0
80	1	1.0
81	0	0.173210161663
81	1	0.245098039216
82	0	0.616689016025
82	1	0.448187350657
82	2	0.5
83	0	0.0
83	1	0.0
84	0	1.0
84	1	1.0
85	0	0.00412465627864
85	1	0.00441449814126
85	2	0.769230769231
86	0	0.0520409391932
86	1	0.053865193083
87	0	0.076923076923
87	1	0.076923076923
88	0	1.0
88	1	0.58940397351
89	0	0.141791044776
89	1	0.141791044776
90	0	0.000802858653791
90	1	0.00078007156263
91	0	0.000598981731057
91	1	0.100864181607
92	0	0.167854601518
92	1	0.181475029036
93	0	0.583333333333
93	1	0.583333333333
94	0	0.00295882999408
94	1	0.00295882999408
94	2	0.0
95	0	0.0232558139535
95	1	0.0234375
96	0	0.0
96	1	0.0
97	0	0.00212879191059
97	1	0.00106411279595
98	0	0.0
98	1	0.0
98	2	0.0
99	0	0.358695652174
99	1	0.358695652174
100	0	0.523061497326
100	1	0.0
