Character Number	State Number	SimJ Partial Precision
1	0	0.0367990568662
1	1	0.0797101449275
1	2	0.0533980582525
2	0	0.00502008032128
2	1	0.0099856348565
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.333333333333
5	1	0.611111111111
5	2	0.0
6	0	0.386713882878
6	1	0.194551780786
6	2	0.20541521252
6	3	0.0
6	4	0.0
7	0	0.0737588652482
7	1	0.0878378378379
8	0	0.102531910442
8	1	0.00485026381778
9	0	0.031571541641
9	1	0.0312945716923
10	0	0.0
10	1	0.436363636364
10	2	0.0
11	0	0.107516725699
11	1	0.435478073328
12	0	0.291666666666
12	1	0.5
13	0	0.00499869825566
13	1	0.0
14	0	0.000505900651112
14	1	0.225577006823
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.00324587503381
17	1	0.00324587503381
18	0	0.00277328403051
18	1	0.00277328403051
19	0	0.0188953488372
19	1	0.107692307693
19	2	0.107692307693
20	0	0.683193708326
20	1	0.00846585058918
21	0	0.200704225352
21	1	0.0824073648359
22	0	0.738461538462
22	1	0.738461538462
23	0	4.51573281313e-06
23	1	5.64474248685e-06
24	0	0.0112852519995
24	1	0.0142644305304
25	0	0.5
25	1	0.5
26	0	0.0630022089543
26	1	0.5
27	0	0.160337552743
27	1	0.160337552743
28	0	0.884615384615
28	1	0.574074074074
29	0	0.5
29	1	0.5
30	0	0.000831280720336
30	1	0.000831218417019
31	0	0.166666666667
31	1	0.166666666667
32	0	0.0297469415116
32	1	0.0297469415116
33	0	0.440303914963
33	1	0.316833751044
33	2	0.311475409836
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.00216524777324
34	2	0.00216524777324
34	3	0.00227967462826
35	0	0.5
35	1	0.5
36	0	0.141689373297
36	1	0.157706860855
37	0	0.180146475071
37	1	0.332142857143
38	0	0.214285714286
38	1	0.101926461054
38	2	0.274207283991
39	0	0.481818181818
39	1	0.0415087367996
39	2	0.0415087367996
39	3	0.0368858861204
40	0	0.00165252814636
40	1	0.254174397031
40	2	0.00165252814636
