Character Number	State Number	SimJ Partial Precision
1	0	0.517605633803
1	1	0.349986464204
1	2	0.349986464204
2	0	0.75
2	1	0.226666666667
3	0	0.0110957004161
3	1	0.0110957004161
4	0	0.0201366414959
4	1	0.0201366414959
5	0	0.550580431177
5	1	0.550580431177
5	2	0.666666666667
6	0	0.738095238095
6	1	0.424207761397
6	2	0.371161269791
6	3	0.0
6	4	0.0
7	0	0.52380952381
7	1	0.52380952381
8	0	0.866666666667
8	1	0.0965909090909
9	0	0.0829694323144
9	1	0.0829694323144
10	0	1.0
10	1	1.0
10	2	1.0
11	0	0.390804597701
11	1	0.871794871795
12	0	0.866666666667
12	1	0.866666666667
13	0	0.00249260009347
13	1	0.00249260009347
14	0	0.334530824904
14	1	1.0
15	0	0.307695813678
15	1	0.75
16	0	0.129859556279
16	1	0.129859556279
17	0	0.576264846161
17	1	0.841573340617
18	0	0.583054626533
18	1	0.853181076672
19	0	0.0403458213256
19	1	0.215384615385
19	2	0.215384615385
20	0	1.0
20	1	1.0
21	0	0.140983606557
21	1	0.140983606557
22	0	1.0
22	1	0.558086560364
23	0	0.850255513717
23	1	0.850255513717
24	0	0.240749572194
24	1	0.942041712404
25	0	0.75
25	1	0.75
26	0	0.174436607604
26	1	0.669749009247
27	0	0.682926829268
27	1	0.682926829268
28	0	1.0
28	1	0.833333333334
29	0	0.357142857143
29	1	0.384615384615
30	0	0.219639083076
30	1	0.219621230594
31	0	0.391304347826
31	1	0.391304347826
32	0	1.0
32	1	1.0
33	0	0.974358974359
33	1	0.961538461538
33	2	0.974358974359
33	3	1.0
33	4	1.0
34	0	0.0024114192369
34	1	0.00305825485145
34	2	0.00305795314427
34	3	0.00321994301094
35	0	0.462686567164
35	1	0.462686567164
36	0	0.144329896907
36	1	0.225806451613
37	0	0.560975609756
37	1	0.560975609756
38	0	0.428571428571
38	1	0.169491525424
38	2	0.391304347826
39	0	0.120092378753
39	1	0.448361404884
39	2	0.448361404884
39	3	0.337554946251
40	0	0.918402039949
40	1	0.92
40	2	0.918402039949
41	0	0.538690476191
41	1	0.534759358289
42	0	1.0
42	1	0.555555555556
42	2	1.0
43	0	0.00879378572475
43	1	0.00517107644575
43	2	0.00517107644575
44	0	0.385595920969
44	1	0.385595920969
45	0	0.0592885375494
45	1	0.0592885375494
46	0	0.0764872521246
46	1	0.0764872521246
47	0	0.00244315590592
47	1	0.084862863698
48	0	0.321116928447
48	1	1.0
48	2	1.0
49	0	0.0139225181598
49	1	0.0139183055976
50	0	0.025641025641
50	1	0.025641025641
51	0	0.785795670338
51	1	0.0176817288802
51	2	1.0
52	0	0.962962962963
52	1	0.962962962963
53	0	1.0
53	1	1.0
54	0	0.0194624652456
54	1	0.0194444444444
55	0	1.0
55	1	1.0
55	2	1.0
56	0	1.0
56	1	1.0
57	0	0.555555555556
57	1	0.363636363636
58	0	0.0560747663551
58	1	0.0560747663551
59	0	1.0
59	1	0.426013513514
60	0	1.0
60	1	0.214285714286
61	0	1.0
61	1	1.0
62	0	0.0119805316361
62	1	0.0119715675271
63	0	1.0
63	1	0.0255941499086
64	0	0.00344403444034
64	1	0.75
65	0	0.00193675742113
65	1	0.00357314643029
65	2	0.0159240545093
65	3	0.0
66	0	0.00088573959256
66	1	0.00088573959256
67	0	0.600069926577
67	1	0.882473923902
68	0	0.0038375016541
68	1	0.0038375016541
69	0	0.124069478908
69	1	0.142045454545
70	0	0.910714285714
70	1	0.0208319417936
70	2	0.25
70	3	0.244329600919
71	0	0.194444444444
71	1	0.00159860485395
71	2	0.00188227516198
72	0	1.0
72	1	1.0
73	0	0.615384615385
73	1	0.794952681388
74	0	1.0
74	1	1.0
75	0	0.754385964912
75	1	0.941176470588
76	0	0.557451649602
76	1	0.217990924459
77	0	0.00886824324324
77	1	1.0
78	0	1.0
78	1	1.0
79	0	0.250013349709
79	1	1.0
80	0	1.0
80	1	1.0
81	0	0.25
81	1	0.25
82	0	0.65
82	1	0.75
82	2	1.0
83	0	0.037037037037
83	1	0.037037037037
84	0	1.0
84	1	1.0
85	0	0.00914494741655
85	1	0.00914494741655
85	2	0.740740740741
86	0	0.0131026717167
86	1	0.00650836426501
87	0	0.233333333333
87	1	0.233333333333
88	0	1.0
88	1	1.0
89	0	0.3
89	1	0.3
90	0	0.186001489203
90	1	0.186001489203
91	0	0.201857345544
91	1	1.0
92	0	0.740740740741
92	1	0.238633843424
93	0	1.0
93	1	1.0
94	0	1.0
94	1	1.0
94	2	1.0
95	0	1.0
95	1	1.0
96	0	1.0
96	1	1.0
97	0	0.571538461538
97	1	0.666666666667
98	0	1.0
98	1	0.666666666667
98	2	0.0
99	0	1.0
99	1	1.0
100	0	0.077694235589
100	1	0.102819237148
101	0	0.0714285714286
101	1	0.0712589073634
102	0	0.507965638422
102	1	1.0
102	2	1.0
103	0	0.666906993511
103	1	0.571428571429
104	0	1.0
104	1	0.720037453183
105	0	0.00423111604356
105	1	0.00418180571742
106	0	0.0203235726701
106	1	0.0083041958042
107	0	0.65625
107	1	0.555555555556
108	0	0.652226415094
108	1	0.281709423998
109	0	1.0
109	1	1.0
110	0	1.0
110	1	0.555555555555
110	2	1.0
111	0	0.242350531302
111	1	0.242350531302
112	0	0.562140391254
112	1	0.635173726797
113	0	0.666666666667
113	1	0.250016650017
114	0	0.211267605634
114	1	0.211267605634
115	0	0.228683279324
115	1	0.0778761061947
115	2	0.385068250981
115	3	0.00329464619993
116	0	1.0
116	1	1.0
117	0	1.0
117	1	0.75
118	0	1.0
118	1	1.0
119	0	0.00373366521469
119	1	0.00373308446104
120	0	0.164021164021
120	1	0.11376146789
121	0	0.984848484848
121	1	0.220713073005
122	0	0.0972391040111
122	1	0.0972222222222
123	0	0.230769230769
123	1	0.230769230769
124	0	0.0648148148148
124	1	0.137254901961
125	0	0.429272959184
125	1	0.514705882353
125	2	0.0163636363636
126	0	1.0
126	1	1.0
127	0	0.74295129989
127	1	1.0
127	2	1.0
128	0	1.0
128	1	1.0
129	0	0.834975369458
129	1	1.0
130	0	0.0485436893204
130	1	0.0485436893204
131	0	0.0813362907139
131	1	0.0883894470922
132	0	0.529411764706
132	1	0.267326732673
133	0	0.401163036404
133	1	1.0
134	0	0.75
134	1	0.75
134	2	0.75
135	0	0.807692307692
135	1	0.807692307692
136	0	1.0
136	1	1.0
137	0	1.0
137	1	1.0
137	2	0.857142857143
138	0	1.0
138	1	1.0
139	0	0.892857142857
139	1	0.892857142857
140	0	0.00446096654275
140	1	0.00445875650235
141	0	0.00596125186289
141	1	0.00568855178952
142	0	0.0247026532479
142	1	1.0
142	2	0.0247026532479
143	0	1.0
143	1	1.0
144	0	0.0531400966184
144	1	0.0528846153846
145	0	0.628205128205
145	1	0.628205128205
145	2	0.628205128205
145	3	0.628205128205
146	0	0.530309112806
146	1	0.452746122869
147	0	1.0
147	1	1.0
148	0	0.714285714286
148	1	0.634920634921
148	2	0.36231884058
149	0	1.0
149	1	1.0
150	0	0.0
150	1	0.0
150	2	0.0
150	3	0.0
151	0	0.866666666667
151	1	0.866666666667
152	0	0.432432432432
152	1	0.432432432432
153	0	0.868421052632
153	1	0.868421052632
154	0	1.0
154	1	1.0
155	0	0.83723183391
155	1	0.83815614684
156	0	1.0
156	1	1.0
157	0	1.0
157	1	1.0
158	0	0.357142857143
158	1	0.357142857143
159	0	0.00521172638436
159	1	0.00672268907563
160	0	0.230769230769
160	1	0.230769230769
161	0	0.5
161	1	0.5
162	0	0.933333333333
162	1	0.933333333333
163	0	1.0
163	1	1.0
164	0	0.250006380318
164	1	1.0
165	0	0.400606980273
165	1	1.0
166	0	0.666666666667
166	1	0.724137931034
166	2	1.0
167	0	0.0132645541636
167	1	0.0132547864507
168	0	0.833333333333
168	1	0.0041928721174
169	0	0.163307027058
169	1	0.268041237113
170	0	0.122549019608
170	1	0.122549019608
170	2	0.122549019608
171	0	0.0405904059041
171	1	0.0482456140351
172	0	1.0
172	1	0.00400433803287
173	0	0.520833333333
173	1	0.520833333333
174	0	1.0
174	1	1.0
175	0	0.391785150079
175	1	0.96875
176	0	0.225806451613
176	1	0.225806451613
177	0	1.0
177	1	1.0
178	0	0.630071599045
178	1	0.790540540541
179	0	0.893939393939
179	1	0.893939393939
180	0	1.0
180	1	1.0
180	2	1.0
181	0	0.821620101974
181	1	0.658441558442
181	2	0.821656050955
182	0	1.0
182	1	1.0
182	2	0.0313377679231
183	0	0.676056338028
183	1	0.642857142857
184	0	0.885714285714
184	1	0.885714285714
184	2	0.885714285714
184	3	0.885714285714
185	0	0.187120051401
185	1	0.650291995878
186	0	0.655172413793
186	1	0.2125
186	2	0.0974358974359
186	3	0.497586206897
187	0	0.328606907705
187	1	0.406581627184
188	0	1.0
188	1	0.363636363636
188	2	0.363636363636
189	0	1.0
189	1	0.25
190	0	0.47619047619
190	1	0.47619047619
190	2	0.47619047619
191	0	0.0149476831091
191	1	0.0145666423889
192	0	0.428588152657
192	1	0.666666666667
193	0	0.122767857143
193	1	0.0817236255572
194	0	0.8
194	1	0.8
195	0	1.0
195	1	1.0
196	0	0.644123646634
196	1	1.0
196	2	1.0
197	0	0.759259259259
197	1	0.759259259259
198	0	0.00672897196262
198	1	0.00631136044881
199	0	0.181818181818
199	1	0.833333333333
200	0	1.0
200	1	1.0
201	0	0.6
201	1	0.333333333333
201	2	1.0
202	0	1.0
202	1	1.0
203	0	1.0
203	1	1.0
