Character Number	State Number	SimJ Partial Precision
1	0	0.049065409155
1	1	0.023487544484
1	2	0.064077669903
2	0	0.00753012048192
2	1	0.0153159893236
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.162162162162
5	1	0.324324324324
5	2	0.0
6	0	0.386713882878
6	1	0.305650813123
6	2	0.20853256137
6	3	0.141379310345
6	4	0.165322580645
7	0	0.0
7	1	0.00460829493087
8	0	0.102531910442
8	1	0.00485026381778
9	0	0.103884372177
9	1	0.0964285714285
10	0	0.0
10	1	0.00596302921885
10	2	0.0
11	0	0.161275088548
11	1	0.172894255168
12	0	0.0
12	1	0.0
13	0	0.142857142857
13	1	0.0
14	0	0.000505900651112
14	1	0.225577006823
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.00324587503381
17	1	0.00324587503381
18	0	0.00277328403051
18	1	0.00277328403051
19	0	0.03300330033
19	1	0.00618429189857
19	2	0.04329004329
20	0	0.683193708326
20	1	0.00846585058918
21	0	0.0456730769231
21	1	0.0794024714919
22	0	0.738461538462
22	1	0.547945205479
23	0	0.00135869565218
23	1	0.00135869565218
24	0	0.0225479143179
24	1	0.0285062713797
25	0	0.262295081967
25	1	0.262295081967
26	0	0.0399767608898
26	1	0.5
27	0	1.0
27	1	1.0
28	0	0.0677083333333
28	1	0.0603472030862
29	0	0.0526315789474
29	1	0.0526315789474
30	0	0.000737723835436
30	1	0.000737723835436
31	0	0.0
31	1	0.0108695652174
32	0	0.0493695823483
32	1	0.0493695823483
33	0	0.440303914963
33	1	0.316833751044
33	2	0.0
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.00214166318429
34	2	0.00214166318429
34	3	0.00225472943247
35	0	0.0
35	1	0.0
36	0	0.101796407186
36	1	0.138374866354
37	0	0.0429824561404
37	1	0.262987012987
38	0	0.0
38	1	0.0
38	2	0.0301075268817
39	0	0.125
39	1	0.0049751243781
39	2	0.0169262499111
39	3	0.0045871559633
40	0	0.00147191103116
40	1	0.230769230769
40	2	0.00147191103116
41	0	0.109717868339
41	1	1.0
42	0	0.008356545961
42	1	0.0196078431373
42	2	0.008356545961
43	0	0.0
43	1	0.00397851601353
43	2	0.00397851601353
44	0	0.000379470638459
44	1	0.000474383301708
45	0	0.555555555556
45	1	0.909090909091
46	0	0.0303851770719
46	1	0.0303851770719
47	0	0.00261054005547
47	1	0.00294730615253
48	0	0.0
48	1	0.350879150582
48	2	0.466449626995
49	0	0.0162162162162
49	1	0.0217391304348
50	0	0.5
50	1	0.375
51	0	0.447457627119
51	1	0.108641975309
51	2	0.95652173913
52	0	0.0526315789474
52	1	0.0714285714286
53	0	0.0491803278689
53	1	0.00138121546961
54	0	0.46875
54	1	0.46875
55	0	0.0
55	1	0.260465116279
55	2	1.0
56	0	0.080357142857
56	1	0.080357142857
57	0	0.492169739833
57	1	0.0875
58	0	0.0582857142857
58	1	0.0637843665769
59	0	0.000236854571293
59	1	0.000710732054016
60	0	0.269886363636
60	1	0.0247700534759
61	0	0.941176470588
61	1	0.941176470588
62	0	0.00127334465195
62	1	0.000636672325975
63	0	0.0232558139535
63	1	0.0923073124968
64	0	0.000112372176649
64	1	0.000112372176649
65	0	0.486914893617
65	1	0.698630136986
65	2	0.669985775249
65	3	0.0
66	0	0.179487179487
66	1	0.179487179487
67	0	0.00175826588811
67	1	0.00127032370029
68	0	0.0998122918558
68	1	0.146514629948
69	0	0.0383480825959
69	1	0.0383480825959
70	0	0.131578947369
70	1	0.131578947369
70	2	0.131578947369
70	3	0.00597514340344
71	0	0.0689655172414
71	1	0.0182648401826
71	2	0.098901098901
72	0	0.0143540669856
72	1	0.0192307692308
73	0	0.189393939394
73	1	0.181818181818
74	0	0.666666666667
74	1	0.666666666667
75	0	0.36176727909
75	1	0.421921921922
76	0	0.0105891570321
76	1	0.0105891570321
77	0	0.259909792697
77	1	0.28174386921
78	0	0.5
78	1	0.5
79	0	0.0494224807152
79	1	0.0494224807152
80	0	1.0
80	1	1.0
81	0	0.284064665127
81	1	0.425740508969
82	0	0.647713659542
82	1	0.448187350657
82	2	0.5
83	0	0.156351948574
83	1	0.232983508246
84	0	1.0
84	1	1.0
85	0	0.12101910828
85	1	0.06050955414
85	2	1.0
86	0	0.0064967516242
86	1	0.00650642168183
87	0	0.076923076923
87	1	0.076923076923
88	0	1.0
88	1	0.58940397351
89	0	0.0
89	1	0.0
90	0	0.221403596403
90	1	0.217907092907
91	0	0.00033383408446
91	1	0.100864181607
92	0	0.285205030071
92	1	0.0897888749511
93	0	0.0
93	1	0.0
94	0	0.00295882999408
94	1	0.00295882999408
94	2	0.0
95	0	0.0232558139535
95	1	0.0234375
96	0	1.0
96	1	1.0
97	0	0.0882352941176
