Character Number	State Number	SimJ Partial Precision
1	0	0.0367990568662
1	1	0.0195729537367
1	2	0.0533980582525
2	0	0.00502008032128
2	1	0.010603377224
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.333333333333
5	1	0.611111111111
5	2	0.0
6	0	0.386713882878
6	1	0.305650813123
6	2	0.20853256137
6	3	0.141379310345
6	4	0.165322580645
7	0	0.058835978836
7	1	0.065625
8	0	0.102531910442
8	1	0.00485026381778
9	0	0.103884372177
9	1	0.0964285714285
10	0	0.0
10	1	0.208436724566
10	2	0.0
11	0	0.107516725699
11	1	0.129670691376
12	0	0.0
12	1	0.0108695652174
13	0	0.142857142857
13	1	0.0
14	0	0.000505900651112
14	1	0.225577006823
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.00324587503381
17	1	0.00324587503381
18	0	0.00277328403051
18	1	0.00277328403051
19	0	0.075581395349
19	1	0.0146137787056
19	2	0.107692307693
20	0	0.683193708326
20	1	0.00846585058918
21	0	0.0456730769231
21	1	0.104531663913
22	0	0.738461538462
22	1	0.547945205479
23	0	0.00090579710145
23	1	0.00090579710145
24	0	0.0112852519995
24	1	0.0142644305304
25	0	0.242647058823
25	1	0.242647058823
26	0	0.0399767608898
26	1	0.5
27	0	0.0811965811967
27	1	0.0811965811967
28	0	0.116161616162
28	1	0.0846914239917
29	0	0.404761904762
29	1	0.4
30	0	0.000603592228993
30	1	0.000603592228993
31	0	0.166666666667
31	1	0.166666666667
32	0	0.0435613961897
32	1	0.0435613961897
33	0	0.440303914963
33	1	0.316833751044
33	2	0.235148514852
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.00214166318429
34	2	0.00214166318429
34	3	0.00225472943247
35	0	0.231343283582
35	1	0.231343283582
36	0	0.127955493741
36	1	0.168328783405
37	0	0.0959033613444
37	1	0.264666368115
38	0	0.182926829269
38	1	0.365136876006
38	2	0.178801843318
39	0	0.0258620689655
39	1	0.0042986409383
39	2	0.00477254357047
39	3	0.00498055212978
40	0	0.00147191103116
40	1	0.230769230769
40	2	0.00147191103116
41	0	0.0548589341695
41	1	0.5
42	0	0.008356545961
42	1	0.0196078431373
42	2	0.008356545961
43	0	0.0
43	1	0.00397851601353
43	2	0.00397851601353
44	0	0.00713079376995
44	1	0.00894538606405
45	0	0.555555555556
45	1	0.909090909091
46	0	0.00481696275956
46	1	0.00602120344945
47	0	0.00261054005547
47	1	0.00294730615253
48	0	0.0
48	1	0.350879150582
48	2	0.466449626995
49	0	0.0162162162162
49	1	0.0217391304348
50	0	0.5
50	1	0.375
51	0	0.231164383561
51	1	0.054726368159
51	2	0.5
52	0	0.0526315789474
52	1	0.0714285714286
53	0	0.0245901639344
53	1	0.0
54	0	0.46875
54	1	0.46875
55	0	0.0
