Character Number	State Number	SimJ Partial Precision
1	0	0.0482614783268
1	1	0.095652173913
1	2	0.064077669903
2	0	0.00654761904762
2	1	0.0149269301412
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.0081967213115
5	1	0.508196721311
5	2	0.0
6	0	0.287752372007
6	1	0.152216703756
6	2	0.165653477961
6	3	0.0
6	4	0.0
7	0	0.0
7	1	0.00460829493087
8	0	0.118644067797
8	1	0.00596183853328
9	0	0.0586387728203
9	1	0.0802553579573
10	0	0.0
10	1	0.436363636364
10	2	0.0
11	0	0.113636363636
11	1	0.0986126700756
12	0	0.0782608695652
12	1	0.107142857143
13	0	0.142857142857
13	1	0.0
14	0	0.000505900651112
14	1	0.225577006823
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.0035279025016
17	1	0.0035279025016
18	0	0.00324587503381
18	1	0.00324587503381
19	0	0.0
19	1	0.0
19	2	0.251082251082
20	0	0.683193708326
20	1	0.00353205097609
21	0	0.0
21	1	0.0483228030168
22	0	0.738461538462
22	1	0.738461538462
23	0	7.84055448401e-06
23	1	9.80084679316e-06
24	0	0.0225479143179
24	1	0.0285062713797
25	0	0.198717948718
25	1	0.198717948718
26	0	0.0558723351257
26	1	0.334874504623
27	0	0.121794871795
27	1	0.121794871795
28	0	0.0140515222482
28	1	0.0156152696475
29	0	0.0526315789474
29	1	0.0526315789474
30	0	0.0010160097693
30	1	0.0010159336208
31	0	0.0
31	1	0.031746031746
32	0	0.0462839834516
32	1	0.0462839834516
33	0	0.440303914963
33	1	0.316833751044
33	2	0.0
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.00253837785568
34	2	0.00203705500049
34	3	0.00267209568647
35	0	0.0
35	1	0.0
36	0	0.0
36	1	0.545454545455
37	0	0.0280318311476
37	1	0.170561406381
38	0	0.0
38	1	0.0
38	2	0.0682894736842
39	0	0.00373134328358
39	1	0.00564971751413
39	2	0.0634167385679
39	3	0.0580916351409
40	0	0.00165252814636
40	1	0.254174397031
40	2	0.00165252814636
41	0	0.562248995984
41	1	1.0
42	0	0.0
42	1	0.0
42	2	0.0
43	0	0.0
43	1	0.280155642023
43	2	0.280155642023
44	0	0.000227092085841
44	1	0.000567859170926
45	0	0.185840707965
45	1	0.264150943396
46	0	0.0219361387966
46	1	0.0219361387966
47	0	0.755102040816
47	1	0.376135907449
48	0	0.0
48	1	0.207823769204
48	2	0.201031265052
49	0	0.0140845070423
49	1	0.0188679245283
50	0	0.125
50	1	0.09375
51	0	0.0157393850659
51	1	0.00396149062601
51	2	0.914893617021
52	0	0.0526315789474
52	1	0.0714285714286
53	0	0.0434782608697
53	1	0.00182481751825
54	0	0.769230769231
54	1	0.769230769231
55	0	0.0
55	1	0.215384615385
55	2	0.56862745098
56	0	0.080357142857
56	1	0.080357142857
57	0	0.533333333333
57	1	0.0727272727273
58	0	0.00629835458211
58	1	0.00634098032805
59	0	0.000236854571293
59	1	0.000710732054016
60	0	0.404761904762
60	1	0.021935483871
61	0	0.941176470588
61	1	0.941176470588
62	0	0.000282485875706
62	1	0.000141222991103
63	0	1.0
63	1	0.5
64	0	0.0985576923077
64	1	0.0985576923077
65	0	0.00187997841872
65	1	0.0039510381159
65	2	0.00379861852319
65	3	0.0
66	0	0.000888212155818
66	1	0.0007408191343
67	0	0.00190749381147
67	1	0.00127205445054
68	0	0.16729633236
68	1	0.265453639083
69	0	0.0137566137566
69	1	0.0137566137566
70	0	0.123529411764
70	1	0.123529411764
70	2	0.123529411764
70	3	0.00557324840764
71	0	1.0
71	1	0.333333333333
71	2	0.00169148203062
72	0	0.00305810397554
72	1	0.00218340611354
73	0	0.0382301908618
73	1	0.0301497316947
74	0	1.0
74	1	1.0
75	0	0.625984251968
75	1	0.716216216216
76	0	0.0336413780046
76	1	0.0621730533844
77	0	0.722799422799
77	1	0.288495575221
78	0	0.5
78	1	0.5
79	0	0.000258062736534
79	1	0.000258040966096
80	0	1.0
