Character Number	State Number	SimJ Partial Precision
1	0	0.0211821038322
1	1	0.095652173913
1	2	0.064077669903
2	0	0.00785714285715
2	1	0.0175229179919
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.0
5	1	0.0
5	2	0.0
6	0	0.287752372007
6	1	0.152216703756
6	2	0.165653477961
6	3	0.0
6	4	0.0
7	0	0.0310559006211
7	1	0.0
8	0	0.118644067797
8	1	0.00596183853328
9	0	0.0586387728203
9	1	0.0802553579573
10	0	0.0
10	1	0.114441416894
10	2	0.0
11	0	0.113827527613
11	1	0.122433229864
12	0	0.0285714285714
12	1	0.0384615384615
13	0	0.142857142857
13	1	0.0
14	0	0.000505900651112
14	1	0.225577006823
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.0035279025016
17	1	0.0035279025016
18	0	0.00324587503381
18	1	0.00324587503381
19	0	0.0
19	1	0.0
19	2	0.251082251082
20	0	0.683193708326
20	1	0.00353205097609
21	0	0.0
21	1	0.0483228030168
22	0	0.738461538462
22	1	0.738461538462
23	0	8.73651369076e-05
23	1	0.000137288072283
24	0	0.0225479143179
24	1	0.0285062713797
25	0	0.198717948718
25	1	0.198717948718
26	0	0.0558723351257
26	1	0.334874504623
27	0	0.0
27	1	0.0
28	0	0.00763358778626
28	1	0.0103368167454
29	0	0.06
29	1	0.0625
30	0	0.0010160097693
30	1	0.0010159336208
31	0	0.0
31	1	0.031746031746
32	0	0.0528959810875
32	1	0.0528959810875
33	0	0.440303914963
33	1	0.316833751044
33	2	0.0
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.00253837785568
34	2	0.00203705500049
34	3	0.00267209568647
35	0	0.152777777778
35	1	0.152777777778
36	0	0.0
36	1	0.466666666666
37	0	0.0266689912143
37	1	0.224367492452
38	0	0.0
38	1	0.0
38	2	0.0491228070175
39	0	0.00373134328358
39	1	0.00564971751413
39	2	0.0634167385679
39	3	0.0580916351409
40	0	0.00165252814636
40	1	0.254174397031
40	2	0.00165252814636
41	0	0.102864511375
41	1	0.13953488372
42	0	0.0
42	1	0.0
42	2	0.0
43	0	0.0
43	1	0.280155642023
43	2	0.280155642023
44	0	0.0121872163879
44	1	0.0316232127838
45	0	0.185840707965
45	1	0.264150943396
46	0	0.0010582010582
46	1	0.0146240925311
47	0	0.755102040816
47	1	0.376135907449
48	0	0.0
48	1	0.207823769204
48	2	0.201031265052
49	0	0.0570422535211
49	1	0.0313597918023
50	0	0.125
50	1	0.09375
51	0	0.00159577732769
51	1	0.0003998277665
51	2	0.0942028985507
52	0	0.0526315789474
52	1	0.0714285714286
53	0	0.0652173913045
53	1	0.0036496350365
54	0	0.769230769231
54	1	0.769230769231
55	0	0.0
55	1	0.215384615385
55	2	0.56862745098
56	0	0.080357142857
56	1	0.080357142857
57	0	0.533333333333
57	1	0.0727272727273
58	0	0.0368648894965
58	1	0.0387231514751
59	0	0.000236854571293
59	1	0.000710732054016
60	0	0.404761904762
60	1	0.00727272727273
61	0	0.941176470588
61	1	0.941176470588
62	0	0.000423728813559
62	1	0.000211834486655
63	0	0.282608695652
63	1	0.211956521739
64	0	0.0209580838323
64	1	0.0209580838323
65	0	0.00187997841872
65	1	0.0039510381159
65	2	0.00379861852319
65	3	0.0
66	0	0.000475987733205
66	1	0.00039697846029
67	0	0.00190749381147
67	1	0.00127205445054
68	0	0.16729633236
68	1	0.265453639083
69	0	0.0412698412698
69	1	0.0412698412698
70	0	0.123529411764
70	1	0.123529411764
70	2	0.123529411764
70	3	0.0
71	0	1.0
71	1	0.333333333333
71	2	0.00169148203062
72	0	0.00305810397554
72	1	0.00218340611354
73	0	0.0382301908618
73	1	0.0301497316947
74	0	1.0
74	1	1.0
75	0	0.36176727909
75	1	0.421921921922
76	0	0.0336413780046
76	1	0.0621730533844
77	0	0.5370995671
77	1	0.274632516704
78	0	0.5
78	1	0.5
79	0	0.000274191657568
79	1	0.000274168526478
80	0	1.0
80	1	1.0
81	0	0.173210161663
81	1	0.245098039216
82	0	0.420830546736
82	1	0.0204510709285
82	2	0.5
83	0	0.0
83	1	0.0
84	0	1.0
84	1	1.0
85	0	0.00410583941606
85	1	0.00439407955597
85	2	0.952380952381
86	0	0.325792326939
86	1	0.326397467754
87	0	0.448717948718
87	1	0.448717948718
88	0	1.0
88	1	0.58940397351
89	0	0.141791044776
89	1	0.141791044776
90	0	0.00160340895135
90	1	0.00157695265226
91	0	0.00033383408446
91	1	0.100864181607
92	0	0.167147057862
92	1	0.0404134819921
93	0	0.583333333333
93	1	0.583333333333
94	0	0.00377195818513
94	1	0.00377195818513
94	2	0.0
95	0	0.0165745856354
95	1	0.0166666666667
96	0	0.0
96	1	0.0
97	0	0.00212879191059
97	1	0.00106411279595
98	0	0.0
98	1	0.0
98	2	0.106194690265
99	0	0.282608695652
99	1	0.282608695652
100	0	0.0489864565814
