Character Number	State Number	SimJ Partial Precision
1	0	0.0361961087451
1	1	0.0797101449275
1	2	0.0533980582525
2	0	0.00436507936508
2	1	0.0103340285593
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.195530726257
5	1	0.601851851852
5	2	0.0
6	0	0.287752372007
6	1	0.152216703756
6	2	0.165653477961
6	3	0.0
6	4	0.0
7	0	0.0385964912281
7	1	0.065625
8	0	0.118644067797
8	1	0.00596183853328
9	0	0.0586387728203
9	1	0.0802553579573
10	0	0.0
10	1	0.436363636364
10	2	0.0
11	0	0.084260977118
11	1	0.101437938374
12	0	0.265957446808
12	1	0.448275862069
13	0	0.142857142857
13	1	0.0
14	0	0.000505900651112
14	1	0.225577006823
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.0035279025016
17	1	0.0035279025016
18	0	0.00324587503381
18	1	0.00324587503381
19	0	0.096214511041
19	1	0.240776699029
19	2	0.476923076923
20	0	0.683193708326
20	1	0.00353205097609
21	0	0.0383064516129
21	1	0.0503433744025
22	0	0.738461538462
22	1	0.738461538462
23	0	5.22703632268e-06
23	1	6.53389786211e-06
24	0	0.0112852519995
24	1	0.0142644305304
25	0	0.335714285715
25	1	0.335714285715
26	0	0.0558723351257
26	1	0.334874504623
27	0	0.0811965811967
27	1	0.0811965811967
28	0	0.0140515222482
28	1	0.0156152696475
29	0	0.178571428571
29	1	0.192307692307
30	0	0.000831280720336
30	1	0.000831218417019
31	0	0.0172413793104
31	1	0.0154639175257
32	0	0.0435613961897
32	1	0.0435613961897
33	0	0.440303914963
33	1	0.316833751044
33	2	0.171945701358
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.00253837785568
34	2	0.00203705500049
34	3	0.00267209568647
35	0	0.231343283582
35	1	0.231343283582
36	0	0.307692307692
36	1	0.516671480376
37	0	0.0812723100459
37	1	0.220309147918
38	0	0.197368421052
38	1	0.365136876006
38	2	0.350991279652
39	0	0.0598591549295
39	1	0.0365336361827
39	2	0.284265734266
39	3	0.265909090909
40	0	0.00165252814636
40	1	0.254174397031
40	2	0.00165252814636
41	0	0.281124497992
41	1	0.5
42	0	0.0
42	1	0.0
42	2	0.0
43	0	0.0
43	1	0.280155642023
43	2	0.280155642023
44	0	0.00343985796715
44	1	0.00868834080715
45	0	0.185840707965
45	1	0.264150943396
46	0	0.0058264317145
46	1	0.00728303964312
47	0	0.755102040816
47	1	0.376135907449
48	0	0.0
48	1	0.207823769204
48	2	0.201031265052
49	0	0.0140845070423
49	1	0.0188679245283
50	0	0.125
50	1	0.09375
51	0	0.0080556572684
51	1	0.00198101907306
51	2	0.478260869565
52	0	0.0526315789474
52	1	0.0714285714286
53	0	0.0326086956522
53	1	0.0
54	0	0.769230769231
54	1	0.769230769231
55	0	0.0
55	1	0.215384615385
55	2	0.56862745098
56	0	0.080357142857
56	1	0.080357142857
57	0	0.533333333333
57	1	0.0727272727273
58	0	0.0368648894965
58	1	0.0387231514751
59	0	0.000236854571293
59	1	0.000710732054016
60	0	0.404761904762
60	1	0.021935483871
61	0	0.941176470588
61	1	0.941176470588
62	0	0.000428571428571
62	1	0.000214255106413
63	0	0.5
63	1	0.383190883191
64	0	0.0492788461539
64	1	0.0492788461539
65	0	0.00187997841872
65	1	0.0039510381159
65	2	0.00379861852319
65	3	0.0
66	0	0.000888212155818
66	1	0.0007408191343
67	0	0.00199063591796
67	1	0.00143833866352
68	0	0.0829663628772
68	1	0.135910768864
69	0	0.00589569160997
69	1	0.00589569160997
70	0	0.123529411764
