Character Number	State Number	SimJ Partial Precision
1	0	0.0211821038322
1	1	0.095652173913
1	2	0.064077669903
2	0	0.0091463414634
2	1	0.0168472042879
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.0
5	1	0.0
5	2	0.0
6	0	0.287752372007
6	1	0.155976418988
6	2	0.170889065529
6	3	0.11753371869
6	4	0.0
7	0	0.0204081632653
7	1	0.0
8	0	0.102531910442
8	1	0.00485026381778
9	0	0.0760077707627
9	1	0.0756321839082
10	0	0.0
10	1	0.114441416894
10	2	0.0
11	0	0.145432874634
11	1	0.505104530271
12	0	0.025641025641
12	1	0.0344827586207
13	0	1.0
13	1	0.0
14	0	0.000505900651112
14	1	0.225577006823
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.134474327628
17	1	0.134474327628
18	0	0.00277328403051
18	1	0.00277328403051
19	0	0.0
19	1	0.0
19	2	0.251082251082
20	0	0.683193708326
20	1	0.00846585058918
21	0	0.0
21	1	0.0719497193972
22	0	0.738461538462
22	1	0.738461538462
23	0	5.19569154047e-05
23	1	6.65626770365e-05
24	0	0.0131654013253
24	1	0.0285062713797
25	0	0.1171875
25	1	0.1171875
26	0	0.0399767608898
26	1	0.251737835154
27	0	0.0
27	1	0.0
28	0	0.40625
28	1	0.377038043479
29	0	0.0625
29	1	0.0652173913042
30	0	0.0010160097693
30	1	0.0010159336208
31	0	0.0
31	1	0.0185185185185
32	0	0.0361212861213
32	1	0.0361212861213
33	0	0.373166233804
33	1	0.316833751044
33	2	0.0
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.00216524777324
34	2	0.00216524777324
34	3	0.00216524777324
35	0	0.186046511628
35	1	0.186046511628
36	0	0.0
36	1	0.2265625
37	0	0.150694977998
37	1	0.35710553814
38	0	0.0
38	1	0.0
38	2	0.009375
39	0	0.00306748466258
39	1	0.00087489063867
39	2	0.00845064821444
39	3	0.00829238329238
40	0	0.0472147349506
40	1	0.247455944403
40	2	0.0472147349506
41	0	0.114746881878
41	1	0.13953488372
42	0	0.0
42	1	0.0
42	2	0.0
43	0	0.0
43	1	0.303571428571
43	2	0.303571428571
44	0	0.0754148965435
44	1	0.075412591687
45	0	0.185840707965
45	1	0.264150943396
46	0	0.0054054054054
46	1	0.017709754988
47	0	0.00251441453158
47	1	0.341101978081
48	0	0.00280112044818
48	1	0.207823769204
48	2	0.334651954708
49	0	0.00132220906869
49	1	0.000528728272025
50	0	0.0454545454545
50	1	0.0340909090909
51	0	0.00136375557304
51	1	0.00034158389826
51	2	0.0942028985507
52	0	0.051724137931
52	1	0.0701754385965
53	0	0.0652173913045
53	1	0.0036496350365
54	0	0.0186567164179
54	1	0.0186393289842
55	0	0.0
55	1	0.00154931525799
55	2	1.0
56	0	0.080357142857
56	1	0.080357142857
57	0	0.533333333333
57	1	0.0666666666667
58	0	0.0782318598832
58	1	0.0994363055105
59	0	0.000355366027008
59	1	0.000710732054016
60	0	0.404761904762
60	1	0.010854816825
61	0	0.941176470588
61	1	0.941176470588
62	0	0.0162162162162
62	1	0.00806451612902
63	0	0.282608695652
63	1	0.211956521739
64	0	0.028
64	1	0.0278884462151
65	0	0.00187997841872
65	1	0.0039510381159
65	2	0.00765382664618
65	3	0.0
66	0	0.091186664466
66	1	0.091186664466
67	0	0.00168488539558
67	1	0.00112356271523
68	0	0.000653769213922
68	1	0.000466905722996
69	0	0.236363636364
69	1	0.236363636364
70	0	0.132978723405
70	1	0.00118960468521
70	2	0.00156912637829
70	3	0.0
71	0	0.194444444444
71	1	0.000575279421433
71	2	0.000739644970414
72	0	0.0028818443804
72	1	0.00205761316872
73	0	0.0370855614973
73	1	0.0266620365012
74	0	1.0
74	1	1.0
75	0	0.36176727909
75	1	0.421921921922
76	0	0.0723468370686
76	1	0.072348077987
77	0	0.00593548383979
77	1	0.274632516704
78	0	0.5
78	1	0.5
79	0	0.000274168526478
79	1	0.000274168526478
80	0	1.0
80	1	1.0
81	0	0.173210161663
81	1	0.245098039216
82	0	0.647713659542
82	1	0.448187350657
82	2	0.5
83	0	0.0
83	1	0.0
84	0	1.0
84	1	1.0
85	0	0.00343249427918
85	1	0.00383528461849
85	2	0.833333333333
86	0	0.00156741191751
86	1	0.0552308849365
87	0	0.076923076923
87	1	0.076923076923
88	0	1.0
88	1	0.58940397351
89	0	0.141791044776
89	1	0.141791044776
90	0	0.000802858653791
90	1	0.00078007156263
91	0	0.00033383408446
91	1	0.100864181607
92	0	0.167854601518
92	1	0.198412698413
93	0	0.583333333333
93	1	0.583333333333
94	0	0.00295882999408
94	1	0.00295882999408
94	2	0.0
95	0	0.0225563909774
95	1	0.0227272727273
96	0	0.0
96	1	0.0
97	0	0.00212879191059
97	1	0.00106411279595
98	0	0.0
98	1	0.0
98	2	0.111111111111
99	0	0.358695652174
99	1	0.358695652174
100	0	0.523061497326
