Character Number	State Number	SimJ Partial Precision
1	0	0.0367990568662
1	1	0.0797101449275
1	2	0.0533980582525
2	0	0.005081300813
2	1	0.00993553073391
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.191256830601
5	1	0.585585585586
5	2	0.0
6	0	0.287752372007
6	1	0.155976418988
6	2	0.170889065529
6	3	0.11753371869
6	4	0.0
7	0	0.0673094283754
7	1	0.0792682926829
8	0	0.102531910442
8	1	0.00485026381778
9	0	0.0760077707627
9	1	0.0756321839082
10	0	0.0
10	1	0.436363636364
10	2	0.0
11	0	0.107516725699
11	1	0.435478073328
12	0	0.291666666666
12	1	0.5
13	0	1.0
13	1	0.0
14	0	0.000505900651112
14	1	0.225577006823
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.134474327628
17	1	0.134474327628
18	0	0.00277328403051
18	1	0.00277328403051
19	0	0.354651162791
19	1	0.0539130434785
19	2	0.476923076923
20	0	0.683193708326
20	1	0.00846585058918
21	0	0.200704225352
21	1	0.0922098229142
22	0	0.738461538462
22	1	0.738461538462
23	0	2.24882439861e-05
23	1	2.29771803341e-05
24	0	0.00659681618408
24	1	0.0259353786805
25	0	0.112676056338
25	1	0.112676056338
26	0	0.0399767608898
26	1	0.251737835154
27	0	0.0182926829268
27	1	0.0182926829268
28	0	0.884615384615
28	1	0.616220735786
29	0	0.425
29	1	0.472222222222
30	0	0.000831280720336
30	1	0.000831218417019
31	0	0.0294117647059
31	1	0.0291970802919
32	0	0.0297469415116
32	1	0.0297469415116
33	0	0.373166233804
33	1	0.316833751044
33	2	0.311475409836
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.00216524777324
34	2	0.00216524777324
34	3	0.00216524777324
35	0	0.5
35	1	0.5
36	0	0.534482758621
36	1	0.361633924074
37	0	0.240340909091
37	1	0.487012987013
38	0	0.208333333333
38	1	0.365136876006
38	2	0.248630952381
39	0	0.054979253112
39	1	0.0339004155147
39	2	0.0339004155147
39	3	0.029597529023
40	0	0.0472147349506
40	1	0.247455944403
