Character Number	State Number	SimJ Partial Recall
1	0	0.121140682838
1	1	0.0913821777929
1	2	0.19285749134
2	0	0.180722891566
2	1	0.15023386697
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.0
5	1	0.0
5	2	0.0
6	0	0.501519367357
6	1	0.562045268962
6	2	0.372040813051
6	3	0.00359633349414
6	4	0.0029754345223
7	0	0.0
7	1	0.03125
8	0	0.0667847204656
8	1	0.15318627451
9	0	0.11797752809
9	1	0.11797752809
10	0	0.0
10	1	0.0142247510669
10	2	0.0
11	0	0.177095631641
11	1	0.236928301013
12	0	0.205479452055
12	1	0.294117647059
13	0	0.141592920354
13	1	0.0
14	0	0.00120059397807
14	1	0.451154013645
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.00324587503381
17	1	0.00324587503381
18	0	0.00277328403051
18	1	0.00277328403051
19	0	0.028328611898
19	1	0.0742115027829
19	2	0.12987012987
20	0	0.00257570483815
20	1	0.961038961039
21	0	0.0456730769231
21	1	0.169104369809
22	0	0.738461538462
22	1	0.421052631579
23	0	0.0147058823529
23	1	0.0147058823529
24	0	0.0450958286359
24	1	0.0570125427594
25	0	0.208333333333
25	1	0.208333333333
26	0	0.14848143982
26	1	1.0
27	0	0.0
27	1	0.0
28	0	0.00294985250737
28	1	0.00510204081633
29	0	0.0714285714286
29	1	0.0714285714286
30	0	0.00397986655742
30	1	0.00397986655742
31	0	0.375
31	1	0.375
32	0	0.351851851852
32	1	0.351851851852
33	0	0.684931506849
33	1	0.109649122807
33	2	0.0
33	3	0.6875
33	4	1.0
34	0	0.0
34	1	0.00191570465512
34	2	0.00214166318429
34	3	0.00219819630838
35	0	0.0
35	1	0.0
36	0	0.352941176471
36	1	0.308338720103
37	0	0.0666666666667
37	1	0.818181818182
38	0	0.6
38	1	0.571428571429
38	2	0.438888888889
39	0	0.03125
39	1	0.00512820512821
39	2	0.0403587443946
39	3	0.0378264310208
40	0	0.00294382206231
40	1	0.00491165836687
40	2	0.00294382206231
41	0	0.0695379283382
41	1	0.0716565722704
42	0	0.011673151751
42	1	0.0196078431373
42	2	0.011673151751
43	0	0.0
43	1	0.00887245841035
43	2	0.00887245841035
44	0	0.122727272727
44	1	0.109311740891
45	0	0.555555555556
45	1	0.909090909091
46	0	0.0419161676647
46	1	0.0419161676647
47	0	0.00261054005547
47	1	0.00304984421396
48	0	0.0
