Character Number	State Number	SimJ Partial Recall
1	0	0.0913821777929
1	1	0.198739693893
1	2	0.146115520543
2	0	0.152542372881
2	1	0.125326370757
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.0
5	1	0.0
5	2	0.0
6	0	0.738095238095
6	1	0.407039363032
6	2	0.192649049626
6	3	0.157826649418
6	4	0.0
7	0	0.217391304348
7	1	0.0
8	0	0.0840711695761
8	1	0.267326732673
9	0	0.0995260663507
9	1	0.137254901961
10	0	0.0
10	1	0.228882833787
10	2	0.0
11	0	0.13468013468
11	1	0.833333333333
12	0	0.0275229357798
12	1	0.037037037037
13	0	0.141592920354
13	1	0.0
14	0	0.22679077318
14	1	0.451154013645
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.0035279025016
17	1	0.0035279025016
18	0	0.00324587503381
18	1	0.00324587503381
19	0	0.0
19	1	0.0
19	2	0.74358974359
20	0	0.683193708326
20	1	0.00353205097609
21	0	0.0
21	1	0.117021276596
22	0	0.738461538462
22	1	0.547945205479
23	0	0.00118746289178
23	1	0.00118746289178
24	0	0.0220515270682
24	1	0.0570125427594
25	0	0.423076923077
25	1	0.423076923077
26	0	0.178282009724
26	1	0.669749009247
27	0	0.0
27	1	0.0
28	0	0.40625
28	1	0.403125
29	0	0.24
29	1	0.25
30	0	0.00437266791045
30	1	0.00437241298898
31	0	0.0
31	1	0.0227272727273
32	0	0.351851851852
32	1	0.351851851852
33	0	0.530532724505
33	1	0.771929824561
33	2	0.0
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.417920792079
34	2	0.415841584158
34	3	0.409029126213
35	0	0.152777777778
35	1	0.152777777778
36	0	0.0
36	1	0.640940525588
37	0	0.6
37	1	1.0
38	0	0.0
38	1	0.0
38	2	0.152542372881
39	0	0.00373134328358
39	1	0.00598241115981
39	2	0.0331578947368
39	3	0.0354385964912
40	0	0.00312798679294
40	1	0.467532467532
40	2	0.00312798679294
41	0	0.0752977385252
41	1	0.0971186192773
42	0	0.0
42	1	0.0
42	2	0.0
