Character Number	State Number	SimJ Partial Recall
1	0	0.05871886121
1	1	0.239130434783
1	2	0.160194174758
2	0	0.180722891566
2	1	0.210402855686
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.0
5	1	0.0
5	2	0.0
6	0	0.501519367357
6	1	0.499984917954
6	2	0.342111479707
6	3	0.0
6	4	0.0
7	0	0.113924050633
7	1	0.0
8	0	0.0667847204656
8	1	0.0416666666667
9	0	0.0510948905109
9	1	0.0510948905109
10	0	0.0
10	1	0.228882833787
10	2	0.0
11	0	0.145454545455
11	1	0.460037174721
12	0	0.025641025641
12	1	0.0344827586207
13	0	0.00499869825566
13	1	0.0
14	0	0.00120059397807
14	1	0.451154013645
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.00324587503381
17	1	0.00324587503381
18	0	0.00277328403051
18	1	0.00277328403051
19	0	0.0
19	1	0.0
19	2	0.12987012987
20	0	0.443956496149
20	1	0.00599895078264
21	0	0.0
21	1	0.218390804598
22	0	0.738461538462
22	1	0.738461538462
23	0	0.00102637514011
23	1	0.00102637514011
24	0	0.0450958286359
24	1	0.0570125427594
25	0	0.52380952381
25	1	0.52380952381
26	0	0.240583232078
26	1	0.625
27	0	0.0
27	1	0.0
28	0	0.40625
28	1	0.218564381355
29	0	0.291666666667
29	1	0.272727272727
30	0	0.00559617967468
30	1	0.0055957621428
31	0	0.0
31	1	0.0108695652174
32	0	0.351851851852
32	1	0.351851851852
33	0	0.530532724505
33	1	0.771929824561
33	2	0.0
33	3	0.6875
33	4	1.0
34	0	0.0
34	1	0.00193662800137
34	2	0.0019366611537
34	3	0.00199384142888
35	0	0.186046511628
35	1	0.186046511628
36	0	0.0
36	1	0.153165847224
37	0	0.368983957219
37	1	0.560975609756
38	0	0.0
38	1	0.0
38	2	0.318181818182
39	0	0.0181818181818
39	1	0.00359712230216
39	2	0.0296735905045
39	3	0.0296735905045
40	0	0.00312798679294
40	1	0.467532467532
40	2	0.00312798679294
41	0	0.114746881878
41	1	0.130175836642
42	0	0.0
42	1	0.0
42	2	0.0
43	0	0.0
43	1	0.00591304347826
43	2	0.00591304347826
44	0	0.11712700626
44	1	0.150825183374
45	0	0.138888888889
45	1	0.138888888889
46	0	0.0169838477531
46	1	0.0376462867767
47	0	0.00261054005547
47	1	0.025987756062
48	0	0.00629373088147
48	1	0.314085949135
48	2	0.569816449903
49	0	0.00250156347717
49	1	0.00250078149422
50	0	0.0588235294118
50	1	0.0441176470588
51	0	0.00339824859495
51	1	0.00085089671423
51	2	0.282608695652
52	0	0.0526315789474
52	1	0.0714285714286
53	0	0.130434782609
53	1	0.00729927007299
54	0	0.0186567164179
54	1	0.0186393289842
55	0	0.0
55	1	0.00387328814497
55	2	1.0
56	0	0.160714285714
56	1	0.160714285714
57	0	0.555555555556
57	1	0.0666666666667
58	0	0.128292849812
58	1	0.161685319289
59	0	0.000710732054016
59	1	0.000710732054016
60	0	0.833333333334
60	1	0.119402985075
61	0	0.941176470588
61	1	0.941176470588
62	0	0.009375
62	1	0.00936037441498
63	0	0.847826086957
63	1	0.0164347939707
64	0	0.000578416790613
64	1	0.000676001931434
65	0	0.0019116875328
65	1	0.00353234520017
65	2	0.00780652074085
65	3	0.0
66	0	0.18
66	1	0.18
67	0	0.00224712543046
67	1	0.00224712543046
68	0	0.00351762129156
68	1	0.00351762129156
69	0	0.25
69	1	0.25
70	0	0.265957446809
70	1	0.00362631669832
70	2	0.00236859914279
70	3	0.0
71	0	1.0
71	1	0.003436651718
71	2	0.00278076254049
72	0	0.00284090909091
72	1	0.00202839756592
73	0	0.0659340659341
73	1	0.0486257928118
74	0	1.0
74	1	1.0
75	0	0.53084179971
75	1	0.632882882882
76	0	0.0718437478082
76	1	0.0718449042433
77	0	0.00804403048264
77	1	0.274632516704
78	0	1.0
78	1	1.0
79	0	0.0020254873829
79	1	0.0020254873829
80	0	1.0
80	1	1.0
81	0	0.173210161663
81	1	0.245098039216
82	0	0.560496886395
82	1	0.341665734964
82	2	0.504155946962
83	0	0.0
83	1	0.0
84	0	1.0
84	1	1.0
85	0	0.00412465627864
85	1	0.00882899628253
85	2	0.769230769231
86	0	0.139072847682
86	1	0.139072847682
87	0	0.153846153846
87	1	0.153846153846
88	0	1.0
88	1	0.571428571429
89	0	0.283582089552
89	1	0.283582089552
90	0	0.00114311842707
90	1	0.00109754424475
91	0	0.000598981731057
91	1	0.201728363214
92	0	0.47689361628
92	1	0.509228399738
93	0	0.583333333333
93	1	0.583333333333
94	0	0.00887648998225
94	1	0.00887648998225
94	2	0.0
95	0	0.0232558139535
95	1	0.0234375
96	0	0.0
96	1	0.0
97	0	0.00212879191059
97	1	0.00212822559191
98	0	0.0
98	1	0.0
98	2	0.0
99	0	0.717391304348
99	1	0.717391304348
100	0	0.693181818182
100	1	0.0
101	0	0.24358974359
101	1	0.24358974359
102	0	0.0121956531208
102	1	0.0196001568013
102	2	1.0
103	0	0.0
103	1	0.0
104	0	1.0
104	1	0.553370786517
105	0	0.0
105	1	0.0
106	0	0.00317292437864
106	1	0.00265310634535
107	0	0.128205128205
107	1	0.172413793103
108	0	0.0
108	1	0.002476532854
109	0	0.122807017544
109	1	0.122807017544
110	0	0.41935483871
110	1	0.41935483871
110	2	0.0459363957597
111	0	0.0018948893719
111	1	0.00868454661558
112	0	0.458883295832
112	1	0.0
113	0	0.0
113	1	0.0
114	0	0.0
114	1	0.0
115	0	0.372026381563
115	1	0.0498045029295
115	2	0.416659421125
115	3	0.0
116	0	0.00224430907342
116	1	0.00205873468121
117	0	0.149163518618
117	1	0.0659971305596
118	0	0.0
118	1	0.0
119	0	0.0967741935484
119	1	0.133333333333
120	0	0.835616438356
120	1	0.518413597734
121	0	0.632352941176
121	1	0.0
122	0	0.00222858962114
122	1	0.002227880331
123	0	0.110091743119
123	1	0.00982532751092
124	0	0.0757097791798
124	1	0.137254901961
125	0	0.00170771566107
125	1	0.24329995704
125	2	0.0
126	0	0.0
126	1	0.0
127	0	0.00295659935289
127	1	0.507598026822
127	2	0.0857605177994
128	0	0.0
128	1	0.0
129	0	0.204311101528
129	1	0.234458421726
130	0	0.0
130	1	0.0
131	0	0.00147156661489
131	1	0.0050173819228
132	0	0.264705882353
132	1	0.719457013575
133	0	0.11493635357
133	1	0.11493635357
134	0	0.733333333333
134	1	0.733333333333
134	2	0.964912280702
135	0	0.517857142857
135	1	0.517857142857
136	0	0.12
136	1	0.12
137	0	1.0
137	1	1.0
137	2	0.0
138	0	0.55421686747
138	1	0.55421686747
139	0	0.168539325843
139	1	0.238095238095
140	0	0.0
140	1	0.0
141	0	0.00356052899288
141	1	0.0036231884058
142	0	0.000914913083257
142	1	0.037037037037
142	2	0.000914913083257
143	0	0.231884057971
143	1	0.231884057971
144	0	0.0531400966184
144	1	0.0528846153846
145	0	0.210526315789
145	1	0.210526315789
145	2	0.0
145	3	0.210526315789
146	0	0.0386295700161
146	1	0.0366772186443
147	0	0.146666666667
147	1	0.146666666667
148	0	0.0192307692308
148	1	0.00766283524904
148	2	0.0192307692308
149	0	1.0
149	1	1.0
150	0	0.0
150	1	0.0
150	2	0.0
150	3	0.0
151	0	0.0275229357798
151	1	0.037037037037
152	0	0.0
152	1	0.0
153	0	0.868421052632
153	1	0.868421052632
154	0	0.367647058824
154	1	0.367647058824
155	0	0.00233093606981
155	1	0.284158047146
156	0	0.977777777778
156	1	0.977777777778
157	0	1.0
157	1	1.0
158	0	0.137614678899
158	1	0.192307692308
159	0	0.00877192982456
159	1	0.00878048780488
160	0	0.110091743119
160	1	0.00982532751092
161	0	0.0327868852459
161	1	0.2
162	0	1.0
162	1	1.0
163	0	0.160021958416
163	1	0.186440677966
164	0	0.00879299816813
164	1	0.0110154624454
165	0	0.0523736182012
165	1	0.022362129668
166	0	0.413793103448
166	1	0.0
166	2	0.0
167	0	0.0
167	1	0.0
168	0	0.0485436893204
168	1	0.0
169	0	0.0830564784053
169	1	0.0
170	0	0.0
170	1	1.0
170	2	1.0
171	0	0.127659574468
171	1	0.0927835051546
172	0	0.0
172	1	0.0
173	0	1.0
173	1	1.0
174	0	1.0
174	1	1.0
175	0	0.253189129229
175	1	0.431996009851
176	0	0.352941176471
176	1	0.352941176471
177	0	0.0
177	1	0.0
178	0	0.22997002997
178	1	0.0777062868002
179	0	0.0153846153846
179	1	0.0153846153846
180	0	0.824561403509
180	1	0.824561403509
180	2	0.824561403509
181	0	0.0
181	1	0.00023758612497
181	2	0.0158696572154
182	0	0.78125
182	1	0.0188679245283
182	2	0.0
183	0	0.175824175824
183	1	0.191489361702
184	0	0.460784313725
184	1	0.460784313725
184	2	0.460784313725
184	3	0.0
185	0	8.49762066621e-05
185	1	8.49762066621e-05
186	0	0.393829538159
186	1	0.139682539683
186	2	0.0833649109511
186	3	0.479728604729
187	0	0.0
187	1	0.0
188	0	1.0
188	1	0.424342105263
188	2	0.424342105263
189	0	0.00778868946834
189	1	0.243128964059
190	0	0.041095890411
190	1	0.0510395010395
190	2	0.0127013556139
191	0	0.00229357798165
191	1	0.00229007633588
192	0	0.00239755884917
192	1	0.00119727891156
193	0	0.228070175439
193	1	0.228070175439
194	0	0.410256410256
194	1	0.279069767442
195	0	1.0
195	1	1.0
196	0	0.25378330373
196	1	0.00175932441942
196	2	0.595628415301
197	0	0.260273972603
197	1	0.38
198	0	0.00833649109511
198	1	0.00870223231177
199	0	0.0126050420168
199	1	0.0122549019608
200	0	0.0
200	1	0.0
201	0	0.0
201	1	0.0122448979592
201	2	0.0212765957447
202	0	0.0
202	1	0.0
203	0	0.000133173525103
203	1	3.32911645249e-05
