Character Number	State Number	SimJ Partial Recall
1	0	0.088477366255
1	1	0.239130434783
1	2	0.160194174758
2	0	0.180722891566
2	1	0.210402855686
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.793296089386
5	1	0.986111111111
5	2	0.0
6	0	0.501519367357
6	1	0.499984917954
6	2	0.342111479707
6	3	0.0
6	4	0.0
7	0	0.6
7	1	0.702702702703
8	0	0.0667847204656
8	1	0.0416666666667
9	0	0.0510948905109
9	1	0.0510948905109
10	0	0.0
10	1	0.872727272727
10	2	0.0
11	0	0.177095631641
11	1	0.585032437442
12	0	0.583333333333
12	1	1.0
13	0	0.00499869825566
13	1	0.0
14	0	0.00120059397807
14	1	0.451154013645
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.00324587503381
17	1	0.00324587503381
18	0	0.00277328403051
18	1	0.00277328403051
19	0	0.0377906976744
19	1	0.215384615385
19	2	0.215384615385
20	0	0.443956496149
20	1	0.00599895078264
21	0	0.200704225352
21	1	0.218390804598
22	0	0.738461538462
22	1	0.738461538462
23	0	5.41887937575e-05
23	1	6.77369098422e-05
24	0	0.0450958286359
24	1	0.0570125427594
25	0	1.0
25	1	1.0
26	0	0.240583232078
26	1	0.625
27	0	0.481012658228
27	1	0.481012658228
28	0	0.884615384615
28	1	0.463385209314
29	0	1.0
29	1	1.0
30	0	0.00559617967468
30	1	0.0055957621428
31	0	0.333333333333
31	1	0.333333333333
32	0	0.351851851852
32	1	0.351851851852
33	0	0.530532724505
33	1	0.771929824561
33	2	0.271495856001
33	3	0.6875
33	4	1.0
34	0	0.0
34	1	0.00193662800137
34	2	0.0019366611537
34	3	0.00199384142888
35	0	1.0
35	1	1.0
36	0	0.141689373297
36	1	0.224137931034
37	0	0.446808510638
37	1	0.7
38	0	0.428571428571
38	1	0.229508196721
38	2	0.661290322581
39	0	0.963636363636
39	1	0.111814345992
39	2	0.111814345992
39	3	0.122119815668
40	0	0.00312798679294
40	1	0.467532467532
40	2	0.00312798679294
41	0	0.341049591625
41	1	0.5625
42	0	0.0
42	1	0.0
42	2	0.0
43	0	0.0
43	1	0.00591304347826
43	2	0.00591304347826
44	0	0.0144878932189
44	1	0.018175698418
45	0	0.138888888889
45	1	0.138888888889
46	0	0.0182602878771
46	1	0.0227743271222
47	0	0.00261054005547
47	1	0.025987756062
48	0	0.00629373088147
48	1	0.314085949135
48	2	0.569816449903
49	0	0.000316756414317
49	1	0.000316656111463
50	0	0.0588235294118
50	1	0.0441176470588
51	0	0.01171875
51	1	0.00287732147528
51	2	1.0
52	0	0.0526315789474
52	1	0.0714285714286
53	0	0.130434782609
53	1	0.0
54	0	0.0186567164179
54	1	0.0186393289842
55	0	0.0
55	1	0.00387328814497
55	2	1.0
56	0	0.160714285714
56	1	0.160714285714
57	0	0.555555555556
57	1	0.0666666666667
58	0	0.128292849812
58	1	0.161685319289
59	0	0.000710732054016
59	1	0.000710732054016
60	0	0.833333333334
60	1	0.119402985075
61	0	0.941176470588
61	1	0.941176470588
62	0	0.0125223613596
62	1	0.0125
63	0	1.0
63	1	0.0177388328082
64	0	0.00336506894288
64	1	0.00395028422777
65	0	0.0019116875328
65	1	0.00353234520017
65	2	0.00780652074085
65	3	0.0
66	0	0.18
66	1	0.18
67	0	0.00224712543046
67	1	0.00224712543046
68	0	0.00392052628082
68	1	0.00392052628082
69	0	0.25
69	1	0.25
70	0	0.265957446809
70	1	0.00362631669832
70	2	0.00236859914279
70	3	0.00963762528913
71	0	1.0
71	1	0.003436651718
71	2	0.00278076254049
72	0	0.00284090909091
72	1	0.00202839756592
73	0	0.0659340659341
73	1	0.0486257928118
74	0	1.0
74	1	1.0
75	0	0.540275761974
75	1	0.716216216216
76	0	0.0718437478082
76	1	0.0718449042433
77	0	0.0080612656187
77	1	0.288495575221
78	0	1.0
78	1	1.0
79	0	0.0020254873829
79	1	0.0020254873829
80	0	1.0
80	1	1.0
81	0	0.394919168591
81	1	0.606382978723
82	0	0.560496886395
82	1	0.341665734964
82	2	0.504155946962
83	0	0.287288135593
83	1	0.423714759535
84	0	1.0
84	1	1.0
85	0	0.00862068965517
85	1	0.00881261595547
85	2	0.740740740741
86	0	0.139072847682
86	1	0.139072847682
87	0	1.0
87	1	1.0
88	0	1.0
88	1	0.571428571429
89	0	1.0
89	1	1.0
90	0	0.00114311842707
90	1	0.00109754424475
91	0	0.000598981731057
91	1	0.201728363214
92	0	0.504181600956
92	1	0.94918699187
93	0	1.0
93	1	1.0
94	0	0.00887648998225
94	1	0.00887648998225
94	2	0.0
95	0	0.506493506494
95	1	0.609375
96	0	1.0
96	1	1.0
97	0	0.00212879191059
97	1	0.00212822559191
98	0	0.0
98	1	0.0139914496696
98	2	0.0
99	0	1.0
99	1	1.0
100	0	0.693181818182
100	1	0.10183639399
101	0	0.24358974359
101	1	0.24358974359
102	0	0.0121956531208
102	1	0.0196001568013
102	2	1.0
103	0	0.0
103	1	0.0
104	0	1.0
104	1	0.553370786517
105	0	0.0
105	1	0.0
106	0	0.00492348636061
106	1	0.00411248193842
107	0	0.65625
107	1	1.0
108	0	0.0
108	1	0.002476532854
109	0	1.0
109	1	1.0
110	0	0.41935483871
110	1	0.41935483871
110	2	0.0459363957597
111	0	0.0018948893719
111	1	0.0844196151459
112	0	0.504337841286
112	1	0.212719298246
113	0	0.0
113	1	0.0
114	0	1.0
114	1	1.0
115	0	0.474463012449
115	1	0.0498045029295
115	2	0.416659421125
115	3	0.0
116	0	0.00224430907342
116	1	0.0112739808464
117	0	0.149163518618
117	1	0.0659971305596
118	0	1.0
118	1	1.0
119	0	0.0967741935484
119	1	0.133333333333
120	0	0.897058823529
120	1	0.54954954955
121	0	0.969696969697
121	1	0.969696969697
122	0	0.00222858962114
122	1	0.002227880331
123	0	0.814285714286
123	1	0.018981018981
124	0	0.0757097791798
124	1	0.137254901961
125	0	0.0348407775102
125	1	0.24329995704
125	2	0.0
126	0	0.0
126	1	0.0
127	0	0.00434588812124
127	1	1.0
127	2	0.1240063593
128	0	0.0
128	1	0.0
129	0	0.205410661704
129	1	0.235978746929
130	0	0.213197969543
130	1	0.212289615751
131	0	0.00147156661489
131	1	0.00551896303088
132	0	0.706666666667
132	1	0.719457013575
133	0	0.11493635357
133	1	0.11493635357
134	0	0.746666666667
134	1	0.746666666667
134	2	1.0
135	0	0.517857142857
135	1	0.517857142857
136	0	1.0
136	1	1.0
137	0	1.0
137	1	1.0
137	2	0.0
138	0	1.0
138	1	1.0
139	0	0.581395348837
139	1	1.0
140	0	0.0
140	1	0.0
141	0	0.0057171265225
141	1	0.00546577946768
142	0	0.0247026532479
142	1	1.0
142	2	0.0247026532479
143	0	0.884057971014
143	1	0.884057971014
144	0	0.0531400966184
144	1	0.0528846153846
145	0	0.210526315789
145	1	0.210526315789
145	2	0.210526315789
145	3	0.210526315789
146	0	0.0386295700161
146	1	0.0366772186443
147	0	1.0
147	1	1.0
148	0	0.0192307692308
148	1	0.00766283524904
148	2	0.0192307692308
149	0	1.0
149	1	1.0
150	0	0.0
150	1	0.0
150	2	0.0
150	3	0.0
151	0	0.0275229357798
151	1	0.037037037037
152	0	0.0
152	1	0.0
153	0	0.868421052632
153	1	0.868421052632
154	0	0.367647058824
154	1	0.367647058824
155	0	0.00233093606981
155	1	0.284158047146
156	0	1.0
156	1	1.0
157	0	1.0
157	1	1.0
158	0	0.574468085106
158	1	1.0
159	0	0.00877192982456
159	1	0.00878048780488
160	0	0.814285714286
160	1	0.018981018981
161	0	0.0327868852459
161	1	0.2
162	0	1.0
162	1	1.0
163	0	0.8
163	1	1.0
164	0	0.00879299816813
164	1	0.0110154624454
165	0	0.0523736182012
165	1	0.022362129668
166	0	0.476821192053
166	1	0.0
166	2	0.0
167	0	0.00723859887953
167	1	0.00723335909144
168	0	0.0485436893204
168	1	0.0
169	0	0.511545730955
169	1	0.581395348837
170	0	1.0
170	1	1.0
170	2	1.0
171	0	0.127659574468
171	1	0.0927835051546
172	0	0.0
172	1	0.0
173	0	0.520833333333
173	1	0.520833333333
174	0	1.0
174	1	1.0
175	0	0.253189129229
175	1	0.431996009851
176	0	0.0833333333333
176	1	0.0833333333333
177	0	1.0
177	1	1.0
178	0	0.22997002997
178	1	0.0777062868002
179	0	0.333333333333
179	1	0.333333333333
180	0	1.0
180	1	1.0
180	2	1.0
181	0	0.519451896129
181	1	0.0285306704708
181	2	0.644559585492
182	0	1.0
182	1	0.0188679245283
182	2	0.0
183	0	0.676056338028
183	1	0.642857142857
184	0	0.460784313725
184	1	0.460784313725
184	2	0.460784313725
184	3	0.35660091047
185	0	0.00361526820246
185	1	0.00361526820246
186	0	0.610119047619
186	1	0.139682539683
186	2	0.0833649109511
186	3	0.479728604729
187	0	0.0
187	1	0.0
188	0	1.0
188	1	0.424342105263
188	2	0.424342105263
189	0	0.00778868946834
189	1	0.243128964059
190	0	0.47619047619
190	1	0.394019138756
190	2	0.0842025079105
191	0	0.00229357798165
191	1	0.00229007633588
192	0	0.00239755884917
192	1	0.00119727891156
193	0	0.228070175439
193	1	0.228070175439
194	0	0.410256410256
194	1	0.279069767442
195	0	1.0
195	1	1.0
196	0	0.25378330373
196	1	0.00137041924678
196	2	0.595628415301
197	0	0.576923076923
197	1	0.952380952381
198	0	0.0101886792453
198	1	0.0105501130369
199	0	0.0126050420168
199	1	0.281862745098
200	0	0.385714285714
200	1	0.027027027027
201	0	0.6
201	1	0.333333333333
201	2	1.0
202	0	0.0
202	1	0.0
203	0	0.000133173525103
203	1	3.32911645249e-05
