Character Number	State Number	SimJ Partial Recall
1	0	0.785714285715
1	1	0.376623376624
1	2	0.785714285715
2	0	0.936170212766
2	1	0.718085106383
3	0	0.00523560209424
3	1	0.00523286237572
4	0	1.0
4	1	1.0
5	0	0.544066521378
5	1	0.544066521378
5	2	0.2
6	0	0.688772593641
6	1	0.387663307598
6	2	0.465430807912
6	3	0.248
6	4	0.0
7	0	0.359994549666
7	1	0.658536585366
8	0	1.0
8	1	0.963636363636
9	0	0.0571428571429
9	1	0.0363636363636
10	0	0.750692520776
10	1	0.461866212186
10	2	0.750692520776
11	0	1.0
11	1	0.636363636364
12	0	0.0217391304348
12	1	0.0217391304348
13	0	0.142857142857
13	1	0.143176733781
14	0	1.0
14	1	1.0
15	0	1.0
15	1	1.0
16	0	0.0102354145343
16	1	0.0102333196889
17	0	0.289232707318
17	1	0.289232707318
18	0	0.518078256563
18	1	0.743954480797
19	0	0.21875
19	1	0.21875
19	2	0.21875
20	0	1.0
20	1	1.0
21	0	0.128205128205
21	1	0.666900561347
22	0	1.0
22	1	0.558086560364
23	0	2.3456833562e-05
23	1	2.3456833562e-05
24	0	0.285714285714
24	1	0.333512601025
25	0	0.235294117647
25	1	0.235294117647
26	0	0.503475670308
26	1	0.503475670308
27	0	0.0822622107969
27	1	0.0822622107969
28	0	0.125
28	1	0.114897403685
29	0	0.761904761905
29	1	0.761904761905
30	0	0.4274474274
30	1	0.427427045585
31	0	0.122807017544
31	1	0.122093023256
32	0	0.543859649123
32	1	0.543859649123
33	0	0.555555555555
33	1	1.0
33	2	0.904761904762
33	3	0.785714285715
33	4	1.0
34	0	0.85918137439
34	1	0.859184959271
34	2	0.859188544153
34	3	0.812463101789
35	0	0.462686567164
35	1	0.462686567164
36	0	0.167115902965
36	1	0.322916666667
37	0	0.389805097451
37	1	0.389805097451
38	0	0.681818181818
38	1	1.0
38	2	0.173333333333
39	0	0.011396011396
39	1	0.037558685446
39	2	0.0398009950249
39	3	0.0398009950249
40	0	0.41884077104
40	1	0.833333333333
40	2	0.41884077104
41	0	0.0828070557493
41	1	1.0
42	0	0.334600760456
42	1	0.365448504983
42	2	0.334600760456
43	0	0.175983436853
43	1	0.0059500198334
43	2	0.0059500198334
44	0	0.368948787062
44	1	0.508016627078
45	0	0.277777777778
45	1	0.277777777778
46	0	0.029282772291
46	1	0.0292816205258
47	0	0.691622953426
47	1	0.566346566519
48	0	0.164983164983
48	1	0.663080571884
48	2	0.587469295392
49	0	0.0131353512279
49	1	0.0131316014844
50	0	0.0909090909091
50	1	0.0909090909091
51	0	0.0106299212598
51	1	0.0106299212598
51	2	1.0
52	0	0.945454545455
52	1	0.945454545455
53	0	0.75
53	1	0.375
54	0	0.0147058823529
54	1	0.0146923783287
55	0	0.00397914379802
55	1	0.00397914379802
55	2	1.0
56	0	1.0
56	1	1.0
57	0	0.918918918919
57	1	0.41975308642
58	0	0.047619047619
58	1	0.0606060606061
59	0	0.426013513514
59	1	1.0
60	0	0.340909090909
60	1	0.46875
61	0	1.0
61	1	1.0
62	0	0.267412664289
62	1	0.381548154816
63	0	0.847826086957
63	1	0.846178451585
64	0	0.0707745646024
64	1	0.117446436548
65	0	0.00193675742113
65	1	0.00400153905348
65	2	0.00785024154589
65	3	0.0
66	0	0.305555555556
66	1	0.305555555556
67	0	0.666666666667
67	1	1.0
68	0	0.00240069838498
68	1	0.00171379605827
69	0	0.142857142857
69	1	0.142857142857
70	0	0.980769230769
70	1	0.0694690265487
70	2	0.352395284675
70	3	0.141274238227
71	0	0.176470588235
71	1	0.000653325921258
71	2	0.00147953781333
72	0	0.0574712643678
72	1	0.0453857791225
73	0	0.10625
73	1	0.0776255707763
74	0	0.666666666667
74	1	0.666666666667
75	0	0.980392156863
75	1	0.980392156863
76	0	0.0377940240043
76	1	0.0377954528613
77	0	0.00886824324324
77	1	0.590909090909
78	0	1.0
78	1	1.0
79	0	0.00311238223419
79	1	0.00311238223419
80	0	1.0
80	1	1.0
81	0	0.966666666667
81	1	0.966666666667
82	0	1.0
82	1	1.0
82	2	0.833333333334
83	0	0.690425531915
83	1	0.690425531915
84	0	1.0
84	1	1.0
85	0	0.788954635108
85	1	0.696911083758
85	2	0.833333333333
86	0	0.000125770343353
86	1	0.000125770343353
87	0	0.777777777778
87	1	0.777777777778
88	0	1.0
88	1	1.0
89	0	0.970588235294
89	1	0.970588235294
90	0	0.00124126517102
90	1	0.00124126517102
91	0	1.0
91	1	1.0
92	0	0.561981539899
92	1	0.415858725762
93	0	0.583333333333
93	1	0.583333333333
94	0	0.974689951911
94	1	0.974689951911
94	2	1.0
95	0	0.274509803922
95	1	0.274509803922
96	0	1.0
96	1	1.0
97	0	0.0138319672131
97	1	0.013828425096
98	0	1.0
98	1	0.25
98	2	0.851851851852
99	0	0.561403508772
99	1	0.561403508772
100	0	0.842105263158
100	1	0.842105263158
101	0	0.0793650793651
101	1	0.0719424460432
102	0	0.583333333334
102	1	1.0
102	2	1.0
103	0	0.00899393432336
103	1	0.00899205353409
104	0	1.0
104	1	0.589085072231
105	0	0.667709730294
105	1	0.667709730294
106	0	0.00492086713659
106	1	0.00411065437174
107	0	0.106060606061
107	1	0.25974025974
108	0	0.325682063772
108	1	0.325682063772
109	0	0.614035087719
109	1	0.614035087719
110	0	1.0
110	1	1.0
110	2	1.0
111	0	0.624318212053
111	1	0.624318212053
112	0	0.162681573364
112	1	0.0548652181865
113	0	0.0562082682328
113	1	0.0562082682328
114	0	0.318181818182
114	1	0.277044854881
115	0	0.221255266309
115	1	0.505392794309
115	2	0.3404615672
115	3	0.0
116	0	0.196461429582
116	1	0.250787603126
117	0	0.322513403601
117	1	0.567915970398
118	0	1.0
118	1	1.0
119	0	1.0
119	1	1.0
120	0	0.59793814433
120	1	0.59793814433
121	0	1.0
121	1	0.715859030837
122	0	0.0139751552795
122	1	0.0139751552795
123	0	0.312391749331
123	1	0.551724137931
124	0	0.21875
124	1	0.21875
125	0	0.120832937889
125	1	0.0910731983624
125	2	0.225790594789
126	0	1.0
126	1	1.0
127	0	0.127651491167
127	1	0.328311929644
127	2	0.360601001669
128	0	1.0
128	1	1.0
129	0	0.181406291886
129	1	0.225325812099
130	0	0.0246685168054
130	1	0.0408146294815
131	0	0.0248192086692
131	1	0.0217277315331
132	0	0.274725274725
132	1	0.165562913907
133	0	0.636384976526
133	1	0.636384976526
134	0	0.949152542373
134	1	0.949152542373
134	2	0.965517241379
135	0	0.688524590164
135	1	0.688524590164
136	0	0.62
136	1	0.62
137	0	1.0
137	1	1.0
137	2	0.75
138	0	1.0
138	1	1.0
139	0	0.109649122807
139	1	0.109170305677
140	0	0.00943630494164
140	1	0.00943396226415
141	0	0.0460652591171
141	1	0.045197740113
142	0	0.512053571429
142	1	1.0
142	2	0.512053571429
143	0	0.710843373494
143	1	0.710843373494
144	0	0.0531400966184
144	1	0.0528846153846
145	0	0.628205128205
145	1	0.628205128205
145	2	0.628205128205
145	3	0.628205128205
146	0	0.0260869565217
146	1	0.0336184016514
147	0	0.909090909091
147	1	0.909090909091
148	0	0.385474860335
148	1	0.349544072948
148	2	0.254612546125
149	0	1.0
149	1	1.0
150	0	0.0
150	1	0.0
150	2	0.0
150	3	0.0
151	0	0.862068965517
151	1	0.862068965517
152	0	0.525096525096
152	1	0.525096525096
153	0	0.607368421052
153	1	0.607368421052
154	0	0.870967741935
154	1	0.870967741935
155	0	0.00239200387277
155	1	1.0
156	0	0.207317073171
156	1	0.207317073171
157	0	1.0
157	1	1.0
158	0	0.64
158	1	0.64
159	0	0.0539736506587
159	1	0.0539965986395
160	0	0.310344827586
160	1	0.310344827586
161	0	1.0
161	1	1.0
162	0	0.903225806452
162	1	0.903225806452
163	0	0.213235294118
163	1	0.25
164	0	0.666689352435
164	1	1.0
165	0	0.673704146731
165	1	0.673704146731
166	0	0.707317073171
166	1	0.727272727273
166	2	0.619047619048
167	0	0.0129171932829
167	1	0.0129079235812
168	0	0.927272727273
168	1	0.00700485303544
169	0	0.364864864865
169	1	0.669421487603
170	0	0.925925925926
170	1	0.714285714286
170	2	0.714285714286
171	0	0.285714285714
171	1	0.285714285714
172	0	0.47403829567
172	1	0.191605076001
173	0	1.0
173	1	1.0
174	0	1.0
174	1	1.0
175	0	0.0756334692569
175	1	0.075580964794
176	0	0.206896551724
176	1	0.206896551724
177	0	1.0
177	1	1.0
178	0	0.636363636364
178	1	0.319723684429
179	0	0.92
179	1	0.92
180	0	0.857142857143
180	1	0.857142857143
180	2	0.857142857143
181	0	0.0261080328769
181	1	0.0347222222222
181	2	0.031007751938
182	0	0.944444444444
182	1	0.944444444444
182	2	0.0199947726085
183	0	0.273764258555
183	1	0.272727272727
184	0	0.456310679612
184	1	0.456310679612
184	2	0.456310679612
184	3	0.353383458647
185	0	0.00361405278198
185	1	0.00361405278198
186	0	0.477331595689
