Character Number	State Number	SimJ Partial Recall
1	0	0.483333333334
1	1	0.505555555556
1	2	0.505555555556
2	0	0.396226415094
2	1	0.332642355529
3	0	0.0729734191844
3	1	0.0729613733906
4	0	0.0178471834914
4	1	0.333830104322
5	0	0.986301369863
5	1	0.986301369863
5	2	0.666666666667
6	0	0.486873790908
6	1	0.351262731289
6	2	0.430767316643
6	3	0.0
6	4	0.0
7	0	0.306435137896
7	1	0.545454545455
8	0	0.981818181818
8	1	0.486111111111
9	0	0.0350877192982
9	1	0.0350877192982
10	0	1.0
10	1	1.0
10	2	1.0
11	0	0.733118971061
11	1	0.592637396523
12	0	0.896551724138
12	1	0.896551724138
13	0	0.142857142857
13	1	0.143176733781
14	0	0.666666666667
14	1	1.0
15	0	1.0
15	1	1.0
16	0	0.221772754313
16	1	0.221746371639
17	0	0.325569059715
17	1	0.325569059715
18	0	0.583054626533
18	1	0.853181076672
19	0	0.25
19	1	0.142857142857
19	2	1.0
20	0	0.637175855306
20	1	0.637175855306
21	0	0.142857142857
21	1	0.128181444991
22	0	1.0
22	1	1.0
23	0	0.344060783785
23	1	0.344060783785
24	0	0.2748438751
24	1	0.314193171826
25	0	0.190476190476
25	1	0.190476190476
26	0	0.669749009247
26	1	0.430426709674
27	0	0.0822622107969
27	1	0.0822622107969
28	0	0.0140186915888
28	1	0.0212283840191
29	0	0.37037037037
29	1	0.37037037037
30	0	1.0
30	1	1.0
31	0	0.241935483871
31	1	0.32
32	0	0.543859649123
32	1	0.543859649123
33	0	0.549783549783
33	1	1.0
33	2	0.807692307692
33	3	0.785714285715
33	4	1.0
34	0	0.172726857977
34	1	0.673938977105
34	2	0.826705829191
34	3	0.639647682106
35	0	0.462686567164
35	1	0.462686567164
36	0	0.212264150943
36	1	0.46875
37	0	0.0696898821899
37	1	0.436415094339
38	0	0.789473684211
38	1	1.0
38	2	0.913793103448
39	0	0.361111111111
39	1	0.288888888889
39	2	0.0966542750929
39	3	0.47816091954
40	0	0.429076948523
40	1	0.921568627451
40	2	0.429076948523
41	0	0.577586206896
41	1	0.5625
42	0	1.0
42	1	0.555555555556
42	2	1.0
43	0	0.0131048876377
43	1	0.392441860465
43	2	0.392441860465
44	0	0.168527116467
44	1	0.563780568407
45	0	1.0
45	1	1.0
46	0	0.0317150511181
46	1	0.0317139781034
47	0	0.00242245966172
47	1	0.112636380584
48	0	0.222940226171
48	1	0.81726727519
48	2	0.671238017091
49	0	0.0130311614731
49	1	0.0130274709714
50	0	0.0344827586207
50	1	0.0344827586207
51	0	0.749107142857
51	1	0.749107142857
51	2	0.95652173913
52	0	0.945454545455
52	1	0.945454545455
53	0	1.0
53	1	1.0
54	0	0.0194624652456
54	1	0.0194444444444
55	0	0.00396174863388
55	1	0.00395958492627
55	2	0.56862745098
56	0	1.0
56	1	1.0
57	0	1.0
57	1	0.363636363636
58	0	0.0349075975359
58	1	0.0369565217391
59	0	0.426013513514
59	1	1.0
60	0	0.833333333334
60	1	0.384615384615
61	0	1.0
61	1	1.0
62	0	0.13265454752
62	1	0.132704913557
63	0	1.0
63	1	0.833333333334
64	0	0.177964693721
64	1	0.17319071499
65	0	0.666666666667
65	1	0.666666666667
65	2	0.0108434991138
65	3	0.0
66	0	0.00314030900641
66	1	0.00262357015427
67	0	0.600069926577
67	1	0.882473923902
68	0	0.00157995096704
68	1	0.00112836076417
69	0	0.133333333333
69	1	0.133333333333
70	0	0.202702702703
70	1	0.0335506439816
70	2	0.113257533944
70	3	0.0439882697947
71	0	0.194444444444
71	1	0.00638343284003
71	2	0.134043045487
72	0	0.914040114613
72	1	0.914285714286
73	0	0.615384615385
73	1	0.789968652038
74	0	1.0
74	1	1.0
75	0	0.980392156863
75	1	0.980392156863
76	0	0.081474637418
76	1	0.052962476271
77	0	0.00886824324324
77	1	1.0
78	0	1.0
78	1	1.0
79	0	0.250013349709
79	1	1.0
80	0	1.0
80	1	1.0
81	0	0.966666666667
81	1	0.966666666667
82	0	0.504893031753
82	1	0.275310054328
82	2	0.504155946962
83	0	0.577872340425
83	1	0.577872340425
84	0	1.0
84	1	1.0
85	0	0.757575757576
85	1	0.669543877465
85	2	0.8
86	0	0.00398108982334
86	1	0.00398108982334
87	0	0.184210526316
87	1	0.184210526316
88	0	1.0
88	1	1.0
89	0	0.970588235294
89	1	0.970588235294
90	0	0.186001489203
90	1	0.186001489203
91	0	1.0
91	1	1.0
92	0	0.694989106754
92	1	0.122189611631
93	0	1.0
93	1	1.0
94	0	0.782107152012
94	1	0.782107152012
94	2	1.0
95	0	0.625
95	1	0.625
96	0	1.0
96	1	1.0
97	0	0.666965888689
97	1	0.666666666667
98	0	0.920152091255
98	1	0.621708413616
98	2	0.923076923077
99	0	0.491228070175
99	1	0.491228070175
100	0	0.077694235589
100	1	0.102819237148
101	0	0.0806451612903
101	1	0.0696864111498
102	0	0.528846153846
102	1	1.0
102	2	1.0
103	0	0.00899393432336
103	1	0.00899205353409
104	0	1.0
104	1	0.692513368984
105	0	0.00476119625056
105	1	0.00470173376433
106	0	0.00502512562814
106	1	0.00821532807264
107	0	0.272727272727
107	1	0.142857142857
108	0	0.00574859162033
108	1	0.00522486680778
109	0	1.0
109	1	1.0
110	0	0.92
110	1	0.92
110	2	0.92
111	0	0.241582810017
111	1	0.321389028686
112	0	0.347745354751
112	1	0.0974648760673
113	0	0.00289894967089
113	1	0.00289894967089
114	0	0.428571428571
114	1	0.375
115	0	0.366438298354
115	1	0.255431851452
115	2	0.3404615672
115	3	0.00329464619993
116	0	0.0103415857098
116	1	0.00950263848368
117	0	0.34049241642
117	1	0.807952947194
118	0	1.0
118	1	1.0
119	0	0.00373308446104
119	1	0.00373308446104
120	0	0.756097560976
120	1	0.756097560976
121	0	0.632352941176
121	1	0.632352941176
122	0	0.0111627906977
122	1	0.0111627906977
123	0	0.217657342657
123	1	0.204545454545
124	0	0.137254901961
124	1	0.137254901961
125	0	0.215748664295
125	1	0.341785364771
125	2	0.0126998273269
126	0	1.0
126	1	1.0
127	0	0.00288653689587
127	1	0.637073266277
127	2	0.242236024845
128	0	1.0
128	1	1.0
129	0	0.226522371252
129	1	0.468091306459
130	0	0.00922509225092
130	1	0.0254255548373
131	0	0.0342377863397
131	1	0.0332715731265
132	0	0.265957446809
132	1	0.265957446809
133	0	0.401163036404
133	1	1.0
134	0	0.861538461538
134	1	0.861538461538
134	2	0.875
135	0	0.807692307692
135	1	0.807692307692
136	0	1.0
136	1	1.0
137	0	1.0
137	1	1.0
137	2	0.0109874222929
138	0	0.964285714286
138	1	0.964285714286
139	0	0.892857142857
139	1	0.892857142857
140	0	0.00948340404292
140	1	0.00948103792415
141	0	0.00758054327227
141	1	0.0110701107011
142	0	0.0231063955202
142	1	0.0444444444444
142	2	0.512053571429
143	0	1.0
143	1	1.0
144	0	0.153409090909
144	1	0.0888157894737
145	0	0.628205128205
145	1	0.628205128205
145	2	0.628205128205
145	3	0.628205128205
146	0	0.32436563742
146	1	0.330143912874
147	0	1.0
147	1	1.0
148	0	0.442307692308
148	1	0.442307692308
148	2	0.442307692308
149	0	1.0
149	1	1.0
150	0	0.0
150	1	0.0
150	2	0.0
150	3	0.0
151	0	0.896551724138
151	1	0.896551724138
152	0	0.525096525096
152	1	0.525096525096
153	0	0.607368421052
153	1	0.607368421052
154	0	0.870967741935
154	1	0.870967741935
155	0	0.00239200387277
155	1	0.501196001936
156	0	0.20987654321
156	1	0.20987654321
157	0	1.0
157	1	1.0
158	0	0.842105263158
158	1	0.842105263158
159	0	0.00692281066113
159	1	0.00692520775623
160	0	0.315789473684
160	1	0.315789473684
161	0	0.2
161	1	0.2
162	0	0.965517241379
162	1	0.965517241379
163	0	0.8
163	1	1.0
164	0	1.0
164	1	1.0
165	0	0.142816713257
165	1	0.142816713257
166	0	0.666666666667
166	1	1.0
166	2	1.0
167	0	0.972304283604
167	1	0.972324723247
168	0	0.166666666667
168	1	0.00209691388978
169	0	0.701624815362
169	1	0.979381443299
170	0	0.122549019608
170	1	0.122549019608
170	2	0.122549019608
171	0	0.034188034188
171	1	0.0427046263345
172	0	0.666666666667
172	1	0.00457556511644
173	0	1.0
173	1	1.0
174	0	1.0
174	1	1.0
175	0	0.236879164979
175	1	0.571428571429
176	0	0.225806451613
176	1	0.225806451613
177	0	1.0
177	1	1.0
178	0	0.475485188969
178	1	0.337540480089
179	0	0.92
179	1	0.92
180	0	1.0
180	1	1.0
180	2	1.0
181	0	0.833333333333
181	1	0.666929755328
181	2	0.780426599749
182	0	0.47619047619
