Character Number	State Number	SimJ Score	NIC Score
1	0	0.17695473251	0.820704497767
1	1	0.478260869565	0.750703327145
1	2	0.320388349515	0.730377333842
2	0	0.152542372881	0.568482878166
2	1	0.125326370757	0.546493191447
3	0	0	0
3	1	0	0
4	0	0	0
4	1	0	0
5	0	0.586592178771	0.833884290908
5	1	0.972222222222	0.851112934334
5	2	0.0	0.0
6	0	0.738095238095	0.796283708449
6	1	0.547703180212	0.843579525717
6	2	0.361448014073	0.836934588389
6	3	0.157826649418	0.720012382427
6	4	0	0
7	0	0.347368421053	0.828237906385
7	1	0.525	0.847220580016
8	0	0.118644067797	0.62452161483
8	1	0.267326732673	0.675637872114
9	0	0.0995260663507	0.551180687007
9	1	0.137254901961	0.595095850209
10	0	0.0	0.0
10	1	0.872727272727	0.87603970696
10	2	0.0	0.0
11	0	0.144241119483	0.695198443358
11	1	0.858974358974	0.882684644288
12	0	0.51724137931	0.851112934334
12	1	0.866666666667	0.890218052905
13	0	0.141592920354	0.830990489394
13	1	0	0
14	0	0.452380952381	0.702514446076
14	1	0.451154013645	0.847220580016
15	0	0	0
15	1	0	0
16	0	0	0
16	1	0	0
17	0	0.0035279025016	0.639294320833
17	1	0.0035279025016	0.639294320833
18	0	0.00324587503381	0.624449053069
18	1	0.00324587503381	0.624449053069
19	0	0.592476489028	0.909200726536
19	1	1.0	0.93801985348
19	2	1.0	0.93801985348
20	0	0.683193708326	0.85529386606
20	1	0.00353205097609	0.594923716555
21	0	0.0383064516129	0.652048698418
21	1	0.117021276596	0.812007815763
22	0	0.738461538462	0.840159280941
22	1	0.547945205479	0.810028077172
23	0	6.27244358721e-05	0.633814404003
23	1	7.84067743453e-05	0.718073471308
24	0	0.0220515270682	0.765369288575
24	1	0.0570125427594	0.851112934334
25	0	0.75	0.830990489394
25	1	0.75	0.890218052905
26	0	0.178282009724	0.806265565859
26	1	0.669749009247	0.851112934334
27	0	0.240963855422	0.921789762858
27	1	0.240963855422	0.921789762858
28	0	0.884615384615	0.787805273371
28	1	0.884615384615	0.787805273371
29	0	0.357142857143	0.607212776993
29	1	0.384615384615	0.595095850209
30	0	0.00437266791045	0.676726332126
30	1	0.00437241298898	0.676726332126
31	0	0.818181818182	0.898914734909
31	1	0.818181818182	0.898914734909
32	0	0.351851851852	0.833884290908
32	1	0.351851851852	0.847220580016
33	0	0.684931506849	0.847220580016
33	1	0.771929824561	0.766257759861
33	2	0.622950819672	0.864718516367
33	3	1.0	0.847220580016
33	4	1.0	0.847220580016
34	0	0.0	0.0
34	1	0.42	0.766257759861
34	2	0.415841584158	0.766257759861
34	3	0.42	0.766257759861
35	0	0.462686567164	0.782787144346
35	1	0.462686567164	0.804474407146
36	0	0.765957446809	0.909200726536
36	1	0.765957446809	0.890218052905
37	0	0.496402877698	0.776008991463
37	1	0.793103448276	0.796283708449
38	0	1.0	0.864718516367
38	1	0.945454545455	0.87603970696
38	2	0.614285714286	0.791885370824
39	0	0.119718309859	0.780436105806
39	1	0.118644067797	0.859809616338
39	2	0.118644067797	0.859809616338
39	3	0.118644067797	0.859809616338
40	0	0.00312798679294	0.55601228532
40	1	0.467532467532	0.85529386606
40	2	0.00312798679294	0.55601228532
41	0	0.562248995984	0.823105573348
41	1	1.0	0.859809616338
42	0	0.0	0.0
42	1	0.0	0.0
42	2	0.0	0.0
43	0	0.0	0.0
43	1	0.161943319838	0.639012001175
43	2	0.161943319838	0.639012001175
44	0	0.0176361826198	0.610230435328
44	1	0.0221428571429	0.648496419531
45	0	0.189189189189	0.782787144346
45	1	0.269230769231	0.816188747489
46	0	0.0225108225108	0.649845091576
46	1	0.0225108225108	0.649845091576
47	0	0.755102040816	0.823105573348
47	1	0.755102040816	0.823105573348
48	0	0.0	0.0
48	1	0.71875	0.818401453076
48	2	0.69696969697	0.818401453076
49	0	0.0152284263959	0.551180687007
49	1	0.0204081632653	0.595095850209
50	0	0.0434782608696	0.607212776993
50	1	0.0326086956522	0.551180687007
51	0	0.0138121546961	0.683738806658
51	1	0.150684931507	0.670654158711
51	2	1.0	0.85529386606
52	0	0.0526315789474	0.520500813811
52	1	0.0714285714286	0.555092833204
53	0	0.130434782609	0.663120750093
53	1	0	0
54	0	0.769230769231	0.859809616338
54	1	0.769230769231	0.843579525717
55	0	0.0	0.0
55	1	0.00387328814497	0.635729971865
55	2	1.0	0.825613397796
56	0	0.160714285714	0.62473986176
56	1	0.160714285714	0.655336041461
57	0	1.0	0.85529386606
57	1	0.0727272727273	0.723260286976
58	0	0.0909090909091	0.740758223327
58	1	0.125	0.808115461445
59	0	0.000710732054016	0.731333573015
59	1	0.000473709142586	0.683738806658
60	0	1.0	0.859809616338
60	1	0.107142857143	0.740758223327
61	0	0.941176470588	0.753489906401
61	1	0.941176470588	0.799418779441
62	0	0.00307827616535	0.68130317257
62	1	0.00307692307692	0.68130317257
63	0	1.0	0.864718516367
63	1	1.0	0.780436105806
64	0	0.566820276498	0.864718516367
64	1	0.0052601193149	0.723679744378
65	0	0.542553191489	0.772902697192
65	1	0.6375	0.772902697192
65	2	0.00724123242936	0.595268510668
65	3	0	0
66	0	0.000888212155818	0.383739231621
66	1	0.000888212155818	0.383739231621
67	0	0.00254410890108	0.609502467024
67	1	0.00254410890108	0.609502467024
68	0	0.468493150685	0.870095607965
68	1	0.74025974026	0.909200726536
69	0	0.0445205479452	0.466773626108
69	1	0.0412698412698	0.567602390629
70	0	0.252525252525	0.677463816625
70	1	0.252525252525	0.631384799088
70	2	0.00236859914279	0.487185557692
70	3	0.013691128149	0.554042211398
71	0	0.194444444444	0.663264854285
71	1	0.224489795918	0.625473510078
71	2	0.29	0.746135314925
72	0	0.00284090909091	0.509380495349
72	1	0.00202839756592	0.509380495349
73	0	0.0641711229947	0.607641803855
73	1	0.0511111111111	0.607641803855
74	0	1.0	0.840159280941
74	1	1.0	0.851112934334
75	0	0.240601503759	0.816188747489
75	1	1.0	0.859809616338
76	0	0.0318203088442	0.816188747489
76	1	0.065732237796	0.830990489394
77	0	0.904761904762	0.830990489394
77	1	0.4	0.859809616338
78	0	1.0	0.851112934334
78	1	1.0	0.851112934334
79	0	0.00202565833896	0.424461424579
79	1	0.0020254873829	0.424461424579
80	0	1.0	0.847220580016
80	1	1.0	0.847220580016
81	0	0.579545454545	0.828237906385
81	1	0.957746478873	0.85529386606
82	0	1.0	0.85529386606
82	1	1.0	0.790492293611
82	2	1.0	0.851112934334
83	0	0.0483870967742	0.638544585409
83	1	0.0655737704918	0.673005197247
84	0	1.0	0.847220580016
84	1	1.0	0.847220580016
85	0	0.5	0.851112934334
85	1	0.714285714286	0.851112934334
85	2	1.0	0.870095607965
86	0	0.00319359253815	0.614990944172
86	1	0.12148030951	0.859809616338
87	0	0.233333333333	0.696483618764
87	1	0.233333333333	0.719228803708
88	0	1.0	0.851112934334
88	1	1.0	0.851112934334
89	0	0.3	0.859809616338
89	1	0.3	0.859809616338
90	0	0.00255904462334	0.509380495349
90	1	0.00250613202517	0.467084756907
91	0	0.00033383408446	0.413085061454
91	1	0.201728363214	0.836934588389
92	0	0.740740740741	0.859809616338
92	1	0.218883157659	0.864718516367
93	0	1.0	0.85529386606
93	1	1.0	0.85529386606
94	0	0.00887648998225	0.654836774833
94	1	0.00887648998225	0.654836774833
94	2	0.0	0.0
95	0	0.506493506494	0.836934588389
95	1	0.609375	0.836934588389
96	0	1.0	0.85529386606
