Character Number	State Number	SimJ Score	NIC Score
1	0	1.0	0.909200726536
1	1	1.0	0.960894881429
1	2	1.0	0.921789762858
2	0	1.0	0.864718516367
2	1	1.0	0.960894881429
3	0	1.0	0.960894881429
3	1	1.0	0.960894881429
4	0	0.7533632287	0.816188747489
4	1	0.7533632287	0.816188747489
5	0	0.0116279069767	0.607212776993
5	1	0.0116279069767	0.595095850209
5	2	0.234375	0.85529386606
6	0	1.0	0.93801985348
6	1	1.0	0.960894881429
6	2	1.0	0.93801985348
6	3	0.0106857780448	0.56691822377
6	4	0.00602300351947	0.563616571206
7	0	0.96875	0.93801985348
7	1	0.96875	0.93801985348
8	0	1.0	0.921789762858
8	1	1.0	0.909200726536
9	0	0.335403726708	0.759513409712
9	1	0.224066390041	0.759513409712
10	0	1.0	0.898914734909
10	1	0.571428571429	0.836934588389
10	2	1.0	0.898914734909
11	0	1.0	0.882684644288
11	1	1.0	0.960894881429
12	0	0.0294117647059	0.607212776993
12	1	0.0294117647059	0.595095850209
13	0	0.984615384615	0.909200726536
13	1	0.984615384615	0.909200726536
14	0	1.0	0.909200726536
14	1	1.0	0.890218052905
15	0	0.75	0.909200726536
15	1	0.75	0.898914734909
16	0	0.168674698795	0.741909625749
16	1	0.168674698795	0.718841058125
17	0	1.0	0.960894881429
17	1	1.0	0.93801985348
18	0	1.0	0.960894881429
18	1	1.0	0.93801985348
19	0	0.142857142857	0.87603970696
19	1	0.142857142857	0.87603970696
19	2	1.0	0.909200726536
20	0	0.00857731015554	0.594923716555
20	1	0.00857731015554	0.594923716555
21	0	0.972222222222	0.921789762858
21	1	0.972222222222	0.93801985348
22	0	1.0	0.898914734909
22	1	0.334242837653	0.810028077172
23	0	0.583333333333	0.960894881429
23	1	0.583333333333	0.960894881429
24	0	0.942041712404	0.921789762858
24	1	0.942041712404	0.898914734909
25	0	0.508196721311	0.898914734909
25	1	0.508196721311	0.898914734909
26	0	1.0	0.960894881429
26	1	1.0	0.864718516367
27	0	0.244755244755	0.80105416237
27	1	0.341463414634	0.80105416237
28	0	0.0191387559809	0.93801985348
28	1	0.0119225037258	0.546493191447
29	0	0.137931034483	0.607212776993
29	1	0.137931034483	0.595095850209
30	0	1.0	0.960894881429
30	1	1.0	0.960894881429
31	0	0.666666666667	0.718455959286
31	1	0.666666666667	0.690331914163
32	0	0.543859649123	0.898914734909
32	1	0.543859649123	0.898914734909
33	0	1.0	0.890218052905
33	1	0.222222222222	0.789132787814
33	2	1.0	0.960894881429
33	3	1.0	0.847220580016
33	4	1.0	0.847220580016
34	0	0.666666666667	0.909200726536
34	1	0.666666666667	0.909200726536
34	2	0.666666666667	0.909200726536
34	3	0.666666666667	0.960894881429
35	0	1.0	0.898914734909
35	1	1.0	0.898914734909
36	0	0.284946236559	0.859809616338
36	1	0.576086956522	0.960894881429
37	0	1.0	0.921789762858
37	1	1.0	0.921789762858
38	0	0.444444444444	0.864718516367
38	1	0.5	0.802738369847
38	2	0.564102564103	0.833884290908
39	0	0.111111111111	0.607212776993
39	1	0.0666666666667	0.631961746884
39	2	0.111111111111	0.851112934334
39	3	0.111111111111	0.851112934334
40	0	0.959200326397	0.960894881429
40	1	0.00659567159052	0.68940702852
40	2	0.959200326397	0.960894881429
41	0	0.972972972973	0.93801985348
41	1	0.109756097561	0.864718516367
42	0	0.5	0.898914734909
42	1	1.0	0.960894881429
42	2	0.5	0.898914734909
43	0	0.194989948972	0.960894881429
43	1	0.194989948972	0.960894881429
43	2	0.194989948972	0.960894881429
44	0	0.00363636363636	0.579103304194
44	1	0.00303903997506	0.579103304194
45	0	1.0	0.93801985348
45	1	1.0	0.921789762858
46	0	0.0987261146497	0.851112934334
46	1	0.0987261146497	0.851112934334
47	0	0.666666666667	0.898914734909
47	1	0.666666666667	0.93801985348
48	0	0.964912280702	0.93801985348
48	1	0.78125	0.909200726536
48	2	0.666056006281	0.864718516367
49	0	0.40625	0.87603970696
49	1	0.40625	0.777083628918
50	0	0.0105263157895	0.607212776993
50	1	0.0105263157895	0.595095850209
51	0	0.0124401032068	0.683738806658
51	1	0.0124401032068	0.683738806658
51	2	1.0	0.85529386606
52	0	0.197183098592	0.737978510347
52	1	0.197183098592	0.695453146997
53	0	0.75	0.851112934334
53	1	1.0	0.960894881429
54	0	0.0588235294118	0.607212776993
54	1	0.0588235294118	0.595095850209
55	0	0.00397914379802	0.635729971865
55	1	0.00397914379802	0.635729971865
55	2	1.0	0.825613397796
56	0	1.0	0.870095607965
56	1	1.0	0.87603970696
57	0	1.0	0.960894881429
57	1	0.444444444444	0.921789762858
58	0	0.0322580645161	0.551180687007
58	1	0.0322580645161	0.551180687007
59	0	1.0	0.93801985348
59	1	1.0	0.909200726536
60	0	0.46875	0.806265565859
60	1	0.46875	0.806265565859
61	0	1.0	0.840159280941
61	1	1.0	0.830990489394
62	0	0.00313199105145	0.525281404968
62	1	0.00313199105145	0.525281404968
63	0	0.847826086957	0.85529386606
63	1	0.847826086957	0.921789762858
64	0	0.329096530402	0.960894881429
64	1	0.329096530402	0.960894881429
65	0	0.0016172171425	0.595268510668
65	1	0.00400153905348	0.595268510668
65	2	0.00400030771598	0.595268510668
65	3	0	0
66	0	0.228915662651	0.777083628918
66	1	0.228915662651	0.750027669243
67	0	1.0	0.960894881429
67	1	1.0	0.921789762858
68	0	0.458333333333	0.960894881429
68	1	0.458333333333	0.870095607965
69	0	0.0801886792453	0.735329349474
69	1	0.0801886792453	0.735329349474
70	0	0.980769230769	0.909200726536
70	1	0.980769230769	0.909200726536
70	2	0.980769230769	0.890218052905
70	3	0.980769230769	0.921789762858
71	0	0.0689655172414	0.607212776993
71	1	0.0082135523614	0.509380495349
71	2	0.00137066771098	0.509380495349
72	0	0.326086956522	0.810028077172
72	1	0.326086956522	0.843579525717
73	0	0.373134328358	0.766257759861
73	1	0.373134328358	0.797829469818
74	0	0.666666666667	0.750703327145
74	1	0.666666666667	0.810028077172
75	0	0.960784313725	0.851112934334
75	1	0.960784313725	0.847220580016
76	0	0.136686811234	0.909200726536
76	1	0.176903611686	0.93801985348
77	0	0.333333333333	0.796283708449
77	1	1.0	0.833884290908
78	0	1.0	0.851112934334
78	1	1.0	0.851112934334
79	0	0.00345213659265	0.533867745471
79	1	0.00345213659265	0.533867745471
80	0	1.0	0.847220580016
80	1	1.0	0.847220580016
81	0	1.0	0.909200726536
81	1	1.0	0.898914734909
82	0	1.0	0.909200726536
82	1	1.0	0.909200726536
82	2	1.0	0.960894881429
83	0	0.7	0.921789762858
83	1	0.7	0.921789762858
84	0	1.0	0.847220580016
84	1	1.0	0.847220580016
85	0	0.907029478458	0.909200726536
85	1	0.907029478458	0.859809616338
85	2	0.952380952381	0.847220580016
86	0	0.0289855072464	0.607212776993
86	1	0.0289855072464	0.595095850209
87	0	1.0	0.921789762858
87	1	1.0	0.921789762858
88	0	1.0	0.851112934334
88	1	1.0	0.851112934334
89	0	1.0	0.882684644288
89	1	1.0	0.882684644288
90	0	1.0	0.960894881429
90	1	1.0	0.960894881429
91	0	1.0	0.909200726536
91	1	1.0	0.898914734909
92	0	1.0	0.960894881429
92	1	0.571428571429	0.93801985348
93	0	1.0	0.898914734909
93	1	1.0	0.898914734909
94	0	1.0	0.960894881429
94	1	1.0	0.960894881429
94	2	1.0	0.898914734909
95	0	0.179487179487	0.677463816625
95	1	0.179487179487	0.625032177233
96	0	1.0	0.85529386606
96	1	1.0	0.85529386606
97	0	0.794117647059	0.836934588389
97	1	0.794117647059	0.836934588389
98	0	1.0	0.898914734909
98	1	0.22453928225	0.85529386606
98	2	1.0	0.960894881429
99	0	0.561403508772	0.812007815763
99	1	0.561403508772	0.812007815763
100	0	0.648351648352	0.784000454777
100	1	0.648351648352	0.93801985348
101	0	0.0810126582278	0.614624203375
101	1	0.0810126582278	0.614624203375
102	0	0.5	0.85529386606
102	1	1.0	0.882684644288
102	2	1.0	0.851112934334
103	0	0.161290322581	0.628041784661
103	1	0.161290322581	0.595095850209
104	0	1.0	0.851112934334
104	1	1.0	0.93801985348
105	0	0.575218855219	0.93801985348
105	1	0.575218855219	0.93801985348
106	0	0.00545722713864	0.674218507678
106	1	0.00545722713864	0.674218507678
107	0	0.4	0.87603970696
107	1	0.4	0.898914734909
108	0	0.0027868852459	0.697798754321
108	1	0.00290697674419	0.697798754321
109	0	0.614035087719	0.833884290908
109	1	0.614035087719	0.820704497767
110	0	1.0	0.93801985348
110	1	1.0	0.93801985348
110	2	1.0	0.93801985348
111	0	0.756076513735	0.960894881429
111	1	0.756076513735	0.960894881429
112	0	1.0	0.960894881429
112	1	1.0	0.960894881429
113	0	0.235583492758	0.960894881429
113	1	0.235583492758	0.960894881429
114	0	0.204379562044	0.581591950557
114	1	0.182608695652	0.581591950557
115	0	0.625	0.93801985348
115	1	1.0	0.921789762858
115	2	1.0	0.898914734909
115	3	0.0	0.0
116	0	0.196461429582	0.85529386606
116	1	0.258248573555	0.882684644288
117	0	0.375	0.825613397796
117	1	0.75	0.825613397796
118	0	1.0	0.85529386606
118	1	1.0	0.85529386606
119	0	0.00388923459863	0.757178589878
119	1	0.00388923459863	0.757178589878
120	0	0.137440758294	0.706717637322
120	1	0.137440758294	0.706717637322
121	0	0.969696969697	0.864718516367
121	1	0.697167755991	0.833884290908
122	0	0.865384615385	0.93801985348
122	1	0.865384615385	0.93801985348
123	0	1.0	0.960894881429
123	1	1.0	0.960894881429
124	0	1.0	0.960894881429
124	1	1.0	0.960894881429
125	0	0.481281820904	0.960894881429
125	1	0.473893453485	0.960894881429
125	2	0.481281820904	0.93801985348
126	0	1.0	0.898914734909
126	1	1.0	0.898914734909
127	0	0.564073866816	0.960894881429
127	1	0.563889267694	0.859809616338
127	2	0.568421052632	0.960894881429
128	0	1.0	0.859809616338
128	1	1.0	0.859809616338
129	0	0.320754716981	0.921789762858
129	1	0.320754716981	0.840159280941
130	0	0.666666666667	0.921789762858
130	1	0.625	0.93801985348
131	0	0.0989425981873	0.921789762858
131	1	0.0989425981873	0.93801985348
132	0	0.333333333333	0.960894881429
132	1	0.333333333333	0.93801985348
133	0	1.0	0.921789762858
133	1	1.0	0.898914734909
134	0	1.0	0.890218052905
134	1	1.0	0.890218052905
134	2	1.0	0.921789762858
135	0	0.3975	0.808115461445
135	1	0.3975	0.808115461445
136	0	0.62	0.859809616338
136	1	0.62	0.859809616338
137	0	1.0	0.851112934334
137	1	1.0	0.851112934334
137	2	1.0	0.960894881429
138	0	0.964285714286	0.864718516367
138	1	0.964285714286	0.864718516367
139	0	0.0710227272727	0.7487001548
139	1	0.070821529745	0.7487001548
140	0	0.955555555556	0.960894881429
140	1	0.955555555556	0.960894881429
141	0	1.0	0.960894881429
141	1	0.0369088811995	0.820704497767
142	0	0.75	0.763633251276
142	1	1.0	0.859809616338
142	2	0.75	0.776008991463
143	0	0.710843373494	0.796283708449
143	1	0.710843373494	0.774954441869
144	0	0.244444444444	0.756421306552
144	1	0.244444444444	0.731333573015
145	0	1.0	0.921789762858
145	1	1.0	0.921789762858
145	2	0.5	0.843579525717
145	3	1.0	0.921789762858
146	0	0.122807017544	0.717693559027
146	1	0.122538293217	0.717693559027
