Character Number	State Number	SimJ Score	NIC Score
1	0	1.0	0.909200726536
1	1	1.0	0.847220580016
1	2	1.0	0.859809616338
2	0	0.936170212766	0.847220580016
2	1	1.0	0.960894881429
3	0	0.215135135135	0.921789762858
3	1	0.215077006215	0.921789762858
4	0	0.766666666667	0.93801985348
4	1	0.766666666667	0.93801985348
5	0	0.972602739726	0.909200726536
5	1	0.972602739726	0.85529386606
5	2	1.0	0.960894881429
6	0	0.738095238095	0.921789762858
6	1	0.738095238095	0.93801985348
6	2	0.897081755402	0.909200726536
6	3	0	0
6	4	0	0
7	0	0.891891891892	0.960894881429
7	1	0.891891891892	0.870095607965
8	0	1.0	0.921789762858
8	1	1.0	0.93801985348
9	0	0.275862068966	0.633814404003
9	1	0.275862068966	0.633814404003
10	0	1.0	0.921789762858
10	1	1.0	0.921789762858
10	2	1.0	0.921789762858
11	0	1.0	0.882684644288
11	1	1.0	0.960894881429
12	0	1.0	0.960894881429
12	1	1.0	0.909200726536
13	0	0.00499869825566	0.658428144621
13	1	0.0049989585503	0.658428144621
14	0	1.0	0.909200726536
14	1	1.0	0.890218052905
15	0	1.0	0.921789762858
15	1	1.0	0.921789762858
16	0	0.335833662324	0.921789762858
16	1	0.335789473684	0.921789762858
17	0	0.406902691228	0.859809616338
17	1	0.566228320945	0.898914734909
18	0	0.743954480797	0.960894881429
18	1	0.743954480797	0.898914734909
19	0	0.05	0.509380495349
19	1	0.05	0.509380495349
19	2	0.21875	0.697005999907
20	0	1.0	0.93801985348
20	1	1.0	0.93801985348
21	0	1.0	0.921789762858
21	1	1.0	0.921789762858
22	0	1.0	0.898914734909
22	1	1.0	0.93801985348
23	0	0.359029427638	0.870095607965
23	1	0.359029427638	0.960894881429
24	0	0.285714285714	0.898914734909
24	1	1.0	0.93801985348
25	0	0.225352112676	0.828237906385
25	1	0.225352112676	0.810028077172
26	0	0.154667480171	0.823105573348
26	1	0.503475670308	0.93801985348
27	0	0.0654396728016	0.603142619944
27	1	0.0654396728016	0.603142619944
28	0	1.0	0.85529386606
28	1	0.888888888889	0.93801985348
29	0	0.85	0.909200726536
29	1	0.944444444444	0.87603970696
30	0	0.666751301257	0.898914734909
30	1	0.666666666667	0.898914734909
31	0	0.122807017544	0.898914734909
31	1	0.122093023256	0.898914734909
32	0	1.0	0.921789762858
32	1	1.0	0.921789762858
33	0	1.0	0.921789762858
33	1	1.0	0.890218052905
33	2	1.0	0.93801985348
33	3	1.0	0.93801985348
33	4	1.0	0.847220580016
34	0	0.971020092736	0.898914734909
34	1	0.971021611002	0.921789762858
34	2	0.971021611002	0.921789762858
34	3	0.971020092736	0.960894881429
35	0	1.0	0.909200726536
35	1	1.0	0.909200726536
36	0	0.354285714286	0.797829469818
36	1	0.607843137255	0.960894881429
37	0	0.7	0.960894881429
37	1	0.7	0.93801985348
38	0	0.9375	0.864718516367
38	1	0.175438596491	0.595095850209
38	2	0.364864864865	0.791885370824
39	0	0.110429447853	0.836934588389
39	1	0.704960835509	0.882684644288
39	2	0.704960835509	0.882684644288
39	3	0.704960835509	0.882684644288
40	0	0.849901768173	0.93801985348
40	1	0.921568627451	0.909200726536
40	2	0.849901768173	0.93801985348
41	0	1.0	0.960894881429
41	1	1.0	0.93801985348
42	0	1.0	0.921789762858
42	1	1.0	0.960894881429
42	2	1.0	0.921789762858
43	0	0.938795986622	0.960894881429
43	1	0.0163763066202	0.768077813205
43	2	0.0163763066202	0.768077813205
44	0	0.666704067321	0.921789762858
44	1	1.0	0.960894881429
45	0	0.0583657587549	0.637712873627
45	1	0.0583657587549	0.637712873627
46	0	1.0	0.960894881429
46	1	1.0	0.960894881429
47	0	0.691622953426	0.898914734909
47	1	0.707364030162	0.93801985348
48	0	1.0	0.960894881429
48	1	1.0	0.921789762858
48	2	1.0	0.921789762858
49	0	0.93757431629	0.960894881429
49	1	0.937592867756	0.960894881429
50	0	0.0540540540541	0.921789762858
50	1	0.0540540540541	0.921789762858
51	0	0.83025540275	0.960894881429
51	1	0.83025540275	0.960894881429
51	2	1.0	0.85529386606
52	0	0.945454545455	0.890218052905
52	1	0.945454545455	0.820704497767
53	0	1.0	0.851112934334
53	1	1.0	0.851112934334
54	0	1.0	0.960894881429
54	1	1.0	0.960894881429
55	0	1.0	0.898914734909
55	1	1.0	0.93801985348
55	2	1.0	0.825613397796
56	0	1.0	0.870095607965
56	1	1.0	0.87603970696
57	0	0.555555555556	0.851112934334
57	1	1.0	0.960894881429
58	0	0.75	0.921789762858
58	1	1.0	0.921789762858
59	0	1.0	0.93801985348
59	1	1.0	0.909200726536
60	0	1.0	0.960894881429
60	1	1.0	0.921789762858
61	0	1.0	0.840159280941
61	1	1.0	0.830990489394
62	0	0.063872255489	0.682915189687
62	1	0.0636182902584	0.682915189687
63	0	1.0	0.864718516367
63	1	1.0	0.93801985348
64	0	1.0	0.960894881429
64	1	1.0	0.960894881429
65	0	1.0	0.960894881429
65	1	0.586854460094	0.85529386606
65	2	0.0333657272433	0.960894881429
65	3	0	0
66	0	0.44	0.960894881429
66	1	0.44	0.960894881429
67	0	1.0	0.960894881429
67	1	1.0	0.921789762858
68	0	0.271956856703	0.93801985348
68	1	0.0794202588512	0.921789762858
69	0	0.842105263158	0.818401453076
69	1	0.842105263158	0.812007815763
70	0	1.0	0.909200726536
70	1	0.0380639551734	0.720806997822
70	2	0.113257533944	0.921789762858
70	3	0.00793342148246	0.750703327145
71	0	0.194444444444	0.663264854285
71	1	0.183324130315	0.921789762858
71	2	0.183324130315	0.960894881429
72	0	0.957627118644	0.93801985348
72	1	0.957746478873	0.93801985348
73	0	0.899497487437	0.960894881429
73	1	0.9	0.960894881429
74	0	1.0	0.840159280941
74	1	1.0	0.851112934334
75	0	0.811320754717	0.909200726536
75	1	1.0	0.921789762858
76	0	1.0	0.960894881429
76	1	1.0	0.960894881429
77	0	1.0	0.960894881429
77	1	1.0	0.909200726536
78	0	1.0	0.851112934334
78	1	1.0	0.851112934334
79	0	1.0	0.93801985348
79	1	1.0	0.909200726536
80	0	1.0	0.847220580016
80	1	1.0	0.847220580016
81	0	0.966666666667	0.909200726536
81	1	0.966666666667	0.859809616338
82	0	1.0	0.909200726536
82	1	1.0	0.909200726536
82	2	1.0	0.93801985348
83	0	1.0	0.921789762858
83	1	1.0	0.921789762858
84	0	1.0	0.847220580016
84	1	1.0	0.847220580016
85	0	0.826429980276	0.93801985348
85	1	0.795228628231	0.909200726536
85	2	0.666666666667	0.847220580016
86	0	0.0161168471418	0.704877797304
86	1	0.0161168471418	0.704877797304
87	0	1.0	0.870095607965
87	1	1.0	0.870095607965
88	0	1.0	0.851112934334
88	1	1.0	0.851112934334
89	0	1.0	0.87603970696
89	1	1.0	0.87603970696
90	0	1.0	0.960894881429
90	1	1.0	0.960894881429
91	0	0.201857345544	0.870095607965
91	1	1.0	0.898914734909
92	0	1.0	0.960894881429
92	1	1.0	0.909200726536
93	0	1.0	0.85529386606
93	1	1.0	0.85529386606
94	0	1.0	0.93801985348
94	1	1.0	0.93801985348
94	2	1.0	0.898914734909
95	0	0.911764705882	0.921789762858
95	1	0.911764705882	0.921789762858
96	0	1.0	0.85529386606
96	1	1.0	0.85529386606
97	0	1.0	0.960894881429
97	1	1.0	0.960894881429
98	0	1.0	0.898914734909
98	1	1.0	0.960894881429
98	2	0.0	0.0
99	0	1.0	0.87603970696
99	1	1.0	0.87603970696
100	0	1.0	0.921789762858
100	1	1.0	0.921789762858
101	0	0.0785340314136	0.603692057102
101	1	0.0712589073634	0.603692057102
102	0	1.0	0.960894881429
102	1	1.0	0.882684644288
102	2	1.0	0.851112934334
103	0	0.250067585834	0.898914734909
103	1	1.0	0.960894881429
104	0	1.0	0.851112934334
104	1	1.0	0.93801985348
105	0	0.596951298282	0.93801985348
105	1	0.596951298282	0.93801985348
106	0	0.666816749212	0.960894881429
106	1	0.714285714286	0.960894881429
107	0	0.272727272727	0.93801985348
107	1	0.212765957447	0.851112934334
108	0	0.916682738669	0.960894881429
108	1	0.916682738669	0.960894881429
109	0	1.0	0.833884290908
109	1	1.0	0.825613397796
110	0	0.92	0.890218052905
110	1	0.92	0.898914734909
110	2	0.92	0.898914734909
111	0	0.223891188646	0.921789762858
111	1	0.223891188646	0.921789762858
112	0	0.909090909091	0.960894881429
112	1	0.262886597938	0.960894881429
113	0	0.0454385594711	0.882684644288
113	1	0.0952100221076	0.93801985348
114	0	0.416666666667	0.909200726536
114	1	0.416666666667	0.909200726536
115	0	1.0	0.960894881429
115	1	1.0	0.921789762858
115	2	1.0	0.898914734909
115	3	1.0	0.890218052905
116	0	1.0	0.921789762858
116	1	1.0	0.93801985348
117	0	1.0	0.898914734909
117	1	1.0	0.898914734909
118	0	1.0	0.85529386606
118	1	1.0	0.85529386606
119	0	1.0	0.93801985348
119	1	1.0	0.93801985348
120	0	0.95652173913	0.960894881429
120	1	0.95652173913	0.960894881429
121	0	1.0	0.921789762858
121	1	1.0	0.921789762858
122	0	0.666846798163	0.921789762858
122	1	1.0	0.960894881429
123	0	1.0	0.93801985348
123	1	1.0	0.93801985348
124	0	1.0	0.960894881429
124	1	1.0	0.960894881429
125	0	1.0	0.960894881429
125	1	1.0	0.960894881429
125	2	0.692307692308	0.960894881429
126	0	1.0	0.898914734909
126	1	1.0	0.898914734909
127	0	1.0	0.960894881429
127	1	1.0	0.909200726536
127	2	1.0	0.93801985348
128	0	1.0	0.859809616338
128	1	1.0	0.859809616338
129	0	0.915492957746	0.93801985348
129	1	0.915492957746	0.909200726536
130	0	0.0276752767528	0.921789762858
130	1	0.245901639344	0.921789762858
131	0	1.0	0.960894881429
131	1	1.0	0.960894881429
132	0	1.0	0.921789762858
132	1	1.0	0.921789762858
133	0	1.0	0.93801985348
133	1	1.0	0.909200726536
134	0	0.98275862069	0.828237906385
134	1	0.98275862069	0.828237906385
134	2	1.0	0.864718516367
135	0	1.0	0.921789762858
135	1	1.0	0.921789762858
136	0	1.0	0.864718516367
136	1	1.0	0.864718516367
137	0	1.0	0.851112934334
137	1	1.0	0.851112934334
137	2	1.0	0.960894881429
138	0	0.964285714286	0.864718516367
138	1	0.964285714286	0.864718516367
139	0	1.0	0.921789762858
139	1	1.0	0.870095607965
140	0	1.0	0.960894881429
140	1	1.0	0.960894881429
141	0	0.388443017657	0.93801985348
141	1	0.268998542578	0.909200726536
142	0	0.5	0.921789762858
142	1	1.0	0.859809616338
142	2	0.5	0.921789762858
143	0	1.0	0.909200726536
