Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.0352112676056	0.546493191447
1	0	C_EQ_1	C_EQ_2	1.0	0.909200726536
1	0	C_EQ_2	C_EQ_1	1.0	0.921789762858
1	0	C_EQ_2	C_EQ_2	0.0352112676056	0.546493191447
1	1	C_EQ_1	C_EQ_1	0.0301204819277	0.546493191447
1	1	C_EQ_1	C_EQ_2	0.0352112676056	0.546493191447
1	1	C_EQ_1	C_EQ_3	0.181818181818	0.820704497767
1	1	C_EQ_2	C_EQ_1	0.363636363636	0.882684644288
1	1	C_EQ_2	C_EQ_2	0.714285714286	0.898914734909
1	1	C_EQ_2	C_EQ_3	0.0279329608939	0.509380495349
1	2	C_EQ_1	C_EQ_1	0.0220264317181	0.509380495349
1	2	C_EQ_1	C_EQ_2	0.0279329608939	0.509380495349
1	2	C_EQ_1	C_EQ_3	1.0	0.859809616338
1	2	C_EQ_2	C_EQ_1	0.363636363636	0.882684644288
1	2	C_EQ_2	C_EQ_2	0.714285714286	0.898914734909
1	2	C_EQ_2	C_EQ_3	0.0279329608939	0.509380495349
2	0	C_EQ_1	C_EQ_1	0.75	0.864718516367
2	1	C_EQ_1	C_EQ_1	0.142857142857	0.851112934334
2	1	C_EQ_2	C_EQ_1	1.0	0.93801985348
2	1	C_EQ_3	C_EQ_1	0.469135802469	0.909200726536
2	1	C_EQ_4	C_EQ_1	0.537102473498	0.909200726536
3	0	C_EQ_1	C_EQ_1	0.634615384615	0.93801985348
3	1	C_EQ_1	C_EQ_1	0.634615384615	0.93801985348
4	0	C_EQ_1	C_EQ_1	0.0202812820668	0.816188747489
4	1	C_EQ_1	C_EQ_1	0.0202812820668	0.816188747489
5	0	C_EQ_1	C_EQ_1	0.00225733634312	0.509380495349
5	0	C_EQ_1	C_EQ_2	0.00869565217391	0.551180687007
5	0	C_EQ_2	C_EQ_1	0.00225733634312	0.509380495349
5	0	C_EQ_2	C_EQ_2	0.0116279069767	0.607212776993
5	1	C_EQ_1	C_EQ_1	0.00225733634312	0.509380495349
5	1	C_EQ_1	C_EQ_2	0.0116279069767	0.595095850209
5	1	C_EQ_2	C_EQ_1	0.00225733634312	0.509380495349
5	1	C_EQ_2	C_EQ_2	0.0116279069767	0.595095850209
5	2	C_EQ_1	C_EQ_1	0.120967741935	0.85529386606
5	2	C_EQ_2	C_EQ_1	0.120967741935	0.85529386606
6	0	C_EQ_1	C_EQ_1	0.738095238095	0.796283708449
6	0	C_EQ_2	C_EQ_1	0.00227481196111	0.551141124061
6	1	C_EQ_1	C_EQ_1	0.547703180212	0.843579525717
6	1	C_EQ_1	C_EQ_2	0.110320284698	0.720012382427
6	1	C_EQ_2	C_EQ_1	0.00833893745797	0.563419567913
6	1	C_EQ_2	C_EQ_2	0.00282782212087	0.551141124061
6	1	C_EQ_3	C_EQ_1	0.00833893745797	0.563419567913
6	1	C_EQ_3	C_EQ_2	0.00282782212087	0.551141124061
6	2	C_EQ_1	C_EQ_1	0.361560301197	0.812007815763
6	2	C_EQ_1	C_EQ_2	0.00612111054434	0.563419567913
6	2	C_EQ_2	C_EQ_1	0.605164670659	0.898914734909
6	2	C_EQ_2	C_EQ_2	0.00640830027464	0.563419567913
6	2	C_EQ_3	C_EQ_1	0.0104114189757	0.563419567913
6	2	C_EQ_3	C_EQ_2	0.484149855908	0.882684644288
6	3	C_EQ_1	C_EQ_1	0.00810952214859	0.563419567913
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.657894736842	0.921789762858
7	1	C_EQ_1	C_EQ_1	0.657894736842	0.921789762858
8	0	C_EQ_1	C_EQ_1	1.0	0.898914734909
8	0	C_EQ_1	C_EQ_2	0.6	0.890218052905
