Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.0352112676056	0.546493191447
1	0	C_EQ_1	C_EQ_2	1.0	0.909200726536
1	0	C_EQ_2	C_EQ_1	0.0117647058824	0.638451565171
1	0	C_EQ_2	C_EQ_2	0.003663003663	0.546493191447
1	1	C_EQ_1	C_EQ_1	0.0220264317181	0.509380495349
1	1	C_EQ_1	C_EQ_2	0.0279329608939	0.509380495349
1	1	C_EQ_1	C_EQ_3	1.0	0.847220580016
1	1	C_EQ_2	C_EQ_1	0.00917431192661	0.638451565171
1	1	C_EQ_2	C_EQ_2	0.0117647058824	0.638451565171
1	1	C_EQ_2	C_EQ_3	0.00305810397554	0.509380495349
1	2	C_EQ_1	C_EQ_1	0.0220264317181	0.509380495349
1	2	C_EQ_1	C_EQ_2	0.0279329608939	0.509380495349
1	2	C_EQ_1	C_EQ_3	1.0	0.859809616338
1	2	C_EQ_2	C_EQ_1	0.00917431192661	0.638451565171
1	2	C_EQ_2	C_EQ_2	0.0117647058824	0.638451565171
1	2	C_EQ_2	C_EQ_3	0.00305810397554	0.509380495349
2	0	C_EQ_1	C_EQ_1	0.75	0.864718516367
2	1	C_EQ_1	C_EQ_1	0.142857142857	0.851112934334
2	1	C_EQ_2	C_EQ_1	0.226666666667	0.647505660709
3	0	C_EQ_1	C_EQ_1	0.0110957004161	0.746135314925
3	1	C_EQ_1	C_EQ_1	0.0110957004161	0.746135314925
4	0	C_EQ_1	C_EQ_1	0.0201366414959	0.816188747489
4	1	C_EQ_1	C_EQ_1	0.0201366414959	0.816188747489
5	0	C_EQ_1	C_EQ_1	0.101160862355	0.808115461445
5	0	C_EQ_1	C_EQ_2	0.586592178771	0.833884290908
5	0	C_EQ_2	C_EQ_1	0.101160862355	0.808115461445
5	0	C_EQ_2	C_EQ_2	1.0	0.909200726536
5	1	C_EQ_1	C_EQ_1	0.101160862355	0.808115461445
5	1	C_EQ_1	C_EQ_2	1.0	0.85529386606
5	1	C_EQ_2	C_EQ_1	0.101160862355	0.808115461445
5	1	C_EQ_2	C_EQ_2	0.972222222222	0.851112934334
5	2	C_EQ_1	C_EQ_1	0.666666666667	0.898914734909
5	2	C_EQ_2	C_EQ_1	0.666666666667	0.898914734909
6	0	C_EQ_1	C_EQ_1	0.738095238095	0.796283708449
6	0	C_EQ_2	C_EQ_1	0.00227481196111	0.551141124061
6	1	C_EQ_1	C_EQ_1	0.738095238095	0.93801985348
6	1	C_EQ_1	C_EQ_2	0.110320284698	0.720012382427
6	1	C_EQ_2	C_EQ_1	0.00556453060492	0.553544778984
6	1	C_EQ_2	C_EQ_2	0.00283856789671	0.551141124061
6	2	C_EQ_1	C_EQ_1	0.734997809899	0.909200726536
6	2	C_EQ_1	C_EQ_2	0.0073247296826	0.563419567913
6	2	C_EQ_2	C_EQ_1	0.202776143169	0.802738369847
6	2	C_EQ_2	C_EQ_2	0.0064	0.553544778984
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.52380952381	0.898914734909
7	1	C_EQ_1	C_EQ_1	0.52380952381	0.847220580016
8	0	C_EQ_1	C_EQ_1	1.0	0.898914734909
8	0	C_EQ_1	C_EQ_2	0.6	0.890218052905
8	0	C_EQ_1	C_EQ_3	0.0909090909091	0.840159280941
8	0	C_EQ_2	C_EQ_1	0.0909090909091	0.840159280941
8	0	C_EQ_2	C_EQ_2	0.0909090909091	0.840159280941
8	0	C_EQ_2	C_EQ_3	1.0	0.898914734909
8	0	C_EQ_3	C_EQ_1	0.927272727273	0.870095607965
8	0	C_EQ_3	C_EQ_2	0.564575645756	0.847220580016
8	0	C_EQ_3	C_EQ_3	0.0871794871795	0.799418779441
