Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.421875	0.890218052905
1	0	C_EQ_1	C_EQ_2	0.099706744868	0.546493191447
1	0	C_EQ_2	C_EQ_1	0.0352112676056	0.546493191447
1	0	C_EQ_2	C_EQ_2	0.955555555556	0.898914734909
1	1	C_EQ_1	C_EQ_1	0.202247191011	0.638451565171
1	1	C_EQ_1	C_EQ_2	0.421875	0.890218052905
1	1	C_EQ_1	C_EQ_3	0.0685483870968	0.534379631449
1	1	C_EQ_2	C_EQ_1	0.421875	0.921789762858
1	1	C_EQ_2	C_EQ_2	0.175609756098	0.638451565171
1	1	C_EQ_2	C_EQ_3	0.0505200594354	0.534379631449
1	1	C_EQ_3	C_EQ_1	0.0220264317181	0.509380495349
1	1	C_EQ_3	C_EQ_2	0.0279329608939	0.509380495349
1	1	C_EQ_3	C_EQ_3	1.0	0.847220580016
1	2	C_EQ_1	C_EQ_1	0.202247191011	0.638451565171
1	2	C_EQ_1	C_EQ_2	0.421875	0.890218052905
1	2	C_EQ_1	C_EQ_3	0.0685483870968	0.534379631449
1	2	C_EQ_2	C_EQ_1	0.421875	0.921789762858
1	2	C_EQ_2	C_EQ_2	0.175609756098	0.638451565171
1	2	C_EQ_2	C_EQ_3	0.0505200594354	0.534379631449
1	2	C_EQ_3	C_EQ_1	0.0220264317181	0.509380495349
1	2	C_EQ_3	C_EQ_2	0.0279329608939	0.509380495349
1	2	C_EQ_3	C_EQ_3	1.0	0.859809616338
2	0	C_EQ_1	C_EQ_1	0.302884615385	0.631139330561
2	1	C_EQ_1	C_EQ_1	0.388888888889	0.870095607965
2	1	C_EQ_2	C_EQ_1	0.0709459459459	0.509380495349
3	0	C_EQ_1	C_EQ_1	0.00881870385562	0.781599379197
3	1	C_EQ_1	C_EQ_1	0.00881870385562	0.781599379197
4	0	C_EQ_1	C_EQ_1	0.75	0.960894881429
4	1	C_EQ_1	C_EQ_1	0.030523255814	0.818401453076
5	0	C_EQ_1	C_EQ_1	0.802631578947	0.898914734909
5	0	C_EQ_1	C_EQ_2	0.11553030303	0.808115461445
5	0	C_EQ_2	C_EQ_1	0.101160862355	0.808115461445
5	0	C_EQ_2	C_EQ_2	1.0	0.909200726536
5	1	C_EQ_1	C_EQ_1	0.802631578947	0.898914734909
5	1	C_EQ_1	C_EQ_2	0.11553030303	0.808115461445
5	1	C_EQ_2	C_EQ_1	0.101160862355	0.808115461445
5	1	C_EQ_2	C_EQ_2	1.0	0.85529386606
5	2	C_EQ_1	C_EQ_1	1.0	0.960894881429
6	0	C_EQ_1	C_EQ_1	0.96875	0.796283708449
6	0	C_EQ_2	C_EQ_1	0.109154929577	0.551141124061
6	1	C_EQ_1	C_EQ_1	0.695067264574	0.843579525717
6	1	C_EQ_1	C_EQ_2	0.140271493213	0.720012382427
6	1	C_EQ_2	C_EQ_1	0.122772277228	0.553544778984
6	1	C_EQ_2	C_EQ_2	0.109154929577	0.551141124061
6	2	C_EQ_1	C_EQ_1	0.00708652417419	0.553544778984
6	2	C_EQ_1	C_EQ_2	0.111553784861	0.553544778984
6	2	C_EQ_2	C_EQ_1	0.968263127525	0.909200726536
6	2	C_EQ_2	C_EQ_2	0.00963523743978	0.563419567913
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	1.0	0.960894881429
7	1	C_EQ_1	C_EQ_1	1.0	0.960894881429
8	0	C_EQ_1	C_EQ_1	1.0	0.898914734909
8	0	C_EQ_1	C_EQ_2	0.6	0.890218052905
8	0	C_EQ_1	C_EQ_3	0.0909090909091	0.840159280941
8	0	C_EQ_2	C_EQ_1	0.0909090909091	0.840159280941
8	0	C_EQ_2	C_EQ_2	0.0909090909091	0.840159280941
8	0	C_EQ_2	C_EQ_3	1.0	0.898914734909
8	0	C_EQ_3	C_EQ_1	0.564575645756	0.847220580016
8	0	C_EQ_3	C_EQ_2	0.927272727273	0.909200726536
8	0	C_EQ_3	C_EQ_3	0.0871794871795	0.799418779441
8	0	C_EQ_4	C_EQ_1	0.0871794871795	0.799418779441
8	0	C_EQ_4	C_EQ_2	0.0871794871795	0.799418779441
8	0	C_EQ_4	C_EQ_3	0.927272727273	0.864718516367
8	1	C_EQ_1	C_EQ_1	0.120853080569	0.799418779441
9	0	C_EQ_1	C_EQ_1	1.0	0.960894881429
9	1	C_EQ_1	C_EQ_1	1.0	0.960894881429
10	0	C_EQ_1	C_EQ_1	1.0	0.921789762858
10	1	C_EQ_1	C_EQ_1	1.0	0.921789762858
10	2	C_EQ_1	C_EQ_1	1.0	0.921789762858
11	0	C_EQ_1	C_EQ_1	0.32	0.743682025775
11	1	C_EQ_1	C_EQ_1	0.191549295775	0.704877797304
11	1	C_EQ_2	C_EQ_1	0.191549295775	0.704877797304
12	0	C_EQ_1	C_EQ_1	0.962962962963	0.921789762858
12	1	C_EQ_1	C_EQ_1	0.962962962963	0.890218052905
13	0	C_EQ_1	C_EQ_1	0.984615384615	0.909200726536
13	1	C_EQ_1	C_EQ_1	0.984615384615	0.909200726536
14	0	C_EQ_1	C_EQ_1	1.0	0.960894881429
14	0	C_EQ_1	C_EQ_2	0.00239498314058	0.60157402512
14	1	C_EQ_1	C_EQ_1	1.0	0.890218052905
15	0	C_EQ_1	C_EQ_1	0.307695813678	0.859809616338
15	1	C_EQ_1	C_EQ_1	0.75	0.898914734909
16	0	C_EQ_1	C_EQ_1	1.0	0.960894881429
16	1	C_EQ_1	C_EQ_1	1.0	0.960894881429
17	0	C_EQ_1	C_EQ_1	1.0	0.921789762858
17	1	C_EQ_1	C_EQ_1	1.0	0.909200726536
18	0	C_EQ_1	C_EQ_1	1.0	0.921789762858
18	1	C_EQ_1	C_EQ_1	1.0	0.898914734909
19	0	C_EQ_1	C_EQ_1	0.19375	0.551141124061
19	1	C_EQ_1	C_EQ_1	0.481553398058	0.87603970696
19	2	C_EQ_1	C_EQ_1	0.953846153846	0.796283708449
20	0	C_EQ_1	C_EQ_1	1.0	0.909200726536
20	1	C_EQ_1	C_EQ_1	1.0	0.909200726536
21	0	C_EQ_1	C_EQ_1	0.977272727273	0.960894881429
21	1	C_EQ_1	C_EQ_1	0.977272727273	0.960894881429
22	0	C_EQ_1	C_EQ_1	1.0	0.898914734909
22	1	C_EQ_1	C_EQ_1	0.558086560364	0.810028077172
23	0	C_EQ_1	C_EQ_1	1.0	0.960894881429
23	1	C_EQ_1	C_EQ_1	1.0	0.960894881429
24	0	C_EQ_1	C_EQ_1	0.245361115022	0.921789762858
24	1	C_EQ_1	C_EQ_1	0.970594787258	0.960894881429
25	0	C_EQ_1	C_EQ_1	0.885714285714	0.898914734909
25	1	C_EQ_1	C_EQ_1	0.885714285714	0.898914734909
26	0	C_EQ_1	C_EQ_1	0.833333333333	0.909200726536
26	1	C_EQ_1	C_EQ_1	1.0	0.851112934334
27	0	C_EQ_1	C_EQ_1	0.903225806452	0.898914734909
27	1	C_EQ_1	C_EQ_1	0.903225806452	0.898914734909
28	0	C_EQ_1	C_EQ_1	0.0140186915888	0.666075182197
28	1	C_EQ_1	C_EQ_1	0.0230769230769	0.666075182197
28	1	C_EQ_1	C_EQ_2	0.0193798449612	0.636085354209
29	0	C_EQ_1	C_EQ_1	1.0	0.921789762858
29	1	C_EQ_1	C_EQ_1	1.0	0.921789762858
30	0	C_EQ_1	C_EQ_1	0.290444654683	0.93801985348
30	1	C_EQ_1	C_EQ_1	0.290475166631	0.93801985348
31	0	C_EQ_1	C_EQ_1	0.046511627907	0.509380495349
31	0	C_EQ_2	C_EQ_1	0.046511627907	0.509380495349
31	1	C_EQ_1	C_EQ_1	0.0416666666667	0.509380495349
31	1	C_EQ_2	C_EQ_1	0.0416666666667	0.509380495349
32	0	C_EQ_1	C_EQ_1	0.543859649123	0.898914734909
32	1	C_EQ_1	C_EQ_1	0.543859649123	0.898914734909
33	0	C_EQ_1	C_EQ_1	1.0	0.890218052905
33	0	C_EQ_1	C_EQ_2	0.108695652174	0.566839812692
33	0	C_EQ_1	C_EQ_3	0.108695652174	0.566839812692
33	0	C_EQ_2	C_EQ_1	0.108695652174	0.566839812692
33	0	C_EQ_2	C_EQ_2	1.0	0.909200726536
33	0	C_EQ_2	C_EQ_3	0.961538461538	0.806265565859
33	0	C_EQ_3	C_EQ_1	0.108695652174	0.566839812692
33	0	C_EQ_3	C_EQ_2	0.961538461538	0.806265565859
33	0	C_EQ_3	C_EQ_3	1.0	0.921789762858
33	1	C_EQ_1	C_EQ_1	0.961538461538	0.806265565859
33	2	C_EQ_1	C_EQ_1	0.5	0.816188747489
33	2	C_EQ_1	C_EQ_2	0.0967741935484	0.566839812692
33	2	C_EQ_1	C_EQ_3	0.0967741935484	0.566839812692
33	2	C_EQ_2	C_EQ_1	0.0967741935484	0.566839812692
33	2	C_EQ_2	C_EQ_2	1.0	0.909200726536
33	2	C_EQ_2	C_EQ_3	0.961538461538	0.806265565859
33	2	C_EQ_3	C_EQ_1	0.0967741935484	0.566839812692
33	2	C_EQ_3	C_EQ_2	0.961538461538	0.806265565859
33	2	C_EQ_3	C_EQ_3	1.0	0.921789762858
33	3	C_EQ_1	C_EQ_1	1.0	0.847220580016
33	3	C_EQ_2	C_EQ_1	0.428571428571	0.790492293611
33	4	C_EQ_1	C_EQ_1	1.0	0.847220580016
34	0	C_EQ_1	C_EQ_1	0.00164561806353	0.566839812692
34	1	C_EQ_1	C_EQ_1	0.00375894264581	0.572379074144
34	1	C_EQ_1	C_EQ_2	0.00375803127652	0.572379074144
34	1	C_EQ_2	C_EQ_1	0.00296508847441	0.572379074144
34	1	C_EQ_2	C_EQ_2	0.00296452137324	0.572379074144
34	2	C_EQ_1	C_EQ_1	0.00301409820126	0.572379074144
34	3	C_EQ_1	C_EQ_1	0.00395761521767	0.572379074144
34	3	C_EQ_1	C_EQ_2	0.00395559525329	0.572379074144
34	3	C_EQ_2	C_EQ_1	0.00296508847441	0.572379074144
34	3	C_EQ_2	C_EQ_2	0.00296395448896	0.572379074144
35	0	C_EQ_1	C_EQ_1	1.0	0.898914734909
35	1	C_EQ_1	C_EQ_1	1.0	0.898914734909
36	0	C_EQ_1	C_EQ_1	0.375	0.898914734909
36	1	C_EQ_1	C_EQ_1	1.0	0.960894881429
