Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.099706744868	0.546493191447
1	0	C_EQ_1	C_EQ_2	0.955555555556	0.898914734909
1	0	C_EQ_2	C_EQ_1	0.0111111111111	0.638451565171
1	0	C_EQ_2	C_EQ_2	0.0049504950495	0.546493191447
1	1	C_EQ_1	C_EQ_1	0.0685483870968	0.534379631449
1	1	C_EQ_1	C_EQ_2	0.0505200594354	0.534379631449
1	1	C_EQ_1	C_EQ_3	1.0	0.847220580016
1	1	C_EQ_2	C_EQ_1	0.0111111111111	0.638451565171
1	1	C_EQ_2	C_EQ_2	0.00744878957169	0.638451565171
1	1	C_EQ_2	C_EQ_3	0.00540540540541	0.509380495349
1	2	C_EQ_1	C_EQ_1	0.0685483870968	0.534379631449
1	2	C_EQ_1	C_EQ_2	0.0505200594354	0.534379631449
1	2	C_EQ_1	C_EQ_3	1.0	0.859809616338
1	2	C_EQ_2	C_EQ_1	0.0111111111111	0.638451565171
1	2	C_EQ_2	C_EQ_2	0.00744878957169	0.638451565171
1	2	C_EQ_2	C_EQ_3	0.00540540540541	0.509380495349
2	0	C_EQ_1	C_EQ_1	0.396226415094	0.631139330561
2	1	C_EQ_1	C_EQ_1	0.0810810810811	0.509380495349
2	1	C_EQ_1	C_EQ_2	0.396226415094	0.631139330561
2	1	C_EQ_2	C_EQ_1	0.269058295964	0.633049131012
2	1	C_EQ_2	C_EQ_2	0.0714285714286	0.509380495349
3	0	C_EQ_1	C_EQ_1	0.0729734191844	0.921789762858
3	1	C_EQ_1	C_EQ_1	0.0729613733906	0.921789762858
4	0	C_EQ_1	C_EQ_1	0.0178471834914	0.752079413915
4	1	C_EQ_1	C_EQ_1	0.333830104322	0.752079413915
5	0	C_EQ_1	C_EQ_1	1.0	0.898914734909
5	0	C_EQ_1	C_EQ_2	0.11553030303	0.808115461445
5	0	C_EQ_2	C_EQ_1	0.113805970149	0.808115461445
5	0	C_EQ_2	C_EQ_2	0.972602739726	0.909200726536
5	1	C_EQ_1	C_EQ_1	1.0	0.898914734909
5	1	C_EQ_1	C_EQ_2	0.11553030303	0.808115461445
5	1	C_EQ_2	C_EQ_1	0.113805970149	0.808115461445
5	1	C_EQ_2	C_EQ_2	0.972602739726	0.85529386606
5	2	C_EQ_1	C_EQ_1	0.666666666667	0.898914734909
5	2	C_EQ_2	C_EQ_1	0.666666666667	0.898914734909
6	0	C_EQ_1	C_EQ_1	0.96875	0.796283708449
6	0	C_EQ_1	C_EQ_2	0.109154929577	0.551141124061
6	0	C_EQ_2	C_EQ_1	0.00250525294973	0.551141124061
6	0	C_EQ_2	C_EQ_2	0.00499758181525	0.553544778984
6	1	C_EQ_1	C_EQ_1	0.695067264574	0.843579525717
6	1	C_EQ_1	C_EQ_2	0.122772277228	0.553544778984
6	1	C_EQ_2	C_EQ_1	0.00729240178781	0.553544778984
6	1	C_EQ_2	C_EQ_2	0.00745819800313	0.553544778984
6	2	C_EQ_1	C_EQ_1	0.014858306872	0.673521995615
6	2	C_EQ_1	C_EQ_2	0.212485037542	0.802738369847
6	2	C_EQ_2	C_EQ_1	0.00708652417419	0.553544778984
6	2	C_EQ_2	C_EQ_2	0.968263127525	0.909200726536
6	2	C_EQ_3	C_EQ_1	0.111553784861	0.553544778984
6	2	C_EQ_3	C_EQ_2	0.00963523743978	0.563419567913
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.545454545455	0.93801985348
7	0	C_EQ_2	C_EQ_1	0.0674157303371	0.87603970696
7	1	C_EQ_1	C_EQ_1	0.545454545455	0.909200726536
8	0	C_EQ_1	C_EQ_1	1.0	0.898914734909
8	0	C_EQ_1	C_EQ_2	0.0909090909091	0.840159280941
8	0	C_EQ_1	C_EQ_3	0.564575645756	0.847220580016
8	0	C_EQ_1	C_EQ_4	0.0871794871795	0.799418779441
8	0	C_EQ_2	C_EQ_1	0.927272727273	0.870095607965
8	0	C_EQ_2	C_EQ_2	0.0871794871795	0.799418779441
8	0	C_EQ_2	C_EQ_3	0.6	0.909200726536
8	0	C_EQ_2	C_EQ_4	0.0909090909091	0.847220580016
8	0	C_EQ_3	C_EQ_1	0.0909090909091	0.840159280941
8	0	C_EQ_3	C_EQ_2	1.0	0.898914734909
8	0	C_EQ_3	C_EQ_3	0.0871794871795	0.799418779441
8	0	C_EQ_3	C_EQ_4	0.927272727273	0.864718516367
8	0	C_EQ_4	C_EQ_1	0.0871794871795	0.799418779441
8	0	C_EQ_4	C_EQ_2	0.927272727273	0.864718516367
8	0	C_EQ_4	C_EQ_3	0.0909090909091	0.847220580016
8	0	C_EQ_4	C_EQ_4	1.0	0.909200726536
8	1	C_EQ_1	C_EQ_1	0.5	0.870095607965
8	1	C_EQ_2	C_EQ_1	0.472222222222	0.830990489394
9	0	C_EQ_1	C_EQ_1	0.0350877192982	0.509380495349
9	1	C_EQ_1	C_EQ_1	0.0350877192982	0.509380495349
10	0	C_EQ_1	C_EQ_1	1.0	0.921789762858
10	1	C_EQ_1	C_EQ_1	1.0	0.921789762858
10	2	C_EQ_1	C_EQ_1	1.0	0.921789762858
11	0	C_EQ_1	C_EQ_1	0.733118971061	0.870095607965
11	1	C_EQ_1	C_EQ_1	0.210915818686	0.830990489394
11	1	C_EQ_1	C_EQ_2	0.210915818686	0.830990489394
11	1	C_EQ_2	C_EQ_1	0.404255319149	0.890218052905
11	1	C_EQ_2	C_EQ_2	0.974358974359	0.909200726536
12	0	C_EQ_1	C_EQ_1	0.896551724138	0.921789762858
12	1	C_EQ_1	C_EQ_1	0.896551724138	0.890218052905
13	0	C_EQ_1	C_EQ_1	0.142857142857	0.830990489394
13	1	C_EQ_1	C_EQ_1	0.143176733781	0.830990489394
14	0	C_EQ_1	C_EQ_1	0.666666666667	0.851112934334
14	1	C_EQ_1	C_EQ_1	1.0	0.890218052905
15	0	C_EQ_1	C_EQ_1	1.0	0.921789762858
15	1	C_EQ_1	C_EQ_1	1.0	0.921789762858
16	0	C_EQ_1	C_EQ_1	0.221772754313	0.898914734909
16	1	C_EQ_1	C_EQ_1	0.221746371639	0.898914734909
17	0	C_EQ_1	C_EQ_1	0.636597385901	0.909200726536
17	0	C_EQ_2	C_EQ_1	0.0145407335281	0.640824360658
17	1	C_EQ_1	C_EQ_1	0.0145407335281	0.640824360658
17	1	C_EQ_2	C_EQ_1	0.636597385901	0.898914734909
18	0	C_EQ_1	C_EQ_1	0.583054626533	0.859809616338
18	1	C_EQ_1	C_EQ_1	0.853181076672	0.898914734909
19	0	C_EQ_1	C_EQ_1	0.25	0.764494592596
19	1	C_EQ_1	C_EQ_1	0.142857142857	0.764494592596
19	2	C_EQ_1	C_EQ_1	1.0	0.898914734909
20	0	C_EQ_1	C_EQ_1	1.0	0.909200726536
20	0	C_EQ_2	C_EQ_1	0.274351710612	0.843579525717
20	1	C_EQ_1	C_EQ_1	1.0	0.909200726536
20	1	C_EQ_2	C_EQ_1	0.274351710612	0.882684644288
21	0	C_EQ_1	C_EQ_1	0.142857142857	0.898914734909
21	1	C_EQ_1	C_EQ_1	0.142857142857	0.898914734909
21	1	C_EQ_2	C_EQ_1	0.113505747126	0.87603970696
22	0	C_EQ_1	C_EQ_1	1.0	0.898914734909
22	1	C_EQ_1	C_EQ_1	1.0	0.93801985348
23	0	C_EQ_1	C_EQ_1	0.344060783785	0.859809616338
23	1	C_EQ_1	C_EQ_1	0.344060783785	0.921789762858
24	0	C_EQ_1	C_EQ_1	0.2748438751	0.859809616338
24	1	C_EQ_1	C_EQ_1	0.00026890153722	0.563419567913
24	1	C_EQ_2	C_EQ_1	0.942041712404	0.898914734909
24	1	C_EQ_3	C_EQ_1	0.00026890153722	0.563419567913
25	0	C_EQ_1	C_EQ_1	0.190476190476	0.828237906385
25	1	C_EQ_1	C_EQ_1	0.190476190476	0.810028077172
26	0	C_EQ_1	C_EQ_1	0.669749009247	0.909200726536
26	1	C_EQ_1	C_EQ_1	0.191104410102	0.823105573348
26	1	C_EQ_2	C_EQ_1	0.669749009247	0.851112934334
27	0	C_EQ_1	C_EQ_1	0.0822622107969	0.603142619944
27	1	C_EQ_1	C_EQ_1	0.0822622107969	0.603142619944
28	0	C_EQ_1	C_EQ_1	0.0140186915888	0.666075182197
28	1	C_EQ_1	C_EQ_1	0.0230769230769	0.666075182197
28	1	C_EQ_2	C_EQ_1	0.0193798449612	0.636085354209
29	0	C_EQ_1	C_EQ_1	0.37037037037	0.607212776993
29	1	C_EQ_1	C_EQ_1	0.37037037037	0.595095850209
30	0	C_EQ_1	C_EQ_1	1.0	0.960894881429
30	1	C_EQ_1	C_EQ_1	1.0	0.960894881429
31	0	C_EQ_1	C_EQ_1	0.241935483871	0.898914734909
31	0	C_EQ_1	C_EQ_2	0.241935483871	0.898914734909
