Character Number	State Number	SimJ Score	NIC Score
1	0	1.0	0.893731487402
1	1	0.181818181818	0.833734938283
1	2	1.0	0.86429623498
2	0	0.454545454545	0.812465795156
2	1	0.491228070175	0.940003450881
3	0	0.00500428939091	0.703496852283
3	1	0.00500428939091	0.703496852283
4	0	0.461538461538	0.742317055599
4	1	0.461538461538	0.742317055599
5	0	0.347826086957	0.797197326842
5	1	0.347826086957	0.797197326842
5	2	0.0	0.0
6	0	1.0	0.924292784099
6	1	0.714285714286	0.86429623498
6	2	1.0	0.940003450881
6	3	0	0
6	4	0	0
7	0	0.058568329718	0.833734938283
7	1	0.0805970149254	0.833734938283
8	0	0.688888888889	0.912106644207
8	1	0.0707762557078	0.836399428305
9	0	0.125	0.902149842931
9	1	0.0666666666667	0.902149842931
10	0	1.0	0.893731487402
10	1	0.571428571429	0.833734938283
10	2	1.0	0.893731487402
11	0	1.0	0.874253036256
11	1	1.0	0.912106644207
12	0	0.0	0.0
12	1	0.0	0.0
13	0	0.00215053763441	0.719850011329
13	1	0.00257731958763	0.719850011329
14	0	1.0	0.902149842931
14	1	1.0	0.886439176148
15	0	0.461538461538	0.874253036256
15	1	1.0	0.912106644207
16	0	0.00564174894217	0.681035477487
16	1	0.00564174894217	0.681035477487
17	0	1.0	0.940003450881
17	1	1.0	0.924292784099
18	0	1.0	0.940003450881
18	1	1.0	0.924292784099
19	0	0.142857142857	0.86429623498
19	1	0.1	0.86429623498
19	2	1.0	0.902149842931
20	0	1.0	0.924292784099
20	1	1.0	0.924292784099
21	0	0.141361256545	0.845274784094
21	1	0.647435897436	0.880006901762
22	0	1.0	0.893731487402
22	1	0.555555555556	0.855877879451
23	0	0.000405825855616	0.396914303052
23	1	0.000405825855616	0.396914303052
24	0	0.285714285714	0.886439176148
24	1	0.285714285714	0.886439176148
25	0	0.978260869565	0.902149842931
25	1	0.978260869565	0.902149842931
26	0	0.25	0.842153293812
26	1	1.0	0.940003450881
27	0	0.11753371869	0.61579545174
27	1	0.11753371869	0.61579545174
28	0	0.0415725259828	0.644548225742
28	1	0.0203629924745	0.637674628032
