Character Number	State Number	SimJ Score	NIC Score
159	1	0.0658206065821	0.871646342044
159	0	0.0658206065821	0.871646342044
53	1	0.375	0.852890274135
53	0	0.75	0.852890274135
136	0	0.486842105263	0.900121440571
136	1	0.486842105263	0.900121440571
98	0	1.0	0.910284643142
98	1	0.25	0.877519483337
98	2	0.870967741935	0.910284643142
139	1	0.109311740891	0.787804126479
139	0	0.109311740891	0.787804126479
174	0	1.0	0.900121440571
174	1	1.0	0.900121440571
50	0	0.0153846153846	0.922723397804
50	1	0.0153846153846	0.922723397804
188	2	0.363636363636	0.861483139473
27	0	0.121457489879	0.636931155168
27	1	0.121457489879	0.636931155168
117	1	0.618461538462	0.833008040947
117	0	0.338954468803	0.833008040947
65	0	0.00131420046885	0.581988364375
46	0	0.0739726027397	0.783057150466
6	2	0.754545454545	0.910284643142
6	3	0.257763975155	0.838881182239
6	0	0.754545454545	0.922723397804
6	1	0.558546433378	0.884085096707
6	4	0	0
93	0	0.607843137255	0.900121440571
177	1	1.0	0.910284643142
177	0	1.0	0.910284643142
20	1	1.0	0.938759741668
20	0	1.0	0.938759741668
118	0	1.0	0.861483139473
118	1	1.0	0.861483139473
9	1	0.0287907869482	0.494028846705
110	1	1.0	0.938759741668
110	2	1.0	0.938759741668
71	2	0.00161928751349	0.416768173438
71	1	0.000909752547307	0.493616284212
71	0	0.243902439024	0.74733801293
90	0	0.000958887690279	0.485301449858
90	1	0.000958887690279	0.485301449858
182	1	0.957142857143	0.910284643142
182	0	0.957142857143	0.910284643142
196	0	1.0	0.922723397804
182	2	0.0179801413364	0.764790777818
55	1	0.00358378645576	0.637932558482
55	0	0.00358378645576	0.637932558482
55	2	1.0	0.884085096707
134	2	0.955223880597	0.900121440571
134	0	0.941176470588	0.835867297694
134	1	0.941176470588	0.835867297694
28	1	0.125	0.702736734444
28	0	0.125	0.702736734444
172	0	0.129032258065	0.910284643142
172	1	0.129032258065	0.910284643142
137	1	1.0	0.900121440571
137	0	1.0	0.900121440571
137	2	0.75	0.842067380014
145	0	0.602150537634	0.900121440571
189	0	1.0	0.910284643142
48	2	0.942857142857	0.877519483337
200	0	0.363636363636	0.900121440571
200	1	0.363636363636	0.900121440571
145	1	0.602150537634	0.900121440571
63	0	0.563218390805	0.900121440571
52	0	0.20987654321	0.774627039362
52	1	0.20987654321	0.765616619373
79	1	0.00264262397015	0.47928631233
79	0	0.00264262397015	0.47928631233
154	0	0.871794871795	0.871646342044
154	1	0.871794871795	0.877519483337
44	1	0.781395348837	0.910284643142
44	0	0.540627514079	0.866333439492
77	1	1.0	0.900121440571
175	1	0.10071942446	0.861483139473
175	0	0.10071942446	0.861483139473
119	0	1.0	0.938759741668
184	3	0.341365461847	0.818382994878
181	2	0.0268817204301	0.628932193652
181	0	0.0277777777778	0.628932193652
181	1	0.0260416666667	0.628932193652
95	1	0.147058823529	0.704099718859
95	0	0.147058823529	0.707221023395
22	1	0.555555555556	0.861483139473
22	0	1.0	0.900121440571
112	0	0.533333333333	0.910284643142
112	1	0.148837209302	0.852890274135
47	0	0.714285714286	0.900121440571
47	1	0.729166666667	0.938759741668
92	0	1.0	0.922723397804
92	1	0.666666666667	0.900121440571
21	0	0.141347424042	0.849044384811
21	1	0.981818181818	0.938759741668
119	1	1.0	0.938759741668
77	0	0.00751879699248	0.766454880062
111	1	0.620805369128	0.922723397804
111	0	0.620805369128	0.922723397804
70	2	0.398606153323	0.961361698902
70	3	0.141573033708	0.720690726855
70	0	0.984375	0.910284643142
70	1	0.196187098204	0.922723397804
85	1	0.766666666667	0.866333439492
197	1	0.394957983193	0.938759741668
197	0	0.394957983193	0.938759741668
132	0	0.277227722772	0.838881182239
132	1	0.165680473373	0.838881182239
135	1	0.598039215686	0.861483139473
135	0	0.598039215686	0.861483139473
62	1	0.365853658537	0.922723397804
62	0	0.272727272727	0.884085096707
61	0	1.0	0.845446795609
61	1	1.0	0.838881182239
178	0	0.619047619048	0.922723397804
178	1	0.619047619048	0.938759741668
29	0	0.823529411765	0.842067380014
29	1	0.823529411765	0.842067380014
156	0	0.157303370787	0.699850555076
156	1	0.157303370787	0.695664766617
173	1	1.0	0.910284643142
173	0	1.0	0.910284643142
8	0	1.0	0.922723397804
8	1	1.0	0.910284643142
188	1	1.0	0.922723397804
188	0	1.0	0.900121440571
190	0	0.653846153846	0.827695138394
190	1	0.653846153846	0.900121440571
190	2	0.653846153846	0.900121440571
155	1	1.0	0.922723397804
155	0	0.00215982721382	0.638355178288
45	0	0.321428571429	0.861483139473
45	1	0.321428571429	0.877519483337
198	0	0.0115803814714	0.674261635918
198	1	0.0115803814714	0.674261635918
78	0	1.0	0.900121440571
78	1	1.0	0.900121440571
180	2	0.535211267606	0.900121440571
180	1	0.535211267606	0.900121440571
180	0	0.535211267606	0.810406083713
23	0	3.36471142423e-05	0.389427368949
23	1	3.36471142423e-05	0.389427368949
94	0	0.977272727273	0.910284643142
94	1	0.977272727273	0.910284643142
94	2	1.0	0.900121440571
113	1	0.0307544449784	0.922723397804
113	0	0.0307544449784	0.922723397804
170	2	0.772727272727	0.877519483337
170	0	0.962264150943	0.877519483337
170	1	0.772727272727	0.877519483337
187	0	0.741634925286	0.900121440571
187	1	0.741634925286	0.884085096707
42	1	0.333333333333	0.900121440571
42	0	0.415841584158	0.861483139473
42	2	0.415841584158	0.861483139473
63	1	0.563218390805	0.922723397804
13	1	0.142857142857	0.871646342044
13	0	0.142857142857	0.871646342044
10	0	0.8	0.900121440571
10	1	0.484848484848	0.838881182239
10	2	0.8	0.900121440571
97	1	0.0106942794093	0.60321839136
97	0	0.0106942794093	0.60321839136
192	0	0.166666666667	0.871646342044
24	1	1.0	0.938759741668
24	0	0.285714285714	0.900121440571
199	1	1.0	0.900121440571
93	1	0.607843137255	0.900121440571
199	0	1.0	0.910284643142
185	0	0.00197088784936	0.620441778785
185	1	0.00197088784936	0.620441778785
179	1	0.914285714286	0.891528575233
179	0	0.914285714286	0.891528575233
150	0	0.0	0.0
150	1	0.0	0.0
48	1	1.0	0.922723397804
48	0	0.150220913108	0.842067380014
157	1	1.0	0.861483139473
157	0	1.0	0.861483139473
99	1	0.425	0.900121440571
99	0	0.425	0.900121440571
64	1	0.198477290627	0.922723397804
64	0	0.119387271674	0.884085096707
191	1	0.0	0.0
191	0	0.0	0.0
123	0	0.529411764706	0.910284643142
123	1	0.529411764706	0.910284643142
176	0	0.428571428571	0.861483139473
176	1	0.428571428571	0.861483139473
120	1	0.6875	0.816279225005
120	0	0.6875	0.838881182239
18	0	0.521126760563	0.884085096707
18	1	0.748987854251	0.922723397804
158	0	0.736842105263	0.842067380014
158	1	0.736842105263	0.842067380014
192	1	0.125	0.871646342044
84	1	1.0	0.900121440571
40	2	0.756756756757	0.938759741668
40	1	0.756756756757	0.910284643142
40	0	0.756756756757	0.938759741668
88	1	1.0	0.900121440571
88	0	1.0	0.900121440571
91	1	1.0	0.900121440571
91	0	1.0	0.910284643142
171	1	0.295081967213	0.77561367194
171	0	0.295081967213	0.761604580043
186	1	0.109589041096	0.830288316902
186	0	0.695652173913	0.900121440571
186	3	0.558951965066	0.910284643142
186	2	0.0786026200873	0.446999174876
43	0	0.136791108578	0.938759741668
43	1	0.00394282897979	0.695902478215
43	2	0.00394282897979	0.695902478215
9	0	0.0479233226837	0.494028846705
12	0	0.0	0.0
12	1	0.0	0.0
108	1	0.603305785124	0.961361698902
109	0	0.712643678161	0.814251973038
109	1	0.712643678161	0.816279225005
108	0	0.603305785124	0.961361698902
96	0	1.0	0.900121440571
96	1	1.0	0.900121440571
80	1	1.0	0.900121440571
80	0	1.0	0.900121440571
128	1	1.0	0.861483139473
128	0	1.0	0.866333439492
15	1	1.0	0.922723397804
15	0	1.0	0.922723397804
49	0	0.0102040816327	0.760077271206
49	1	0.0102040816327	0.760077271206
184	2	0.439655172414	0.871646342044
66	1	0.229813664596	0.910284643142
66	0	0.229813664596	0.884085096707
101	0	0.0754716981132	0.644920791658
101	1	0.0688172043011	0.644920791658
83	0	0.645161290323	0.922723397804
83	1	0.645161290323	0.922723397804
25	1	0.149122807018	0.861483139473
39	3	0.0725623582766	0.657145194606
39	2	0.0725623582766	0.657145194606
39	1	0.0570409982175	0.657145194606
39	0	0.020725388601	0.386723534243
46	1	0.0739726027397	0.783057150466
65	1	0.00270824183868	0.581988364375
65	2	0.0064809949203	0.581988364375
65	3	0	0
122	1	0.010752688172	0.758590695498
122	0	0.010752688172	0.758590695498
183	0	0.272727272727	0.871646342044
183	1	0.272727272727	0.871646342044
145	2	0.602150537634	0.910284643142
145	3	0.602150537634	0.900121440571
2	0	0.962264150943	0.857021295976
2	1	0.962264150943	0.938759741668
194	0	0.133171912833	0.729531892315
194	1	0.117270788913	0.729531892315
5	2	0.2	0.857021295976
146	1	0.015037593985	0.69908867599
146	0	0.01246105919	0.69908867599
184	1	0.439655172414	0.852890274135
184	0	0.439655172414	0.884085096707
102	1	1.0	0.891528575233
102	0	0.666666666667	0.861483139473
102	2	1.0	0.900121440571
125	0	0.178452537073	0.910284643142
125	1	0.151054154609	0.922723397804
125	2	0.168910531844	0.891528575233
89	0	0.935185185185	0.910284643142
89	1	0.935185185185	0.910284643142
41	0	0.125	0.861483139473
41	1	1.0	0.938759741668
31	1	0.122727272727	0.900121440571
31	0	0.122727272727	0.900121440571
164	1	1.0	0.910284643142
164	0	0.666666666667	0.877519483337
167	0	0.0101214574899	0.708699711832
167	1	0.0101214574899	0.708699711832
193	1	0.927536231884	0.891528575233
193	0	0.927536231884	0.922723397804
86	1	0.000277392510402	0.462011930152
86	0	0.000277392510402	0.462011930152
196	2	1.0	0.900121440571
17	1	0.440176908752	0.922723397804
17	0	0.440176908752	0.938759741668
196	1	0.415584415584	0.900121440571
32	0	0.488372093023	0.900121440571
32	1	0.488372093023	0.900121440571
5	1	0.97619047619	0.877519483337
5	0	0.97619047619	0.910284643142
81	0	0.977272727273	0.910284643142
81	1	0.977272727273	0.910284643142
1	1	0.571428571429	0.838881182239
1	0	1.0	0.900121440571
1	2	1.0	0.871646342044
14	0	1.0	0.910284643142
14	1	1.0	0.891528575233
60	1	0.461538461538	0.900121440571
60	0	0.333333333333	0.822844838375
107	0	0.0933333333333	0.884085096707
107	1	0.235507246377	0.877519483337
67	0	0.666666666667	0.884085096707
67	1	1.0	0.922723397804
72	0	0.0511551155116	0.791650015804
72	1	0.0403645833333	0.791650015804
100	1	0.786885245902	0.871646342044
100	0	0.786885245902	0.877519483337
38	2	0.482142857143	0.838881182239
38	0	0.571428571429	0.884085096707
38	1	1.0	0.866333439492
68	1	0.00160069848661	0.723745918023
68	0	0.00232705733023	0.723745918023
127	2	0.327516778523	0.597268509086
127	0	0.238106855331	0.938759741668
144	0	0.0417754569191	0.526327086836
161	0	1.0	0.891528575233
161	1	1.0	0.910284643142
124	1	0.112781954887	0.900121440571
124	0	0.112781954887	0.910284643142
169	0	0.384133611691	0.866333439492
169	1	0.713178294574	0.910284643142
30	0	0.408633093525	0.871646342044
30	1	0.408633093525	0.871646342044
143	0	0.788461538462	0.830288316902
143	1	0.788461538462	0.871646342044
166	2	0.588235294118	0.822844838375
166	1	0.649122807018	0.900121440571
166	0	0.632653061224	0.825217251107
153	1	0.935483870968	0.884085096707
153	0	0.935483870968	0.884085096707
16	0	0.00644122383253	0.691330795697
16	1	0.00644122383253	0.691330795697
87	0	0.882352941176	0.785380123474
87	1	0.882352941176	0.784206537277
114	0	0.284289276808	0.884085096707
114	1	0.247826086957	0.884085096707
37	1	0.5	0.842067380014
37	0	0.5	0.827695138394
106	1	0.00231213872832	0.670061410734
106	0	0.00277060638499	0.670061410734
4	0	1.0	0.938759741668
4	1	1.0	0.938759741668
19	1	0.976470588235	0.801813218375
19	0	0.976470588235	0.801813218375
19	2	0.976470588235	0.830288316902
110	0	1.0	0.938759741668
84	0	1.0	0.900121440571
57	1	0.42328042328	0.861483139473
57	0	0.93023255814	0.910284643142
11	1	1.0	0.922723397804
11	0	1.0	0.884085096707
121	0	1.0	0.910284643142
121	1	0.714285714286	0.877519483337
126	1	1.0	0.900121440571
126	0	1.0	0.900121440571
105	0	0.670082893745	0.961361698902
105	1	0.670082893745	0.961361698902
150	2	0.0	0.0
54	0	0.00773694390716	0.757142736547
54	1	0.00773694390716	0.757142736547
202	0	0.819444444444	0.900121440571
202	1	0.819444444444	0.900121440571
201	1	0.75	0.838881182239
201	0	0.75	0.838881182239
201	2	1.0	0.900121440571
141	0	0.0376940133038	0.816279225005
141	1	0.0373352855051	0.729531892315
129	0	0.616438356164	0.922723397804
3	1	0.00361532899494	0.706929935082
3	0	0.00361532899494	0.706929935082
