Character Number	State Number	SimJ Score	NIC Score
1	0	1.0	0.893731487402
1	1	1.0	0.874253036256
1	2	1.0	0.86429623498
2	0	0.454545454545	0.812465795156
2	1	0.454545454545	0.912106644207
3	0	0.18281535649	0.962146392049
3	1	0.18281535649	0.962146392049
4	0	0.461538461538	0.742317055599
4	1	0.461538461538	0.742317055599
5	0	0.235294117647	0.786359680462
5	1	0.340425531915	0.797197326842
5	2	0.0	0.0
6	0	0.758928571429	0.912106644207
6	1	0.758928571429	0.924292784099
6	2	0.916666666667	0.924292784099
6	3	0	0
6	4	0	0
7	0	0.6	0.962146392049
7	1	0.0964187327824	0.859925005664
8	0	0.688888888889	0.912106644207
8	1	0.0707762557078	0.836399428305
9	0	0.140762463343	0.540692482017
9	1	0.096	0.540692482017
10	0	0.85	0.893731487402
10	1	0.85	0.912106644207
10	2	0.85	0.893731487402
11	0	1.0	0.874253036256
11	1	1.0	0.940003450881
12	0	1.0	0.902149842931
12	1	1.0	0.880006901762
13	0	0.00431034482759	0.722498346577
13	1	0.00516795865633	0.722498346577
14	0	1.0	0.902149842931
14	1	1.0	0.886439176148
15	0	0.461538461538	0.874253036256
15	1	1.0	0.912106644207
16	0	0.288	0.902149842931
16	1	0.288	0.902149842931
17	0	0.441621029573	0.924292784099
17	1	0.441621029573	0.912106644207
18	0	0.522696011004	0.874253036256
18	1	0.751582278481	0.912106644207
19	0	0.14096185738	0.560080735485
19	1	0.0987224157956	0.560080735485
19	2	0.977011494253	0.807421176144
20	0	1.0	0.924292784099
20	1	1.0	0.924292784099
21	0	1.0	0.902149842931
21	1	1.0	0.902149842931
22	0	1.0	0.893731487402
22	1	1.0	0.924292784099
23	0	0.0377292089435	0.845274784094
23	1	0.0377292089435	0.845274784094
24	0	1.0	0.940003450881
24	1	0.285714285714	0.886439176148
25	0	0.147826086957	0.848585568197
25	1	0.147826086957	0.836399428305
26	0	0.216393442623	0.833734938283
26	1	0.800970873786	0.924292784099
27	0	0.896551724138	0.869048031776
27	1	0.896551724138	0.869048031776
28	0	0.0102086107412	0.63453719287
28	1	0.0102816271793	0.63453719287
29	0	0.19298245614	0.63215088649
29	1	0.2	0.605606789321
30	0	0.666666666667	0.886439176148
30	1	0.571428571429	0.886439176148
31	0	0.428571428571	0.924292784099
31	1	0.428571428571	0.924292784099
