Character Number	State Number	SimJ Partial Precision
1	0	0.501307189542
1	1	0.50067704807
1	2	0.50067704807
2	0	0.454545454545
2	1	0.268252568131
3	0	0.493722668924
3	1	0.493722668924
4	0	0.399141630901
4	1	0.399141630901
5	0	0.264822134388
5	1	0.264822134388
5	2	0.0
6	0	1.0
6	1	1.0
6	2	1.0
6	3	0.0
6	4	0.0
7	0	0.0746268656716
7	1	0.102040816327
8	0	0.688888888889
8	1	0.0707762557078
9	0	0.5
9	1	0.333333333333
10	0	0.85
10	1	0.85
10	2	0.85
11	0	1.0
11	1	1.0
12	0	1.0
12	1	1.0
13	0	0.389705882353
13	1	0.630952380952
14	0	1.0
14	1	1.0
15	0	0.461538461538
15	1	1.0
16	0	1.0
16	1	1.0
17	0	0.666666666667
17	1	1.0
18	0	0.666666666667
18	1	1.0
19	0	0.5
19	1	1.0
19	2	1.0
20	0	1.0
20	1	1.0
21	0	1.0
21	1	1.0
22	0	1.0
22	1	1.0
23	0	0.117145370949
23	1	0.117145370949
24	0	0.285714285714
24	1	0.285714285714
25	0	0.978260869565
25	1	0.978260869565
26	0	1.0
26	1	1.0
27	0	0.096214511041
27	1	0.096214511041
28	0	0.0102086107412
28	1	0.0393498716852
29	0	0.210526315789
29	1	0.203703703704
30	0	0.666666666667
30	1	0.571428571429
31	0	0.122727272727
31	1	0.122727272727
32	0	0.528735632184
32	1	0.528735632184
33	0	1.0
33	1	1.0
33	2	0.857142857143
33	3	0.777777777778
33	4	1.0
34	0	1.0
34	1	1.0
34	2	1.0
34	3	1.0
35	0	1.0
35	1	1.0
36	0	0.333333333333
36	1	1.0
37	0	0.68
37	1	0.68
38	0	0.435897435897
38	1	0.380597014925
38	2	0.75
39	0	0.10985915493
39	1	0.351736002502
39	2	0.405920376481
39	3	0.364816482871
40	0	1.0
40	1	1.0
40	2	1.0
41	0	0.341404358354
41	1	0.341404358354
42	0	1.0
42	1	1.0
42	2	1.0
43	0	0.00696398424311
43	1	0.00734394124847
43	2	0.0072202166065
44	0	0.239554317549
44	1	0.318518518519
45	0	0.5
45	1	0.6
46	0	0.830357142857
46	1	0.830357142857
47	0	0.666666666667
47	1	0.733333333334
48	0	0.4
48	1	1.0
48	2	1.0
49	0	1.0
49	1	1.0
50	0	0.0
50	1	0.0
51	0	0.0119622728318
51	1	0.0119622728318
51	2	1.0
52	0	0.2
52	1	0.2
53	0	1.0
53	1	1.0
54	0	0.666666666667
54	1	0.666666666667
55	0	0.25
55	1	0.25
55	2	1.0
56	0	1.0
56	1	1.0
57	0	0.611111111111
57	1	0.611111111111
58	0	0.78125
58	1	0.78125
59	0	1.0
59	1	1.0
60	0	0.607142857143
