Character Number	State Number	SimJ Partial Precision
1	0	0.501307189542
1	1	0.0922162804515
1	2	0.50067704807
2	0	0.454545454545
2	1	0.458847585163
3	0	0.00500428939091
3	1	0.00500428939091
4	0	0.461538461538
4	1	0.461538461538
5	0	0.264822134388
5	1	0.264822134388
5	2	0.0
6	0	1.0
6	1	0.5
6	2	0.594029850747
6	3	0.0
6	4	0.0
7	0	0.058568329718
7	1	0.0805970149254
8	0	0.688888888889
8	1	0.0701657789371
9	0	0.125
9	1	0.0666666666667
10	0	1.0
10	1	0.571428571429
10	2	1.0
11	0	1.0
11	1	0.636363636364
12	0	0.0
12	1	0.0
13	0	0.00215053763441
13	1	0.00257731958763
14	0	1.0
14	1	1.0
15	0	0.461538461538
15	1	1.0
16	0	0.00564174894217
16	1	0.00564174894217
17	0	1.0
17	1	1.0
18	0	1.0
18	1	1.0
19	0	0.142857142857
19	1	0.1
19	2	1.0
20	0	1.0
20	1	1.0
21	0	0.141361256545
21	1	0.647435897436
22	0	1.0
22	1	0.555555555556
23	0	0.000405825855616
23	1	0.000405825855616
24	0	0.285714285714
24	1	0.285714285714
25	0	0.978260869565
25	1	0.978260869565
26	0	0.25
26	1	1.0
27	0	0.11753371869
27	1	0.11753371869
28	0	0.0415725259828
28	1	0.0203629924745
29	0	0.206896551724
29	1	0.19298245614
30	0	0.406779661017
30	1	0.666666666667
31	0	0.122727272727
31	1	0.122727272727
32	0	0.385714285714
32	1	0.385714285714
33	0	1.0
33	1	1.0
33	2	0.857142857143
33	3	0.722222222222
33	4	1.0
34	0	0.740384615385
34	1	0.740384615385
34	2	0.740384615385
34	3	0.740384615385
35	0	0.966292134831
35	1	0.966292134831
36	0	0.219428571429
36	1	0.228571428571
37	0	0.485714285714
37	1	0.485714285714
38	0	0.675
38	1	0.547297297297
38	2	0.75
39	0	0.020725388601
39	1	0.0626217367154
39	2	0.0764626605359
39	3	0.0764296524785
40	0	0.737479131886
40	1	0.780821917808
40	2	0.737479131886
41	0	0.0369729154612
41	1	0.341404358354
42	0	0.450625869263
42	1	0.358090185676
42	2	0.450625869263
43	0	0.0095087163233
43	1	0.00199079008225
43	2	0.00197521996768
44	0	0.267394270123
44	1	0.358187134503
45	0	0.122222222222
45	1	0.139240506329
46	0	0.0760780703077
46	1	0.0760780703077
47	0	0.666666666667
47	1	0.534725444703
48	0	0.10153256705
48	1	0.698005527253
48	2	0.56455399061
49	0	0.010752688172
49	1	0.010752688172
50	0	0.0
50	1	0.0
51	0	0.461538461538
51	1	0.461538461538
51	2	1.0
52	0	0.2
52	1	0.2
53	0	0.75
53	1	0.375
54	0	0.00773694390716
54	1	0.00773694390716
55	0	0.00352112676056
55	1	0.00349066718651
55	2	1.0
56	0	1.0
56	1	1.0
57	0	0.367483296214
57	1	0.297968397291
58	0	0.0685714285714
58	1	0.1806271777
59	0	0.426426426426
59	1	1.0
60	0	0.397435897436
60	1	0.461538461538
61	0	1.0
61	1	1.0
62	0	0.194690265487
62	1	0.255813953488
63	0	0.554347826087
63	1	0.3534070969
64	0	0.00330833700926
64	1	0.076427996782
65	0	0.00158775393885
65	1	0.00297460147967
65	2	0.00225565434632
65	3	0.0
66	0	0.164556962025
66	1	0.164556962025
67	0	0.666666666667
67	1	1.0
68	0	0.368421052632
68	1	0.368421052632
69	0	0.11811023622
69	1	0.11811023622
70	0	0.985294117647
70	1	0.0449119967631
70	2	0.0762307525483
70	3	0.13837535014
71	0	0.133333333333
71	1	0.000420659266985
71	2	0.00113277804085
72	0	0.0517799352751
72	1	0.0409207161125
73	0	0.0932642487047
73	1	0.0703125
74	0	0.631578947368
74	1	0.631578947368
75	0	0.964788732395
75	1	0.964788732395
76	0	0.0401632734815
76	1	0.0401632734815
77	0	0.00724637681159
77	1	0.590909090909
78	0	1.0
78	1	1.0
79	0	0.00256797583082
79	1	0.00256797583082
80	0	1.0
80	1	1.0
81	0	0.955555555556
81	1	0.955555555556
82	0	0.673632880529
82	1	0.673632880529
82	2	0.625
83	0	0.636139967195
83	1	0.636139967195
84	0	1.0
84	1	1.0
85	0	0.918402777778
85	1	0.841869212963
85	2	0.958333333333
86	0	0.0185185185185
86	1	0.0185185185185
87	0	0.255813953488
87	1	0.255813953488
88	0	1.0
88	1	1.0
89	0	0.927927927928
89	1	0.927927927928
90	0	0.000962800875274
90	1	0.000962800875274
91	0	0.166883963494
91	1	1.0
92	0	0.557165861514
92	1	0.495359993709
93	0	1.0
93	1	1.0
94	0	0.977528089888
94	1	0.977528089888
94	2	1.0
95	0	0.142857142857
95	1	0.142857142857
96	0	1.0
96	1	1.0
97	0	0.0104321907601
97	1	0.0104321907601
98	0	0.766666666667
98	1	0.66091954023
98	2	0.569682459677
99	0	0.416666666667
99	1	0.416666666667
100	0	0.254385964912
100	1	0.254385964912
101	0	0.0783410138249
101	1	0.744897959184
102	0	0.256779661017
102	1	1.0
102	2	1.0
103	0	0.00244604316547
103	1	0.0020415515792
104	0	1.0
104	1	0.563492063493
105	0	0.317796610169
105	1	0.714285714286
106	0	0.0486050066672
106	1	0.0483771216412
107	0	0.346153846154
107	1	0.233968804159
108	0	0.00168613989496
108	1	0.00168613989496
109	0	0.704545454545
109	1	0.704545454545
110	0	0.931034482759
110	1	0.931034482759
110	2	0.931034482759
111	0	0.150426309379
111	1	0.150426309379
112	0	0.295535242124
112	1	0.351087771943
113	0	0.039603960396
113	1	0.039603960396
114	0	0.20253164557
114	1	0.180112570356
115	0	0.249130105513
115	1	0.504615384615
115	2	0.379594450073
115	3	0.0
116	0	0.13810741688
116	1	0.15845768195
117	0	0.318622247592
117	1	0.557003760754
118	0	1.0
118	1	1.0
119	0	1.0
119	1	1.0
120	0	0.593984962406
120	1	0.593984962406
121	0	0.0869565217391
121	1	0.0952380952381
122	0	0.00811808118081
122	1	0.00811808118081
123	0	0.555555555555
123	1	1.0
124	0	0.079536039768
124	1	0.115942028986
125	0	0.00532856502236
125	1	0.113760684107
125	2	0.234755933709
126	0	1.0
126	1	1.0
127	0	0.0771958564201
127	1	0.434152094838
127	2	0.344827586207
128	0	1.0
128	1	1.0
129	0	0.0875927195818
129	1	0.09404644848
130	0	0.0264900662252
130	1	0.0515334338864
131	0	0.0360561684141
131	1	0.0312738110501
132	0	0.279742765273
132	1	0.166347992352
133	0	0.324805815725
133	1	0.557383346515
134	0	0.955882352941
134	1	0.955882352941
134	2	0.955882352941
135	0	0.612612612613
135	1	0.612612612613
136	0	0.493670886076
136	1	0.493670886076
137	0	1.0
137	1	1.0
137	2	0.00978792822186
138	0	0.733333333333
138	1	0.733333333333
139	0	0.109170305677
