Character Number	State Number	SimJ Partial Precision
24	1	0.0955397543632
24	0	1.0
25	1	0.149122807018
25	0	0.149122807018
26	1	0.269503546099
26	0	0.0927960927961
27	1	0.883720930233
27	0	0.883720930233
20	1	1.0
20	0	1.0
21	1	0.823717948718
21	0	1.0
22	1	1.0
22	0	1.0
23	1	0.0369384679514
23	0	0.0369384679514
28	1	0.0102451189603
28	0	0.0102086107412
29	1	0.2
29	0	0.19298245614
40	1	0.923076923077
40	0	0.430520655442
40	2	0.430520655442
41	1	0.348822539949
41	0	0.348822539949
1	1	0.5
1	0	0.5
1	2	0.5
3	1	0.154607297464
3	0	0.154607297464
2	1	0.318763326226
2	0	0.428571428571
5	1	0.207779863024
5	0	0.153777598412
5	2	0.0
4	1	0.4575
4	0	0.4575
7	1	0.0947075208914
7	0	0.328221251394
6	1	0.737381411947
6	0	0.686962700098
6	3	0.0
6	2	0.544247587677
6	4	0.0
9	1	0.0975609756098
9	0	0.2
8	1	0.0689655172414
8	0	0.666666666667
13	1	0.00537551835356
13	0	0.00448373046375
12	1	1.0
12	0	1.0
11	1	1.0
11	0	1.0
10	1	0.5
10	0	0.5
10	2	0.5
39	1	0.333333333333
39	0	0.714285714286
39	3	0.333333333333
39	2	0.333333333333
38	1	0.180212014134
38	0	0.4
38	2	0.373271889401
15	1	1.0
15	0	0.448507579309
14	1	1.0
14	0	1.0
17	1	0.213494445015
17	0	0.213494445015
16	1	0.302521008403
16	0	0.302521008403
19	1	0.0979929161747
19	0	0.139495798319
19	2	0.954022988506
18	1	0.732963549921
18	0	0.511402902557
31	1	0.428571428571
31	0	0.428571428571
30	1	0.549785075048
30	0	0.637392263388
37	1	0.67
37	0	0.67
36	1	0.294642857143
36	0	0.175298804781
35	1	1.0
35	0	1.0
34	1	0.914548078999
34	0	0.921568627451
34	3	0.829485284341
34	2	0.907527530548
33	1	1.0
33	0	0.553322166387
33	3	0.774509803921
33	2	0.854271356784
33	4	1.0
32	1	0.505747126437
32	0	0.505747126437
