Character Number	State Number	SimJ Partial Precision
1	0	0.0582307075839
1	1	0.231365416013
1	2	0.156307213312
2	0	0.0
2	1	0.0
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.0
5	1	0.0
5	2	0.0
6	0	0.501240694789
6	1	0.5
6	2	0.36891142664
6	3	0.0
6	4	0.0
7	0	0.0
7	1	0.0
8	0	0.0
8	1	0.0
9	0	0.0
9	1	0.0300751879699
10	0	0.0
10	1	0.0
10	2	0.0
11	0	0.0
11	1	0.0
12	0	0.0
12	1	0.102564102564
13	0	0.00431034482759
13	1	0.0
14	0	2.55996723242e-05
14	1	0.451612903226
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.00230946882217
17	1	0.00230946882217
18	0	0.00221344819335
18	1	0.00221344819335
19	0	0.0
19	1	0.0
19	2	0.0
20	0	0.0
20	1	0.0
21	0	0.0
21	1	0.183486238532
22	0	0.0
22	1	0.0
23	0	0.0
23	1	0.0
24	0	0.0
24	1	0.0
25	0	0.0
25	1	0.0
26	0	0.00175175175175
26	1	0.625
27	0	0.0
27	1	0.0
28	0	0.0
28	1	0.00723327305606
29	0	0.0
29	1	0.0
30	0	0.0
30	1	0.00168959691045
31	0	0.0
31	1	0.0
32	0	0.0
32	1	0.0
33	0	0.0
33	1	0.808823529412
33	2	0.0
33	3	0.65
33	4	1.0
34	0	0.0
34	1	0.0
34	2	0.0
34	3	0.0
35	0	0.0
35	1	0.0
36	0	0.145833333333
36	1	0.221480843737
37	0	0.176470588235
37	1	0.5
38	0	0.387096774194
38	1	0.309012875536
38	2	0.309012875536
39	0	0.0
39	1	0.0
39	2	0.0
39	3	0.0
40	0	0.00217138817351
40	1	0.438775510204
40	2	0.00217138817351
41	0	0.0
41	1	0.169372165195
42	0	0.0
42	1	0.0
42	2	0.0
43	0	0.0
43	1	0.167441860465
43	2	0.0875912408759
44	0	0.0130881894671
44	1	0.0130881894671
45	0	0.0
45	1	0.142857142857
46	0	0.047845977888
46	1	0.047845977888
47	0	0.00233644859813
47	1	0.018411490222
48	0	0.0
48	1	0.24382844223
48	2	0.503057960839
49	0	0.0
49	1	0.0
50	0	0.0
50	1	0.0
51	0	0.0
51	1	0.0
51	2	0.0
52	0	0.0
52	1	0.0
53	0	0.0
53	1	0.0
54	0	0.0106485963214
54	1	0.0106485963214
55	0	0.0
55	1	0.0035028955634
55	2	1.0
56	0	0.0
56	1	0.0
57	0	0.374149659864
57	1	0.0
58	0	0.0
58	1	0.0
59	0	0.0
59	1	0.0
60	0	1.0
60	1	0.105263157895
61	0	0.946808510638
61	1	0.946808510638
62	0	0.0
62	1	0.0
63	0	1.0
63	1	0.502840909091
64	0	0.0
64	1	0.0
65	0	0.00159489633174
65	1	0.00298507462687
65	2	0.00226194670383
65	3	0.0
66	0	0.0
66	1	0.0
67	0	0.00183146576341
67	1	0.00183146576341
68	0	0.0
68	1	0.693181818182
69	0	0.0
69	1	0.0
70	0	0.290909090909
70	1	0.0014712597027
70	2	0.00191786257523
70	3	0.00590128755365
71	0	1.0
71	1	0.00285347064482
71	2	0.00233855036305
72	0	0.0
72	1	0.0
73	0	0.0643564356436
