Character Number	State Number	SimJ Partial Recall
66	1	0.000614225461693
66	0	0.000735618655289
133	1	0.811728395062
133	0	0.927777777778
132	1	0.269230769231
132	0	0.269230769231
131	1	0.040089402896
131	0	0.0403210398391
130	1	0.0759258691048
130	0	0.00610820244328
137	1	1.0
137	0	1.0
137	2	1.0
136	1	1.0
136	0	1.0
135	1	0.55
135	0	0.55
134	1	0.820512820513
134	0	0.820512820513
134	2	0.820512820513
139	1	0.818181818182
139	0	0.818181818182
138	1	1.0
138	0	1.0
93	1	0.395744680851
93	0	0.607843137255
24	1	0.267341377968
24	0	0.267341377968
25	1	0.9
25	0	0.9
26	1	0.501321194046
26	0	0.214111922141
27	1	0.118577075099
27	0	0.118577075099
20	1	0.671428571428
20	0	0.671428571428
21	1	0.142857142857
21	0	0.142857142857
22	1	1.0
22	0	1.0
23	1	0.1380798274
23	0	0.1380798274
95	1	0.326530612245
95	0	0.326530612245
28	1	0.8
28	0	0.465753424658
29	1	0.254901960784
29	0	0.245283018868
94	1	0.781609195402
94	0	0.781609195402
94	2	1.0
4	1	0.4
4	0	0.0126582278481
8	1	0.0997493058134
8	0	0.677093973442
96	1	1.0
96	0	1.0
68	1	0.828947368421
68	0	0.828947368421
120	1	0.838383838384
120	0	0.838383838384
121	1	0.0185567010309
121	0	0.0167286245353
122	1	0.00791826309068
122	0	0.00791826309068
123	1	0.159090909091
123	0	0.169289044289
124	1	0.67619047619
124	0	0.365351629503
125	1	0.180219247157
125	0	0.30559614981
125	2	0.00297526375416
126	1	1.0
126	0	1.0
127	1	0.485733854601
127	0	0.045582316497
127	2	0.168612191958
128	1	1.0
128	0	1.0
129	1	0.763736263736
129	0	0.518534798535
69	1	0.214285714286
69	0	0.214285714286
91	1	1.0
91	0	0.158940397351
59	1	1.0
59	0	0.405612244898
58	1	0.0934873949581
58	0	0.151260504202
55	1	0.00356271732886
55	0	0.00353488372093
55	2	0.966101694915
54	1	0.0106692531523
54	0	0.0106692531523
57	1	0.254473161034
57	0	0.37558685446
56	1	1.0
56	0	1.0
51	1	0.0208421948107
51	0	0.0208421948107
51	2	0.960784313725
50	1	0.0
50	0	0.0
53	1	1.0
53	0	1.0
52	1	0.240506329114
