Character Number	State Number	SimJ Partial Recall
1	0	0.5
1	1	0.5
1	2	0.5
2	0	0.454545454545
2	1	0.330213903743
3	0	0.18281535649
3	1	0.18281535649
4	0	0.461538461538
4	1	0.461538461538
5	0	0.150704910063
5	1	0.203270617197
5	2	0.0
6	0	0.706891096192
6	1	0.758928571429
6	2	0.560357577579
6	3	0.0
6	4	0.0
7	0	0.335787321063
7	1	0.0964187327824
8	0	0.688888888889
8	1	0.0707762557078
9	0	0.140762463343
9	1	0.096
10	0	0.85
10	1	0.85
10	2	0.85
11	0	1.0
11	1	1.0
12	0	1.0
12	1	1.0
13	0	0.00431034482759
13	1	0.00516795865633
14	0	1.0
14	1	1.0
15	0	0.461538461538
15	1	1.0
16	0	0.288
16	1	0.288
17	0	0.225078640641
17	1	0.225078640641
18	0	0.522696011004
18	1	0.751582278481
19	0	0.14096185738
19	1	0.0987224157956
19	2	0.977011494253
20	0	1.0
20	1	1.0
21	0	1.0
21	1	0.823717948718
22	0	1.0
22	1	1.0
23	0	0.0377292089435
23	1	0.0377292089435
24	0	1.0
24	1	0.0955397543632
25	0	0.147826086957
25	1	0.147826086957
26	0	0.216393442623
26	1	0.800970873786
27	0	0.896551724138
27	1	0.896551724138
28	0	0.0102086107412
28	1	0.0102451189603
29	0	0.19298245614
29	1	0.2
30	0	0.666666666667
30	1	0.571428571429
31	0	0.428571428571
31	1	0.428571428571
32	0	0.528735632184
32	1	0.528735632184
33	0	0.555555555555
33	1	1.0
33	2	0.857142857143
33	3	0.777777777778
33	4	1.0
34	0	0.950980392157
34	1	0.950980392157
34	2	0.950980392157
34	3	0.862047050489
35	0	1.0
35	1	1.0
36	0	0.193181818182
36	1	0.320754716981
37	0	0.67
37	1	0.67
38	0	0.425
38	1	0.178321678322
38	2	0.368181818182
39	0	0.714285714286
39	1	0.333333333333
39	2	0.333333333333
39	3	0.333333333333
40	0	0.444512012834
40	1	0.938461538462
40	2	0.444512012834
41	0	0.341404358354
41	1	0.341404358354
42	0	1.0
42	1	1.0
42	2	1.0
43	0	0.0067383610128
43	1	0.435356200528
43	2	0.214007782101
44	0	0.318518518519
44	1	0.318518518519
45	0	0.0608108108108
45	1	0.0656934306569
46	0	0.444790963227
46	1	0.444790963227
47	0	0.503391734987
47	1	0.425163671384
48	0	0.4
48	1	1.0
48	2	1.0
49	0	0.948717948718
49	1	0.948717948718
50	0	0.0810810810811
50	1	0.0810810810811
51	0	0.015873015873
51	1	0.015873015873
51	2	1.0
52	0	0.878048780488
52	1	0.878048780488
53	0	1.0
53	1	1.0
54	0	0.666666666667
54	1	0.666666666667
55	0	0.25
55	1	0.25
55	2	1.0
56	0	1.0
56	1	1.0
57	0	0.374149659864
57	1	0.611111111111
58	0	0.12315270936
58	1	0.78125
59	0	1.0
59	1	1.0
60	0	0.833333333334
60	1	1.0
61	0	1.0
61	1	1.0
62	0	0.212468791306
62	1	0.212468791306
63	0	1.0
63	1	0.611111111111
64	0	0.0422473684009
64	1	0.0870627287159
65	0	0.8
65	1	0.73607748184
65	2	0.00706713780919
65	3	0.0
66	0	0.375
66	1	0.375
67	0	1.0
67	1	1.0
68	0	0.00115355906901
68	1	0.000793021411578
69	0	0.0827423167849
69	1	0.0827423167849
70	0	1.0
70	1	0.0400771600495
70	2	0.132739835238
70	3	0.00480562329651
71	0	0.166666666667
71	1	0.0606060606061
71	2	0.0606060606061
72	0	0.929411764706
72	1	0.929411764706
73	0	0.911111111111
73	1	0.911111111111
74	0	1.0
74	1	1.0
75	0	0.985294117647
75	1	0.985294117647
76	0	0.576986232159
76	1	0.576986232159
77	0	1.0
77	1	1.0
78	0	1.0
78	1	1.0
79	0	1.0
79	1	1.0
80	0	1.0
80	1	1.0
81	0	0.955555555556
81	1	0.955555555556
82	0	0.740740740741
82	1	0.75
82	2	0.833333333334
83	0	1.0
83	1	1.0
84	0	1.0
84	1	1.0
85	0	0.741935483871
85	1	0.609955250283
85	2	0.741935483871
86	0	0.0131561101316
86	1	0.0131561101316
87	0	0.255813953488
87	1	0.255813953488
88	0	1.0
88	1	1.0
89	0	1.0
89	1	1.0
90	0	1.0
90	1	1.0
91	0	0.166883963494
91	1	1.0
92	0	0.904761904762
92	1	0.780141843972
93	0	0.476923076923
93	1	0.476923076923
94	0	1.0
94	1	1.0
94	2	1.0
95	0	0.974358974359
95	1	0.974358974359
96	0	1.0
96	1	1.0
97	0	0.65625
97	1	0.65625
98	0	0.766666666667
98	1	0.189300411523
98	2	0.766666666667
99	0	1.0
99	1	1.0
100	0	0.306306306306
100	1	0.306306306306
101	0	1.0
101	1	0.0597539543058
102	0	0.7
102	1	1.0
102	2	1.0
103	0	0.25
103	1	0.571428571429
104	0	1.0
104	1	1.0
105	0	0.285342208074
105	1	0.651082937137
106	0	0.666666666667
106	1	0.714285714286
107	0	0.452380952381
107	1	0.111111111111
108	0	0.407238292535
108	1	0.407238292535
109	0	1.0
109	1	1.0
110	0	0.931034482759
110	1	0.931034482759
110	2	0.931034482759
111	0	0.219566840926
111	1	0.219566840926
112	0	0.479249415346
112	1	0.0932271405372
113	0	0.274342803934
113	1	0.274342803934
114	0	0.279069767442
114	1	0.375
115	0	0.833333333334
115	1	0.833333333334
115	2	0.777777777778
115	3	0.666666666667
116	0	1.0
116	1	0.916666666666
117	0	1.0
117	1	1.0
118	0	1.0
118	1	1.0
119	0	1.0
119	1	1.0
120	0	0.957446808511
120	1	0.957446808511
121	0	0.0869565217391
121	1	0.0952380952381
122	0	0.358695652174
122	1	0.492537313433
123	0	0.514285714286
123	1	0.514285714286
124	0	0.461538461538
124	1	1.0
125	0	0.404915648633
125	1	0.30689189032
125	2	0.302013422819
126	0	1.0
126	1	1.0
127	0	0.144142322854
127	1	0.456473257402
127	2	0.425269645609
128	0	1.0
128	1	1.0
129	0	0.301037510832
129	1	0.524369747899
130	0	0.33488372093
130	1	0.162604234906
131	0	0.308019759488
131	1	0.329004769364
132	0	1.0
132	1	1.0
133	0	0.41768707483
133	1	0.71768707483
134	0	0.985294117647
134	1	0.985294117647
134	2	1.0
135	0	0.961538461538
135	1	0.961538461538
136	0	1.0
136	1	1.0
137	0	1.0
137	1	1.0
137	2	0.00978792822186
138	0	0.733333333333
138	1	0.733333333333
139	0	1.0
139	1	1.0
140	0	0.617647058824
140	1	0.53164556962
141	0	0.554347826087
141	1	0.361417322835
142	0	1.0
142	1	1.0
142	2	1.0
143	0	1.0
143	1	1.0
144	0	1.0
144	1	1.0
145	0	0.659574468085
145	1	0.659574468085
145	2	0.659574468085
145	3	0.659574468085
146	0	0.47355163728
146	1	0.549707602339
147	0	0.931034482759
147	1	0.931034482759
148	0	1.0
148	1	1.0
148	2	1.0
149	0	1.0
149	1	1.0
150	0	0.0
150	1	0.0
150	2	0.0
150	3	0.0
151	0	0.722222222222
151	1	0.722222222222
152	0	0.47619047619
152	1	0.47619047619
153	0	0.220469552457
153	1	0.220469552457
154	0	1.0
154	1	1.0
155	0	0.5
155	1	1.0
156	0	0.166666666667
156	1	0.166666666667
157	0	1.0
157	1	1.0
158	0	0.196428571429
158	1	0.196428571429
159	0	0.149102370837
159	1	0.386913229018
160	0	0.228571428571
160	1	0.228571428571
161	0	1.0
161	1	1.0
162	0	0.938775510204
162	1	0.938775510204
163	0	1.0
163	1	1.0
164	0	1.0
164	1	1.0
165	0	0.314993481095
165	1	1.0
166	0	0.658536585366
166	1	0.458128078818
166	2	0.837837837838
167	0	0.986486486486
167	1	0.986486486486
168	0	1.0
168	1	0.0062893081761
169	0	0.217391304348
169	1	0.0776836158192
170	0	1.0
170	1	1.0
170	2	1.0
171	0	1.0
171	1	1.0
172	0	1.0
172	1	1.0
173	0	1.0
173	1	1.0
174	0	1.0
174	1	1.0
175	0	0.5125
175	1	0.8125
176	0	0.857142857143
176	1	0.857142857143
177	0	1.0
177	1	1.0
178	0	0.536585365854
178	1	0.272216761965
179	0	0.390243902439
179	1	0.390243902439
180	0	1.0
180	1	1.0
180	2	1.0
181	0	0.331905093631
181	1	0.225719120135
181	2	0.283979631806
182	0	0.945205479452
182	1	0.945205479452
182	2	0.0178926441352
183	0	0.188811188811
183	1	0.122171945701
184	0	0.936708860759
184	1	0.936708860759
184	2	0.936708860759
184	3	0.675182481752
