Character Number	State Number	SimJ Partial Recall
1	0	0.0140692640692
1	1	0.0764705882353
1	2	0.0514511873352
2	0	0.0
2	1	0.0
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.115942028986
5	1	0.115942028986
5	2	0.0
6	0	0.38338028169
6	1	0.194188142963
6	2	0.1751473003
6	3	0.0
6	4	0.0
7	0	0.00952370446363
7	1	0.0
8	0	0.0
8	1	0.0
9	0	0.0
9	1	0.015037593985
10	0	0.0
10	1	0.0258358662614
10	2	0.0
11	0	0.0
11	1	0.0
12	0	0.0
12	1	0.5
13	0	0.00431034482759
13	1	0.0
14	0	8.53322410807e-06
14	1	0.225806451613
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.00230946882217
17	1	0.00230946882217
18	0	0.00221344819335
18	1	0.00221344819335
19	0	0.0613275613275
19	1	0.0
19	2	0.482954545455
20	0	0.0
20	1	0.0
21	0	0.0
21	1	0.0318477100411
22	0	0.0
22	1	0.0
23	0	0.0
23	1	0.0
24	0	5.71428571428e-05
24	1	5.71428571428e-05
25	0	0.489130434783
25	1	0.489130434783
26	0	0.000875875875875
26	1	0.5
27	0	0.0150862068966
27	1	0.0150862068966
28	0	0.010752688172
28	1	0.00899298061403
29	0	0.105263157894
29	1	0.101851851852
30	0	0.0
30	1	0.000197680416195
31	0	0.0
31	1	0.0
32	0	0.0
32	1	0.0
33	0	0.0
33	1	0.269607843137
33	2	0.0
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.0
34	2	0.0
34	3	0.0
35	0	0.5
35	1	0.5
36	0	0.0
36	1	0.0
37	0	0.240625
37	1	0.5
38	0	0.193548387097
38	1	0.0
38	2	0.0441446965051
39	0	0.0555555555555
39	1	0.0
39	2	0.0
39	3	0.03125
40	0	0.00108569408675
40	1	0.219387755102
40	2	0.00108569408675
41	0	0.0
41	1	0.127118644068
42	0	0.0
42	1	0.0
42	2	0.0
43	0	0.0
43	1	0.167441860465
43	2	0.0875912408759
44	0	0.00654409473355
44	1	0.00654409473355
45	0	0.0
45	1	0.142857142857
46	0	0.00415982484948
46	1	0.00519978106185
47	0	0.00233644859813
47	1	0.0416666666666
48	0	0.0
48	1	0.155437595036
48	2	0.293433439076
49	0	0.0
49	1	0.0
50	0	0.0
50	1	0.0
51	0	0.25
51	1	0.076923076923
51	2	0.5
52	0	0.0
52	1	0.0
53	0	0.0
53	1	0.0
54	0	0.0106485963214
54	1	0.0106485963214
55	0	0.0
55	1	0.00141342756184
55	2	1.0
56	0	0.0
56	1	0.0
57	0	0.187074829932
57	1	0.0
58	0	0.0
58	1	0.0
59	0	0.0
59	1	0.0
60	0	0.666666666667
60	1	0.00956937799045
61	0	0.946808510638
61	1	0.946808510638
62	0	0.0
62	1	0.0
63	0	0.5
63	1	0.333333333333
64	0	0.0127942681679
64	1	0.00114542289013
65	0	0.0011961722488
65	1	0.00298507462687
65	2	0.00233378061879
65	3	0.0
66	0	0.0
66	1	0.0
67	0	0.000915732881705
67	1	0.000915732881705
68	0	0.0
68	1	0.0987841945289
69	0	0.0
69	1	0.0
70	0	0.145454545455
70	1	0.00073562985135
70	2	0.000958931287615
70	3	0.000737660944206
71	0	1.0
71	1	0.00103199174407
71	2	0.00132684652809
72	0	0.0
72	1	0.0
73	0	0.0432893289329
73	1	0.0316508090093
74	0	1.0
74	1	1.0
75	0	0.415384615385
75	1	0.473684210526
76	0	0.0
76	1	0.0
77	0	0.000693000693
77	1	0.0
78	0	0.5
78	1	0.5
79	0	0.0
79	1	0.0
80	0	1.0
80	1	1.0
81	0	0.0
81	1	0.0735294117647
82	0	0.393939393939
82	1	0.449494949495
82	2	0.5
83	0	0.0
83	1	0.211917808219
84	0	1.0
84	1	1.0
85	0	0.0
85	1	0.00271002710027
85	2	0.5
86	0	0.0
86	1	0.057509881423
87	0	0.127906976744
87	1	0.127906976744
88	0	1.0
88	1	0.5
89	0	0.5
89	1	0.5
90	0	0.000465170368647
90	1	0.000465170368647
91	0	3.65256775513e-05
91	1	0.108843537415
92	0	0.160839160839
92	1	0.296891113345
93	0	0.238461538462
93	1	0.238461538462
94	0	0.0
94	1	0.0
94	2	0.0
95	0	0.0
95	1	0.131493506494
96	0	0.5
96	1	0.5
97	0	0.0
97	1	0.00130276185514
98	0	0.0
98	1	0.0
98	2	0.0970464135021
99	0	0.495833333333
99	1	0.495833333333
100	0	0.485714285714
100	1	0.0
101	0	0.0
101	1	0.0
102	0	0.105263157894
102	1	0.00892857142855
102	2	0.666666666667
103	0	0.0
103	1	0.0
104	0	1.0
104	1	0.392857142858
105	0	0.0
105	1	0.0
106	0	0.0
106	1	0.025
107	0	0.331177018803
107	1	0.315542979803
108	0	0.0
108	1	0.0
109	0	0.5
109	1	0.5
110	0	0.0
110	1	0.0
110	2	0.0
111	0	0.00160188854228
111	1	0.0432014552069
112	0	0.333333333333
112	1	0.060606060606
113	0	0.0
113	1	0.0
114	0	0.333333333334
