Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	1.0	0.893731487402
1	0	C_EQ_1	C_EQ_2	0.00261437908497	0.385061276389
1	0	C_EQ_2	C_EQ_1	0.029197080292	0.385061276389
1	0	C_EQ_2	C_EQ_2	0.0193236714976	0.735024744345
1	1	C_EQ_1	C_EQ_1	0.181818181818	0.833734938283
1	1	C_EQ_1	C_EQ_2	0.00261437908497	0.385061276389
1	1	C_EQ_2	C_EQ_1	0.0238095238095	0.383654442576
1	1	C_EQ_2	C_EQ_2	0.0193236714976	0.735024744345
1	2	C_EQ_1	C_EQ_1	1.0	0.86429623498
1	2	C_EQ_1	C_EQ_2	0.00135409614083	0.383654442576
1	2	C_EQ_2	C_EQ_1	0.0238095238095	0.383654442576
1	2	C_EQ_2	C_EQ_2	0.0193236714976	0.735024744345
2	0	C_EQ_1	C_EQ_1	0.454545454545	0.812465795156
2	1	C_EQ_1	C_EQ_1	0.454545454545	0.812465795156
2	1	C_EQ_1	C_EQ_2	0.102941176471	0.836399428305
2	1	C_EQ_1	C_EQ_3	0.116666666667	0.836399428305
2	1	C_EQ_2	C_EQ_1	0.0855745721271	0.597296817704
2	1	C_EQ_2	C_EQ_2	0.430769230769	0.893731487402
2	1	C_EQ_2	C_EQ_3	0.491228070175	0.893731487402
2	1	C_EQ_3	C_EQ_1	0.0620689655172	0.597296817704
2	1	C_EQ_3	C_EQ_2	1.0	0.962146392049
2	1	C_EQ_3	C_EQ_3	0.571428571429	0.924292784099
2	1	C_EQ_4	C_EQ_1	0.0697674418605	0.597296817704
2	1	C_EQ_4	C_EQ_2	0.571428571429	0.924292784099
2	1	C_EQ_4	C_EQ_3	1.0	0.962146392049
3	0	C_EQ_1	C_EQ_1	0.00500428939091	0.703496852283
3	1	C_EQ_1	C_EQ_1	0.00500428939091	0.703496852283
4	0	C_EQ_1	C_EQ_1	0.461538461538	0.742317055599
4	1	C_EQ_1	C_EQ_1	0.461538461538	0.742317055599
5	0	C_EQ_1	C_EQ_1	0.0	0.0
5	0	C_EQ_1	C_EQ_2	0.0	0.0
5	0	C_EQ_2	C_EQ_1	0.0	0.0
5	0	C_EQ_2	C_EQ_2	0.0	0.0
5	1	C_EQ_1	C_EQ_1	0.0	0.0
5	1	C_EQ_1	C_EQ_2	0.0	0.0
5	1	C_EQ_2	C_EQ_1	0.0	0.0
5	1	C_EQ_2	C_EQ_2	0.0	0.0
5	2	C_EQ_1	C_EQ_1	0.0	0.0
5	2	C_EQ_1	C_EQ_2	0.0	0.0
5	2	C_EQ_2	C_EQ_1	0.0	0.0
5	2	C_EQ_2	C_EQ_2	0.0	0.0
6	0	C_EQ_1	C_EQ_1	1.0	0.831194423825
6	0	C_EQ_1	C_EQ_2	0.00248138957816	0.573180032651
6	0	C_EQ_2	C_EQ_1	0.00248138957816	0.573180032651
6	0	C_EQ_2	C_EQ_2	1.0	0.924292784099
6	1	C_EQ_1	C_EQ_1	0.714285714286	0.86429623498
6	1	C_EQ_1	C_EQ_2	0.00606060606061	0.57404601432
6	1	C_EQ_2	C_EQ_1	0.00884955752212	0.579626077231
6	1	C_EQ_2	C_EQ_2	0.160714285714	0.820010352644
6	1	C_EQ_3	C_EQ_1	0.00884955752212	0.579626077231
6	1	C_EQ_3	C_EQ_2	0.160714285714	0.820010352644
6	2	C_EQ_1	C_EQ_1	0.511156186613	0.826442627029
6	2	C_EQ_1	C_EQ_2	0.226666666667	0.818024271501
6	2	C_EQ_2	C_EQ_1	0.943661971831	0.924292784099
6	2	C_EQ_2	C_EQ_2	0.184523809524	0.804299685861
6	2	C_EQ_3	C_EQ_1	0.00847457627119	0.579626077231
6	2	C_EQ_3	C_EQ_2	0.00539237454799	0.561645432219
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.058064516129	0.833734938283
7	1	C_EQ_1	C_EQ_1	0.0796460176991	0.833734938283
8	0	C_EQ_1	C_EQ_1	0.0696629213483	0.831194423825
8	0	C_EQ_1	C_EQ_2	0.67032967033	0.86429623498
8	0	C_EQ_1	C_EQ_3	0.0684624017957	0.794596301339
8	0	C_EQ_1	C_EQ_4	0.688888888889	0.893731487402
8	0	C_EQ_2	C_EQ_1	0.0684624017957	0.794596301339
8	0	C_EQ_2	C_EQ_2	0.688888888889	0.912106644207
8	0	C_EQ_2	C_EQ_3	0.0696629213483	0.836399428305
8	0	C_EQ_2	C_EQ_4	0.67032967033	0.86429623498
8	0	C_EQ_3	C_EQ_1	0.67032967033	0.859925005664
8	0	C_EQ_3	C_EQ_2	0.0765432098765	0.836399428305
8	0	C_EQ_3	C_EQ_3	0.688888888889	0.902149842931
8	0	C_EQ_3	C_EQ_4	0.075215782984	0.794596301339
8	0	C_EQ_4	C_EQ_1	0.688888888889	0.893731487402
8	0	C_EQ_4	C_EQ_2	0.075215782984	0.794596301339
8	0	C_EQ_4	C_EQ_3	0.67032967033	0.859925005664
8	0	C_EQ_4	C_EQ_4	0.0765432098765	0.831194423825
8	1	C_EQ_1	C_EQ_1	0.0707762557078	0.831194423825
8	1	C_EQ_1	C_EQ_2	0.0707762557078	0.831194423825
8	1	C_EQ_1	C_EQ_3	0.0695553021665	0.794596301339
8	1	C_EQ_1	C_EQ_4	0.0695553021665	0.794596301339
8	1	C_EQ_2	C_EQ_1	0.0695553021665	0.794596301339
8	1	C_EQ_2	C_EQ_2	0.0695553021665	0.794596301339
8	1	C_EQ_2	C_EQ_3	0.0707762557078	0.836399428305
8	1	C_EQ_2	C_EQ_4	0.0707762557078	0.836399428305
8	1	C_EQ_3	C_EQ_1	0.67032967033	0.880006901762
8	1	C_EQ_3	C_EQ_2	0.67032967033	0.880006901762
8	1	C_EQ_3	C_EQ_3	0.688888888889	0.924292784099
8	1	C_EQ_3	C_EQ_4	0.688888888889	0.924292784099
8	1	C_EQ_4	C_EQ_1	0.688888888889	0.924292784099
8	1	C_EQ_4	C_EQ_2	0.688888888889	0.924292784099
8	1	C_EQ_4	C_EQ_3	0.67032967033	0.880006901762
8	1	C_EQ_4	C_EQ_4	0.67032967033	0.880006901762
9	0	C_EQ_1	C_EQ_1	0.0927318295739	0.740400676077
9	1	C_EQ_1	C_EQ_1	0.0663082437276	0.740400676077
10	0	C_EQ_1	C_EQ_1	1.0	0.893731487402
10	1	C_EQ_1	C_EQ_1	0.666666666667	0.833734938283
10	2	C_EQ_1	C_EQ_1	1.0	0.893731487402
11	0	C_EQ_1	C_EQ_1	1.0	0.874253036256
11	1	C_EQ_1	C_EQ_1	0.272727272727	0.852110095088
11	1	C_EQ_1	C_EQ_2	0.4	0.86429623498
11	1	C_EQ_2	C_EQ_1	0.214285714286	0.852110095088
11	1	C_EQ_2	C_EQ_2	1.0	0.912106644207
12	0	C_EQ_1	C_EQ_1	0.0769230769231	0.633066545036
12	1	C_EQ_1	C_EQ_1	0.0769230769231	0.605209326049
13	0	C_EQ_1	C_EQ_1	0.00215027711318	0.719850011329
13	1	C_EQ_1	C_EQ_1	0.00257694541231	0.719850011329
14	0	C_EQ_1	C_EQ_1	1.0	0.902149842931
14	1	C_EQ_1	C_EQ_1	1.0	0.886439176148
15	0	C_EQ_1	C_EQ_1	0.333333333333	0.855877879451
15	1	C_EQ_1	C_EQ_1	0.75	0.893731487402
16	0	C_EQ_1	C_EQ_1	0.00179791441927	0.520010962364
16	1	C_EQ_1	C_EQ_1	0.00179791441927	0.520010962364
17	0	C_EQ_1	C_EQ_1	1.0	0.940003450881
17	1	C_EQ_1	C_EQ_1	1.0	0.924292784099
18	0	C_EQ_1	C_EQ_1	1.0	0.940003450881
18	1	C_EQ_1	C_EQ_1	1.0	0.924292784099
19	0	C_EQ_1	C_EQ_1	1.0	0.962146392049
19	1	C_EQ_1	C_EQ_1	0.444444444444	0.902149842931
19	2	C_EQ_1	C_EQ_1	1.0	0.902149842931
20	0	C_EQ_1	C_EQ_1	0.0031944079071	0.621570687316
20	0	C_EQ_1	C_EQ_2	0.00561649266552	0.621570687316
20	0	C_EQ_2	C_EQ_1	0.0031944079071	0.621570687316
20	0	C_EQ_2	C_EQ_2	0.00561649266552	0.621570687316
20	1	C_EQ_1	C_EQ_1	0.0031944079071	0.621570687316
20	1	C_EQ_1	C_EQ_2	0.00561649266552	0.621570687316
20	1	C_EQ_2	C_EQ_1	0.0031944079071	0.621570687316
20	1	C_EQ_2	C_EQ_2	0.00561649266552	0.621570687316
21	0	C_EQ_1	C_EQ_1	0.139627659574	0.845274784094
21	1	C_EQ_1	C_EQ_1	0.139627659574	0.845274784094
21	1	C_EQ_2	C_EQ_1	0.626865671642	0.880006901762
22	0	C_EQ_1	C_EQ_1	1.0	0.893731487402
22	1	C_EQ_1	C_EQ_1	0.428571428571	0.912106644207
23	0	C_EQ_1	C_EQ_1	0.000405862457723	0.396914303052
23	1	C_EQ_1	C_EQ_1	0.000405862457723	0.396914303052
24	0	C_EQ_1	C_EQ_1	0.267679544205	0.855877879451
24	1	C_EQ_1	C_EQ_1	0.267679544205	0.855877879451
25	0	C_EQ_1	C_EQ_1	0.326923076923	0.855877879451
25	1	C_EQ_1	C_EQ_1	0.326923076923	0.842153293812
26	0	C_EQ_1	C_EQ_1	0.25	0.842153293812
26	1	C_EQ_1	C_EQ_1	1.0	0.869048031776
26	1	C_EQ_1	C_EQ_2	0.25	0.842153293812
