Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.029197080292	0.385061276389
1	0	C_EQ_1	C_EQ_2	0.0193236714976	0.735024744345
1	0	C_EQ_2	C_EQ_1	1.0	0.893731487402
1	0	C_EQ_2	C_EQ_2	0.00261437908497	0.385061276389
1	1	C_EQ_1	C_EQ_1	0.0190476190476	0.383654442576
1	1	C_EQ_1	C_EQ_2	0.0190476190476	0.735024744345
1	1	C_EQ_2	C_EQ_1	0.0238095238095	0.383654442576
1	1	C_EQ_2	C_EQ_2	0.0193236714976	0.735024744345
1	1	C_EQ_3	C_EQ_1	1.0	0.874253036256
1	1	C_EQ_3	C_EQ_2	0.00135409614083	0.383654442576
1	2	C_EQ_1	C_EQ_1	0.0190476190476	0.383654442576
1	2	C_EQ_1	C_EQ_2	0.0190476190476	0.735024744345
1	2	C_EQ_2	C_EQ_1	0.0238095238095	0.383654442576
1	2	C_EQ_2	C_EQ_2	0.0193236714976	0.735024744345
1	2	C_EQ_3	C_EQ_1	1.0	0.86429623498
1	2	C_EQ_3	C_EQ_2	0.00135409614083	0.383654442576
2	0	C_EQ_1	C_EQ_1	0.368421052632	0.812465795156
2	1	C_EQ_1	C_EQ_1	0.0855745721271	0.597296817704
2	1	C_EQ_1	C_EQ_2	0.430769230769	0.893731487402
2	1	C_EQ_1	C_EQ_3	0.491228070175	0.893731487402
3	0	C_EQ_1	C_EQ_1	0.00492818924247	0.703496852283
3	1	C_EQ_1	C_EQ_1	0.00492818924247	0.703496852283
4	0	C_EQ_1	C_EQ_1	0.0127388535032	0.742317055599
4	1	C_EQ_1	C_EQ_1	0.0127388535032	0.742317055599
5	0	C_EQ_1	C_EQ_1	0.0572450805009	0.587334306645
5	0	C_EQ_1	C_EQ_2	0.0323232323232	0.581878144261
5	0	C_EQ_2	C_EQ_1	0.24	0.765692807865
5	0	C_EQ_2	C_EQ_2	0.181818181818	0.786359680462
5	1	C_EQ_1	C_EQ_1	0.0572450805009	0.587334306645
5	1	C_EQ_1	C_EQ_2	0.0323232323232	0.581878144261
5	1	C_EQ_2	C_EQ_1	0.347826086957	0.797197326842
5	1	C_EQ_2	C_EQ_2	0.181818181818	0.775500193966
5	2	C_EQ_1	C_EQ_1	0.0	0.0
5	2	C_EQ_1	C_EQ_2	0.0	0.0
6	0	C_EQ_1	C_EQ_1	0.758928571429	0.807421176144
6	0	C_EQ_1	C_EQ_2	0.00195532653953	0.560080735485
6	1	C_EQ_1	C_EQ_1	0.758928571429	0.924292784099
6	1	C_EQ_1	C_EQ_2	0.00479440464775	0.561645432219
6	1	C_EQ_2	C_EQ_1	0.114709851552	0.741831619403
6	1	C_EQ_2	C_EQ_2	0.00244035485631	0.560080735485
6	2	C_EQ_1	C_EQ_1	0.758928571429	0.902149842931
6	2	C_EQ_1	C_EQ_2	0.221684627227	0.880006901762
6	2	C_EQ_2	C_EQ_1	0.00547749464158	0.572610247577
6	2	C_EQ_2	C_EQ_2	0.00490544116698	0.561645432219
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.0666666666667	0.833734938283
7	1	C_EQ_1	C_EQ_1	0.0914454277286	0.833734938283
8	0	C_EQ_1	C_EQ_1	0.0696629213483	0.831194423825
8	0	C_EQ_1	C_EQ_2	0.67032967033	0.86429623498
8	0	C_EQ_1	C_EQ_3	0.0684624017957	0.794596301339
8	0	C_EQ_1	C_EQ_4	0.688888888889	0.893731487402
8	0	C_EQ_2	C_EQ_1	0.0696629213483	0.831194423825
8	0	C_EQ_2	C_EQ_2	0.430588235294	0.833734938283
8	0	C_EQ_2	C_EQ_3	0.0684624017957	0.794596301339
8	0	C_EQ_2	C_EQ_4	0.440758293839	0.869048031776
8	0	C_EQ_3	C_EQ_1	0.688888888889	0.893731487402
8	0	C_EQ_3	C_EQ_2	0.075215782984	0.794596301339
8	0	C_EQ_3	C_EQ_3	0.67032967033	0.859925005664
8	0	C_EQ_3	C_EQ_4	0.0765432098765	0.831194423825
8	1	C_EQ_1	C_EQ_1	0.701149425287	0.880006901762
8	1	C_EQ_1	C_EQ_2	0.701149425287	0.880006901762
8	1	C_EQ_1	C_EQ_3	0.701149425287	0.880006901762
8	1	C_EQ_1	C_EQ_4	0.701149425287	0.880006901762
9	0	C_EQ_1	C_EQ_1	0.108641975309	0.738549271236
9	1	C_EQ_1	C_EQ_1	0.0780141843972	0.738549271236
10	0	C_EQ_1	C_EQ_1	0.85	0.893731487402
10	1	C_EQ_1	C_EQ_1	0.85	0.912106644207
10	2	C_EQ_1	C_EQ_1	0.85	0.893731487402
11	0	C_EQ_1	C_EQ_1	0.407348242812	0.725639793451
11	1	C_EQ_1	C_EQ_1	0.934065934066	0.924292784099
11	1	C_EQ_1	C_EQ_2	0.206645056726	0.655706406944
12	0	C_EQ_1	C_EQ_1	0.853658536585	0.886439176148
12	1	C_EQ_1	C_EQ_1	0.853658536585	0.869048031776
13	0	C_EQ_1	C_EQ_1	0.00215027711318	0.719850011329
13	1	C_EQ_1	C_EQ_1	0.00257694541231	0.719850011329
14	0	C_EQ_1	C_EQ_1	0.666666666667	0.848585568197
14	0	C_EQ_2	C_EQ_1	0.00213675213675	0.601460025765
14	1	C_EQ_1	C_EQ_1	1.0	0.886439176148
15	0	C_EQ_1	C_EQ_1	0.5	0.855877879451
15	1	C_EQ_1	C_EQ_1	0.75	0.893731487402
16	0	C_EQ_1	C_EQ_1	0.105911556495	0.874253036256
16	1	C_EQ_1	C_EQ_1	0.105911556495	0.874253036256
17	0	C_EQ_1	C_EQ_1	0.842954856361	0.912106644207
17	1	C_EQ_1	C_EQ_1	0.842954856361	0.902149842931
18	0	C_EQ_1	C_EQ_1	0.83559168925	0.912106644207
18	1	C_EQ_1	C_EQ_1	0.83559168925	0.893731487402
19	0	C_EQ_1	C_EQ_1	0.122655122655	0.560080735485
19	1	C_EQ_1	C_EQ_1	0.965909090909	0.940003450881
19	2	C_EQ_1	C_EQ_1	0.965909090909	0.807421176144
20	0	C_EQ_1	C_EQ_1	1.0	0.902149842931
20	0	C_EQ_1	C_EQ_2	0.366197183099	0.874253036256
20	1	C_EQ_1	C_EQ_1	1.0	0.902149842931
20	1	C_EQ_1	C_EQ_2	0.366197183099	0.874253036256
21	0	C_EQ_1	C_EQ_1	0.138381201044	0.845274784094
21	1	C_EQ_1	C_EQ_1	0.138381201044	0.845274784094
22	0	C_EQ_1	C_EQ_1	1.0	0.893731487402
22	1	C_EQ_1	C_EQ_1	0.555555555556	0.855877879451
23	0	C_EQ_1	C_EQ_1	0.137857900318	0.845274784094
23	1	C_EQ_1	C_EQ_1	0.137857900318	0.845274784094
24	0	C_EQ_1	C_EQ_1	0.731044837235	0.924292784099
24	1	C_EQ_1	C_EQ_1	0.267679544205	0.855877879451
25	0	C_EQ_1	C_EQ_1	1.0	0.924292784099
25	1	C_EQ_1	C_EQ_1	1.0	0.924292784099
26	0	C_EQ_1	C_EQ_1	0.20542463317	0.824213288413
26	1	C_EQ_1	C_EQ_1	0.871698113208	0.855877879451
