Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	1.0	0.893731487402
1	0	C_EQ_1	C_EQ_2	0.00261437908497	0.385061276389
1	0	C_EQ_2	C_EQ_1	0.0	0.0
1	0	C_EQ_2	C_EQ_2	0.0	0.0
1	1	C_EQ_1	C_EQ_1	1.0	0.874253036256
1	1	C_EQ_1	C_EQ_2	0.00135409614083	0.383654442576
1	1	C_EQ_2	C_EQ_1	0.0	0.0
1	1	C_EQ_2	C_EQ_2	0.0	0.0
1	2	C_EQ_1	C_EQ_1	1.0	0.86429623498
1	2	C_EQ_1	C_EQ_2	0.00135409614083	0.383654442576
1	2	C_EQ_2	C_EQ_1	0.0	0.0
1	2	C_EQ_2	C_EQ_2	0.0	0.0
2	0	C_EQ_1	C_EQ_1	0.454545454545	0.812465795156
2	1	C_EQ_1	C_EQ_1	0.454545454545	0.812465795156
2	1	C_EQ_1	C_EQ_2	0.102941176471	0.836399428305
2	1	C_EQ_1	C_EQ_3	0.116666666667	0.836399428305
2	1	C_EQ_2	C_EQ_1	0.061797752809	0.408738927149
2	1	C_EQ_2	C_EQ_2	0.205882352941	0.912106644207
2	1	C_EQ_2	C_EQ_3	0.144329896907	0.65985346221
3	0	C_EQ_1	C_EQ_1	0.493722668924	0.924292784099
3	1	C_EQ_1	C_EQ_1	0.493722668924	0.924292784099
4	0	C_EQ_1	C_EQ_1	0.399141630901	0.742317055599
4	1	C_EQ_1	C_EQ_1	0.399141630901	0.742317055599
5	0	C_EQ_1	C_EQ_1	0.347826086957	0.797197326842
5	0	C_EQ_1	C_EQ_2	0.130434782609	0.741350460234
5	0	C_EQ_2	C_EQ_1	0.24	0.765692807865
5	0	C_EQ_2	C_EQ_2	0.181818181818	0.786359680462
5	1	C_EQ_1	C_EQ_1	0.347826086957	0.797197326842
5	1	C_EQ_1	C_EQ_2	0.181818181818	0.775500193966
5	1	C_EQ_2	C_EQ_1	0.347826086957	0.797197326842
5	1	C_EQ_2	C_EQ_2	0.181818181818	0.775500193966
5	2	C_EQ_1	C_EQ_1	0.0	0.0
5	2	C_EQ_1	C_EQ_2	0.0	0.0
5	2	C_EQ_2	C_EQ_1	0.0	0.0
5	2	C_EQ_2	C_EQ_2	0.0	0.0
6	0	C_EQ_1	C_EQ_1	1.0	0.831194423825
6	0	C_EQ_1	C_EQ_2	0.00248138957816	0.573180032651
6	0	C_EQ_2	C_EQ_1	0.00248138957816	0.573180032651
6	0	C_EQ_2	C_EQ_2	1.0	0.924292784099
6	1	C_EQ_1	C_EQ_1	1.0	0.962146392049
6	1	C_EQ_1	C_EQ_2	0.00606060606061	0.57404601432
6	1	C_EQ_2	C_EQ_1	0.00606060606061	0.57404601432
6	1	C_EQ_2	C_EQ_2	1.0	0.940003450881
6	2	C_EQ_1	C_EQ_1	1.0	0.940003450881
6	2	C_EQ_1	C_EQ_2	0.188059701493	0.805838131609
6	2	C_EQ_2	C_EQ_1	0.188059701493	0.805838131609
6	2	C_EQ_2	C_EQ_2	1.0	0.962146392049
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.0746268656716	0.859925005664
7	1	C_EQ_1	C_EQ_1	0.102040816327	0.859925005664
8	0	C_EQ_1	C_EQ_1	0.0696629213483	0.831194423825
8	0	C_EQ_1	C_EQ_2	0.67032967033	0.86429623498
8	0	C_EQ_1	C_EQ_3	0.0684624017957	0.794596301339
8	0	C_EQ_1	C_EQ_4	0.688888888889	0.893731487402
8	0	C_EQ_2	C_EQ_1	0.688888888889	0.893731487402
8	0	C_EQ_2	C_EQ_2	0.075215782984	0.794596301339
8	0	C_EQ_2	C_EQ_3	0.67032967033	0.859925005664
8	0	C_EQ_2	C_EQ_4	0.0765432098765	0.831194423825
8	0	C_EQ_3	C_EQ_1	0.0684624017957	0.794596301339
8	0	C_EQ_3	C_EQ_2	0.688888888889	0.912106644207
8	0	C_EQ_3	C_EQ_3	0.0696629213483	0.836399428305
8	0	C_EQ_3	C_EQ_4	0.67032967033	0.86429623498
8	0	C_EQ_4	C_EQ_1	0.67032967033	0.859925005664
8	0	C_EQ_4	C_EQ_2	0.0765432098765	0.836399428305
8	0	C_EQ_4	C_EQ_3	0.688888888889	0.902149842931
8	0	C_EQ_4	C_EQ_4	0.075215782984	0.794596301339
8	1	C_EQ_1	C_EQ_1	0.0707762557078	0.831194423825
8	1	C_EQ_1	C_EQ_2	0.0707762557078	0.831194423825
8	1	C_EQ_1	C_EQ_3	0.0695553021665	0.794596301339
8	1	C_EQ_1	C_EQ_4	0.0695553021665	0.794596301339
8	1	C_EQ_2	C_EQ_1	0.0695553021665	0.794596301339
8	1	C_EQ_2	C_EQ_2	0.0695553021665	0.794596301339
8	1	C_EQ_2	C_EQ_3	0.0707762557078	0.836399428305
8	1	C_EQ_2	C_EQ_4	0.0707762557078	0.836399428305
9	0	C_EQ_1	C_EQ_1	0.5	0.924292784099
9	1	C_EQ_1	C_EQ_1	0.333333333333	0.924292784099
10	0	C_EQ_1	C_EQ_1	0.85	0.893731487402
10	1	C_EQ_1	C_EQ_1	0.85	0.912106644207
10	2	C_EQ_1	C_EQ_1	0.85	0.893731487402
11	0	C_EQ_1	C_EQ_1	1.0	0.874253036256
11	1	C_EQ_1	C_EQ_1	1.0	0.940003450881
11	1	C_EQ_1	C_EQ_2	0.214285714286	0.852110095088
11	1	C_EQ_2	C_EQ_1	0.214285714286	0.852110095088
11	1	C_EQ_2	C_EQ_2	1.0	0.912106644207
12	0	C_EQ_1	C_EQ_1	1.0	0.902149842931
12	1	C_EQ_1	C_EQ_1	1.0	0.880006901762
13	0	C_EQ_1	C_EQ_1	0.389705882353	0.924292784099
13	1	C_EQ_1	C_EQ_1	0.630952380952	0.962146392049
14	0	C_EQ_1	C_EQ_1	1.0	0.902149842931
14	1	C_EQ_1	C_EQ_1	1.0	0.886439176148
15	0	C_EQ_1	C_EQ_1	0.461538461538	0.874253036256
15	1	C_EQ_1	C_EQ_1	1.0	0.912106644207
16	0	C_EQ_1	C_EQ_1	1.0	0.924292784099
16	1	C_EQ_1	C_EQ_1	1.0	0.924292784099
17	0	C_EQ_1	C_EQ_1	0.666666666667	0.886439176148
17	1	C_EQ_1	C_EQ_1	1.0	0.924292784099
18	0	C_EQ_1	C_EQ_1	0.666666666667	0.886439176148
18	1	C_EQ_1	C_EQ_1	1.0	0.924292784099
19	0	C_EQ_1	C_EQ_1	0.5	0.902149842931
19	1	C_EQ_1	C_EQ_1	1.0	0.962146392049
19	2	C_EQ_1	C_EQ_1	1.0	0.902149842931
20	0	C_EQ_1	C_EQ_1	1.0	0.902149842931
20	0	C_EQ_1	C_EQ_2	0.366197183099	0.874253036256
20	0	C_EQ_2	C_EQ_1	0.366197183099	0.874253036256
20	0	C_EQ_2	C_EQ_2	1.0	0.924292784099
20	1	C_EQ_1	C_EQ_1	1.0	0.902149842931
20	1	C_EQ_1	C_EQ_2	0.366197183099	0.874253036256
20	1	C_EQ_2	C_EQ_1	0.366197183099	0.874253036256
20	1	C_EQ_2	C_EQ_2	1.0	0.924292784099
21	0	C_EQ_1	C_EQ_1	1.0	0.902149842931
21	1	C_EQ_1	C_EQ_1	1.0	0.902149842931
22	0	C_EQ_1	C_EQ_1	1.0	0.893731487402
22	1	C_EQ_1	C_EQ_1	1.0	0.924292784099
23	0	C_EQ_1	C_EQ_1	0.117145370949	0.845274784094
23	1	C_EQ_1	C_EQ_1	0.117145370949	0.845274784094
24	0	C_EQ_1	C_EQ_1	0.285714285714	0.886439176148
24	1	C_EQ_1	C_EQ_1	0.285714285714	0.886439176148
25	0	C_EQ_1	C_EQ_1	0.978260869565	0.902149842931
25	1	C_EQ_1	C_EQ_1	0.978260869565	0.902149842931
26	0	C_EQ_1	C_EQ_1	1.0	0.962146392049
26	1	C_EQ_1	C_EQ_1	1.0	0.869048031776
26	1	C_EQ_1	C_EQ_2	0.25	0.842153293812
26	1	C_EQ_2	C_EQ_1	0.25	0.842153293812
26	1	C_EQ_2	C_EQ_2	1.0	0.940003450881
27	0	C_EQ_1	C_EQ_1	0.096214511041	0.61579545174
27	1	C_EQ_1	C_EQ_1	0.096214511041	0.61579545174
28	0	C_EQ_1	C_EQ_1	0.0102086107412	0.63453719287
28	1	C_EQ_1	C_EQ_1	0.0101905183872	0.63453719287
28	1	C_EQ_2	C_EQ_1	0.0393498716852	0.644548225742
29	0	C_EQ_1	C_EQ_1	0.210526315789	0.797197326842
29	1	C_EQ_1	C_EQ_1	0.203703703704	0.605606789321
30	0	C_EQ_1	C_EQ_1	0.666666666667	0.886439176148
30	1	C_EQ_1	C_EQ_1	0.571428571429	0.886439176148
31	0	C_EQ_1	C_EQ_1	0.122727272727	0.886439176148
31	1	C_EQ_1	C_EQ_1	0.122727272727	0.886439176148
32	0	C_EQ_1	C_EQ_1	0.528735632184	0.818024271501
32	1	C_EQ_1	C_EQ_1	0.528735632184	0.818024271501
33	0	C_EQ_1	C_EQ_1	1.0	0.886439176148
33	0	C_EQ_1	C_EQ_2	0.111336032389	0.565890475158
33	0	C_EQ_1	C_EQ_3	0.111336032389	0.565890475158
33	0	C_EQ_2	C_EQ_1	0.111336032389	0.565890475158
33	0	C_EQ_2	C_EQ_2	1.0	0.886439176148
33	0	C_EQ_2	C_EQ_3	0.970149253731	0.804299685861
