Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.0	0.0
1	0	C_EQ_1	C_EQ_2	0.0	0.0
1	0	C_EQ_2	C_EQ_1	1.0	0.893731487402
1	0	C_EQ_2	C_EQ_2	0.00261437908497	0.385061276389
1	1	C_EQ_1	C_EQ_1	0.0	0.0
1	1	C_EQ_1	C_EQ_2	0.0	0.0
1	1	C_EQ_2	C_EQ_1	0.181818181818	0.833734938283
1	1	C_EQ_2	C_EQ_2	0.00261437908497	0.385061276389
1	2	C_EQ_1	C_EQ_1	0.0	0.0
1	2	C_EQ_1	C_EQ_2	0.0	0.0
1	2	C_EQ_2	C_EQ_1	1.0	0.86429623498
1	2	C_EQ_2	C_EQ_2	0.00135409614083	0.383654442576
2	0	C_EQ_1	C_EQ_1	0.454545454545	0.812465795156
2	1	C_EQ_1	C_EQ_1	0.454545454545	0.812465795156
2	1	C_EQ_1	C_EQ_2	0.102941176471	0.836399428305
2	1	C_EQ_1	C_EQ_3	0.116666666667	0.836399428305
2	1	C_EQ_2	C_EQ_1	0.0855745721271	0.597296817704
2	1	C_EQ_2	C_EQ_2	0.430769230769	0.893731487402
2	1	C_EQ_2	C_EQ_3	0.491228070175	0.893731487402
2	1	C_EQ_3	C_EQ_1	0.048275862069	0.408738927149
2	1	C_EQ_3	C_EQ_2	0.180790960452	0.743799804032
2	1	C_EQ_3	C_EQ_3	0.275862068966	0.940003450881
2	1	C_EQ_4	C_EQ_1	0.0443037974684	0.408738927149
2	1	C_EQ_4	C_EQ_2	0.275862068966	0.940003450881
2	1	C_EQ_4	C_EQ_3	0.192771084337	0.743799804032
3	0	C_EQ_1	C_EQ_1	0.00500428939091	0.703496852283
3	1	C_EQ_1	C_EQ_1	0.00500428939091	0.703496852283
4	0	C_EQ_1	C_EQ_1	0.461538461538	0.742317055599
4	1	C_EQ_1	C_EQ_1	0.461538461538	0.742317055599
5	0	C_EQ_1	C_EQ_1	0.347826086957	0.797197326842
5	0	C_EQ_1	C_EQ_2	0.130434782609	0.741350460234
5	0	C_EQ_2	C_EQ_1	0.24	0.765692807865
5	0	C_EQ_2	C_EQ_2	0.181818181818	0.786359680462
5	1	C_EQ_1	C_EQ_1	0.347826086957	0.797197326842
5	1	C_EQ_1	C_EQ_2	0.181818181818	0.775500193966
5	1	C_EQ_2	C_EQ_1	0.347826086957	0.797197326842
5	1	C_EQ_2	C_EQ_2	0.181818181818	0.775500193966
5	2	C_EQ_1	C_EQ_1	0.0	0.0
5	2	C_EQ_1	C_EQ_2	0.0	0.0
6	0	C_EQ_1	C_EQ_1	1.0	0.831194423825
6	0	C_EQ_1	C_EQ_2	0.00248138957816	0.573180032651
6	0	C_EQ_2	C_EQ_1	0.00248138957816	0.573180032651
6	0	C_EQ_2	C_EQ_2	1.0	0.924292784099
6	0	C_EQ_3	C_EQ_1	0.181818181818	0.782156744693
6	0	C_EQ_3	C_EQ_2	0.00738916256158	0.579626077231
6	1	C_EQ_1	C_EQ_1	0.00733496332518	0.579626077231
6	1	C_EQ_1	C_EQ_2	0.285714285714	0.828766859175
6	1	C_EQ_2	C_EQ_1	0.714285714286	0.86429623498
6	1	C_EQ_2	C_EQ_2	0.00606060606061	0.57404601432
6	1	C_EQ_3	C_EQ_1	0.00884955752212	0.579626077231
6	1	C_EQ_3	C_EQ_2	0.160714285714	0.820010352644
6	2	C_EQ_1	C_EQ_1	0.243093922652	0.880006901762
6	2	C_EQ_1	C_EQ_2	0.13101558486	0.810731960247
6	2	C_EQ_2	C_EQ_1	0.00847457627119	0.579626077231
6	2	C_EQ_2	C_EQ_2	0.00539237454799	0.561645432219
6	2	C_EQ_3	C_EQ_1	1.0	0.940003450881
6	2	C_EQ_3	C_EQ_2	0.188059701493	0.805838131609
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.058568329718	0.833734938283
7	1	C_EQ_1	C_EQ_1	0.0805970149254	0.833734938283
8	0	C_EQ_1	C_EQ_1	0.0696629213483	0.831194423825
8	0	C_EQ_1	C_EQ_2	0.67032967033	0.86429623498
8	0	C_EQ_1	C_EQ_3	0.0684624017957	0.794596301339
8	0	C_EQ_1	C_EQ_4	0.688888888889	0.893731487402
8	0	C_EQ_2	C_EQ_1	0.688888888889	0.893731487402
8	0	C_EQ_2	C_EQ_2	0.075215782984	0.794596301339
8	0	C_EQ_2	C_EQ_3	0.67032967033	0.859925005664
8	0	C_EQ_2	C_EQ_4	0.0765432098765	0.831194423825
8	0	C_EQ_3	C_EQ_1	0.0684624017957	0.794596301339
8	0	C_EQ_3	C_EQ_2	0.688888888889	0.912106644207
8	0	C_EQ_3	C_EQ_3	0.0696629213483	0.836399428305
8	0	C_EQ_3	C_EQ_4	0.67032967033	0.86429623498
8	0	C_EQ_4	C_EQ_1	0.67032967033	0.859925005664
8	0	C_EQ_4	C_EQ_2	0.0765432098765	0.836399428305
8	0	C_EQ_4	C_EQ_3	0.688888888889	0.902149842931
8	0	C_EQ_4	C_EQ_4	0.075215782984	0.794596301339
8	1	C_EQ_1	C_EQ_1	0.0695553021665	0.794596301339
8	1	C_EQ_1	C_EQ_2	0.0695553021665	0.794596301339
8	1	C_EQ_1	C_EQ_3	0.0707762557078	0.836399428305
8	1	C_EQ_1	C_EQ_4	0.0707762557078	0.836399428305
8	1	C_EQ_2	C_EQ_1	0.0695553021665	0.794596301339
8	1	C_EQ_2	C_EQ_2	0.0695553021665	0.794596301339
8	1	C_EQ_2	C_EQ_3	0.0707762557078	0.836399428305
8	1	C_EQ_2	C_EQ_4	0.0707762557078	0.836399428305
9	0	C_EQ_1	C_EQ_1	0.125	0.902149842931
9	1	C_EQ_1	C_EQ_1	0.0666666666667	0.902149842931
10	0	C_EQ_1	C_EQ_1	1.0	0.893731487402
10	1	C_EQ_1	C_EQ_1	0.571428571429	0.833734938283
10	2	C_EQ_1	C_EQ_1	1.0	0.893731487402
11	0	C_EQ_1	C_EQ_1	1.0	0.874253036256
11	1	C_EQ_1	C_EQ_1	0.214285714286	0.852110095088
11	1	C_EQ_1	C_EQ_2	1.0	0.912106644207
11	1	C_EQ_2	C_EQ_1	0.272727272727	0.852110095088
11	1	C_EQ_2	C_EQ_2	0.4	0.86429623498
12	0	C_EQ_1	C_EQ_1	0.0	0.0
12	1	C_EQ_1	C_EQ_1	0.0	0.0
13	0	C_EQ_1	C_EQ_1	0.00215053763441	0.719850011329
13	1	C_EQ_1	C_EQ_1	0.00257731958763	0.719850011329
14	0	C_EQ_1	C_EQ_1	1.0	0.902149842931
14	1	C_EQ_1	C_EQ_1	1.0	0.886439176148
15	0	C_EQ_1	C_EQ_1	0.461538461538	0.874253036256
15	1	C_EQ_1	C_EQ_1	1.0	0.912106644207
16	0	C_EQ_1	C_EQ_1	0.00564174894217	0.681035477487
16	1	C_EQ_1	C_EQ_1	0.00564174894217	0.681035477487
17	0	C_EQ_1	C_EQ_1	1.0	0.940003450881
17	1	C_EQ_1	C_EQ_1	1.0	0.924292784099
18	0	C_EQ_1	C_EQ_1	1.0	0.940003450881
18	1	C_EQ_1	C_EQ_1	1.0	0.924292784099
19	0	C_EQ_1	C_EQ_1	0.142857142857	0.86429623498
19	1	C_EQ_1	C_EQ_1	0.1	0.86429623498
19	2	C_EQ_1	C_EQ_1	1.0	0.902149842931
20	0	C_EQ_1	C_EQ_1	1.0	0.902149842931
20	0	C_EQ_1	C_EQ_2	0.366197183099	0.874253036256
20	0	C_EQ_2	C_EQ_1	0.366197183099	0.874253036256
20	0	C_EQ_2	C_EQ_2	1.0	0.924292784099
20	1	C_EQ_1	C_EQ_1	1.0	0.902149842931
