Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.0938628158845	0.454379668928
1	0	C_EQ_1	C_EQ_2	0.0155225478389	0.556120335053
1	0	C_EQ_2	C_EQ_1	0.964912280702	0.893731487402
1	0	C_EQ_2	C_EQ_2	0.00260824204486	0.385061276389
1	1	C_EQ_1	C_EQ_1	0.0655462184874	0.452772398304
1	1	C_EQ_1	C_EQ_2	0.0155225478389	0.556120335053
1	1	C_EQ_2	C_EQ_1	0.0486284289277	0.452772398304
1	1	C_EQ_2	C_EQ_2	0.0151041666667	0.556120335053
1	1	C_EQ_3	C_EQ_1	1.0	0.874253036256
1	1	C_EQ_3	C_EQ_2	0.00135409614083	0.383654442576
1	2	C_EQ_1	C_EQ_1	0.0655462184874	0.452772398304
1	2	C_EQ_1	C_EQ_2	0.0155225478389	0.556120335053
1	2	C_EQ_2	C_EQ_1	0.0486284289277	0.452772398304
1	2	C_EQ_2	C_EQ_2	0.0151041666667	0.556120335053
1	2	C_EQ_3	C_EQ_1	1.0	0.86429623498
1	2	C_EQ_3	C_EQ_2	0.00135409614083	0.383654442576
2	0	C_EQ_1	C_EQ_1	0.297297297297	0.66171601106
2	1	C_EQ_1	C_EQ_1	0.0643274853801	0.470266577856
2	1	C_EQ_1	C_EQ_2	0.154589371981	0.697599461826
2	1	C_EQ_1	C_EQ_3	0.174863387978	0.697599461826
2	1	C_EQ_2	C_EQ_1	0.297297297297	0.66171601106
2	1	C_EQ_2	C_EQ_2	0.0414507772021	0.422834793782
2	1	C_EQ_2	C_EQ_3	0.0473372781065	0.422834793782
3	0	C_EQ_1	C_EQ_1	0.122164048866	0.902149842931
3	1	C_EQ_1	C_EQ_1	0.122164048866	0.902149842931
4	0	C_EQ_1	C_EQ_1	0.0126582278481	0.724221240644
4	1	C_EQ_1	C_EQ_1	0.4	0.724221240644
5	0	C_EQ_1	C_EQ_1	0.0661157024793	0.587334306645
5	0	C_EQ_1	C_EQ_2	0.0380952380952	0.581878144261
5	0	C_EQ_2	C_EQ_1	0.24	0.765692807865
5	0	C_EQ_2	C_EQ_2	0.181818181818	0.786359680462
5	1	C_EQ_1	C_EQ_1	0.0661157024793	0.587334306645
5	1	C_EQ_1	C_EQ_2	0.0380952380952	0.581878144261
5	1	C_EQ_2	C_EQ_1	0.347826086957	0.797197326842
5	1	C_EQ_2	C_EQ_2	0.181818181818	0.775500193966
5	2	C_EQ_1	C_EQ_1	0.0	0.0
5	2	C_EQ_1	C_EQ_2	0.0	0.0
6	0	C_EQ_1	C_EQ_1	0.779816513761	0.807421176144
6	0	C_EQ_1	C_EQ_2	0.00195586644884	0.560080735485
6	0	C_EQ_2	C_EQ_1	0.098493626883	0.560080735485
6	0	C_EQ_2	C_EQ_2	0.00390391769623	0.561645432219
6	1	C_EQ_1	C_EQ_1	0.575101488498	0.848585568197
6	1	C_EQ_1	C_EQ_2	0.0047992772853	0.561645432219
6	1	C_EQ_2	C_EQ_1	0.10353227771	0.561645432219
6	1	C_EQ_2	C_EQ_2	0.00487022288432	0.561645432219
6	2	C_EQ_1	C_EQ_1	0.00448975279949	0.561645432219
6	2	C_EQ_1	C_EQ_2	0.01102678861	0.655011977083
6	2	C_EQ_2	C_EQ_1	0.779816513761	0.902149842931
6	2	C_EQ_2	C_EQ_2	0.216977309562	0.805838131609
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.0666666666667	0.833734938283
7	1	C_EQ_1	C_EQ_1	0.0914454277286	0.833734938283
8	0	C_EQ_1	C_EQ_1	0.0696629213483	0.831194423825
8	0	C_EQ_1	C_EQ_2	0.67032967033	0.86429623498
8	0	C_EQ_1	C_EQ_3	0.0684624017957	0.794596301339
8	0	C_EQ_1	C_EQ_4	0.688888888889	0.893731487402
8	0	C_EQ_2	C_EQ_1	0.688888888889	0.893731487402
8	0	C_EQ_2	C_EQ_2	0.075215782984	0.794596301339
8	0	C_EQ_2	C_EQ_3	0.67032967033	0.859925005664
8	0	C_EQ_2	C_EQ_4	0.0765432098765	0.831194423825
8	0	C_EQ_3	C_EQ_1	0.0684624017957	0.794596301339
8	0	C_EQ_3	C_EQ_2	0.440758293839	0.880006901762
8	0	C_EQ_3	C_EQ_3	0.0696629213483	0.836399428305
8	0	C_EQ_3	C_EQ_4	0.430588235294	0.833734938283
8	0	C_EQ_4	C_EQ_1	0.67032967033	0.859925005664
8	0	C_EQ_4	C_EQ_2	0.0765432098765	0.836399428305
8	0	C_EQ_4	C_EQ_3	0.688888888889	0.902149842931
8	0	C_EQ_4	C_EQ_4	0.075215782984	0.794596301339
8	1	C_EQ_1	C_EQ_1	0.101307189542	0.831194423825
8	1	C_EQ_1	C_EQ_2	0.101307189542	0.831194423825
8	1	C_EQ_1	C_EQ_3	0.0995106035889	0.794596301339
8	1	C_EQ_1	C_EQ_4	0.0995106035889	0.794596301339
9	0	C_EQ_1	C_EQ_1	0.108641975309	0.738549271236
9	1	C_EQ_1	C_EQ_1	0.0780141843972	0.738549271236
10	0	C_EQ_1	C_EQ_1	0.85	0.893731487402
10	1	C_EQ_1	C_EQ_1	0.85	0.912106644207
10	2	C_EQ_1	C_EQ_1	0.85	0.893731487402
11	0	C_EQ_1	C_EQ_1	0.529045643154	0.726000264809
11	1	C_EQ_1	C_EQ_1	0.158582089552	0.655706406944
11	1	C_EQ_1	C_EQ_2	0.316995205115	0.886439176148
11	1	C_EQ_2	C_EQ_1	0.158582089552	0.655706406944
11	1	C_EQ_2	C_EQ_2	0.702479338843	0.902149842931
12	0	C_EQ_1	C_EQ_1	0.945945945946	0.886439176148
12	1	C_EQ_1	C_EQ_1	0.945945945946	0.869048031776
13	0	C_EQ_1	C_EQ_1	0.00215053763441	0.719850011329
13	1	C_EQ_1	C_EQ_1	0.00257731958763	0.719850011329
14	0	C_EQ_1	C_EQ_1	0.666666666667	0.848585568197
14	1	C_EQ_1	C_EQ_1	1.0	0.886439176148
15	0	C_EQ_1	C_EQ_1	0.461538461538	0.874253036256
15	1	C_EQ_1	C_EQ_1	1.0	0.912106644207
16	0	C_EQ_1	C_EQ_1	0.105911556495	0.874253036256
16	1	C_EQ_1	C_EQ_1	0.105911556495	0.874253036256
17	0	C_EQ_1	C_EQ_1	0.842954856361	0.912106644207
17	1	C_EQ_1	C_EQ_1	0.842954856361	0.902149842931
18	0	C_EQ_1	C_EQ_1	0.83559168925	0.912106644207
18	1	C_EQ_1	C_EQ_1	0.83559168925	0.893731487402
19	0	C_EQ_1	C_EQ_1	0.393518518519	0.561645432219
19	1	C_EQ_1	C_EQ_1	0.437017994859	0.880006901762
19	2	C_EQ_1	C_EQ_1	0.977011494253	0.807421176144
20	0	C_EQ_1	C_EQ_1	1.0	0.902149842931
20	0	C_EQ_1	C_EQ_2	0.366197183099	0.874253036256
20	1	C_EQ_1	C_EQ_1	1.0	0.902149842931
20	1	C_EQ_1	C_EQ_2	0.366197183099	0.874253036256
21	0	C_EQ_1	C_EQ_1	0.142857142857	0.886439176148
